provider,instance_type
aws,a1.medium
aws,a1.large
aws,a1.xlarge
aws,a1.2xlarge
aws,a1.4xlarge
aws,a1.metal
aws,c1.medium
aws,c1.xlarge
aws,c3.large
aws,c3.xlarge
aws,c3.2xlarge
aws,c3.4xlarge
aws,c3.8xlarge
aws,c4.large
aws,c4.large.elasticsearch
aws,c4.xlarge
aws,c4.xlarge.elasticsearch
aws,c4.2xlarge
aws,c4.2xlarge.elasticsearch
aws,c4.4xlarge
aws,c4.4xlarge.elasticsearch
aws,c4.8xlarge
aws,c4.8xlarge.elasticsearch
aws,c5.large
aws,c5.large.elasticsearch
aws,c5.xlarge
aws,c5.xlarge.elasticsearch
aws,c5.2xlarge
aws,c5.2xlarge.elasticsearch
aws,c5.4xlarge
aws,c5.4xlarge.elasticsearch
aws,c5.9xlarge
aws,c5.9xlarge.elasticsearch
aws,c5.12xlarge
aws,c5.18xlarge
aws,c5.18xlarge.elasticsearch
aws,c5.24xlarge
aws,c5.metal
aws,c5a.large
aws,c5a.xlarge
aws,c5a.2xlarge
aws,c5a.4xlarge
aws,c5a.8xlarge
aws,c5a.12xlarge
aws,c5a.16xlarge
aws,c5a.24xlarge
aws,c5ad.large
aws,c5ad.xlarge
aws,c5ad.2xlarge
aws,c5ad.4xlarge
aws,c5ad.8xlarge
aws,c5ad.12xlarge
aws,c5ad.16xlarge
aws,c5ad.24xlarge
aws,c5d.large
aws,c5d.xlarge
aws,c5d.2xlarge
aws,c5d.4xlarge
aws,c5d.9xlarge
aws,c5d.12xlarge
aws,c5d.18xlarge
aws,c5d.24xlarge
aws,c5d.metal
aws,c5n.large
aws,c5n.xlarge
aws,c5n.2xlarge
aws,c5n.4xlarge
aws,c5n.9xlarge
aws,c5n.18xlarge
aws,c5n.metal
aws,c6a.large
aws,c6a.xlarge
aws,c6a.2xlarge
aws,c6a.4xlarge
aws,c6a.8xlarge
aws,c6a.12xlarge
aws,c6a.16xlarge
aws,c6a.24xlarge
aws,c6a.32xlarge
aws,c6a.48xlarge
aws,c6a.metal
aws,c6g.medium
aws,c6g.large
aws,c6g.large.elasticsearch
aws,c6g.xlarge
aws,c6g.xlarge.elasticsearch
aws,c6g.2xlarge
aws,c6g.2xlarge.elasticsearch
aws,c6g.4xlarge
aws,c6g.4xlarge.elasticsearch
aws,c6g.8xlarge
aws,c6g.8xlarge.elasticsearch
aws,c6g.12xlarge
aws,c6g.12xlarge.elasticsearch
aws,c6g.16xlarge
aws,c6g.metal
aws,c6gd.medium
aws,c6gd.large
aws,c6gd.xlarge
aws,c6gd.2xlarge
aws,c6gd.4xlarge
aws,c6gd.8xlarge
aws,c6gd.12xlarge
aws,c6gd.16xlarge
aws,c6gd.metal
aws,c6gn.medium
aws,c6gn.large
aws,c6gn.xlarge
aws,c6gn.2xlarge
aws,c6gn.4xlarge
aws,c6gn.8xlarge
aws,c6gn.12xlarge
aws,c6gn.16xlarge
aws,c6i.large
aws,c6i.xlarge
aws,c6i.2xlarge
aws,c6i.4xlarge
aws,c6i.8xlarge
aws,c6i.12xlarge
aws,c6i.16xlarge
aws,c6i.24xlarge
aws,c6i.32xlarge
aws,c6i.metal
aws,c6id.large
aws,c6id.xlarge
aws,c6id.2xlarge
aws,c6id.4xlarge
aws,c6id.8xlarge
aws,c6id.12xlarge
aws,c6id.16xlarge
aws,c6id.24xlarge
aws,c6id.32xlarge
aws,c6id.metal
aws,c6in.large
aws,c6in.xlarge
aws,c6in.2xlarge
aws,c6in.4xlarge
aws,c6in.8xlarge
aws,c6in.12xlarge
aws,c6in.16xlarge
aws,c6in.24xlarge
aws,c6in.32xlarge
aws,c6in.metal
aws,c7a.medium
aws,c7a.large
aws,c7a.xlarge
aws,c7a.2xlarge
aws,c7a.4xlarge
aws,c7a.8xlarge
aws,c7a.12xlarge
aws,c7a.16xlarge
aws,c7a.24xlarge
aws,c7a.32xlarge
aws,c7a.48xlarge
aws,c7a.metal-48xl
aws,c7g.medium
aws,c7g.large
aws,c7g.xlarge
aws,c7g.2xlarge
aws,c7g.4xlarge
aws,c7g.8xlarge
aws,c7g.12xlarge
aws,c7g.16xlarge
aws,c7g.metal
aws,c7gd.medium
aws,c7gd.large
aws,c7gd.xlarge
aws,c7gd.2xlarge
aws,c7gd.4xlarge
aws,c7gd.8xlarge
aws,c7gd.12xlarge
aws,c7gd.16xlarge
aws,c7gn.medium
aws,c7gn.large
aws,c7gn.xlarge
aws,c7gn.2xlarge
aws,c7gn.4xlarge
aws,c7gn.8xlarge
aws,c7gn.12xlarge
aws,c7gn.16xlarge
aws,c7i.large
aws,c7i.xlarge
aws,c7i.2xlarge
aws,c7i.4xlarge
aws,c7i.8xlarge
aws,c7i.12xlarge
aws,c7i.16xlarge
aws,c7i.24xlarge
aws,c7i.48xlarge
aws,cc2.8xlarge
aws,cr1.8xlarge
aws,d2.xlarge
aws,d2.2xlarge
aws,d2.4xlarge
aws,d2.8xlarge
aws,d3.xlarge
aws,d3.2xlarge
aws,d3.4xlarge
aws,d3.8xlarge
aws,d3en.xlarge
aws,d3en.2xlarge
aws,d3en.4xlarge
aws,d3en.6xlarge
aws,d3en.8xlarge
aws,d3en.12xlarge
aws,dc2.large
aws,dc2.8xlarge
aws,dl1.24xlarge
aws,ds2.xlarge
aws,ds2.8xlarge
aws,f1.2xlarge
aws,f1.4xlarge
aws,f1.16xlarge
aws,g2.2xlarge
aws,g2.8xlarge
aws,g3.4xlarge
aws,g3.8xlarge
aws,g3.16xlarge
aws,g3s.xlarge
aws,g4ad.xlarge
aws,g4ad.2xlarge
aws,g4ad.4xlarge
aws,g4ad.8xlarge
aws,g4ad.16xlarge
aws,g4dn.xlarge
aws,g4dn.2xlarge
aws,g4dn.4xlarge
aws,g4dn.8xlarge
aws,g4dn.12xlarge
aws,g4dn.16xlarge
aws,g4dn.metal
aws,g5.xlarge
aws,g5.2xlarge
aws,g5.4xlarge
aws,g5.8xlarge
aws,g5.12xlarge
aws,g5.16xlarge
aws,g5.24xlarge
aws,g5.48xlarge
aws,g6.xlarge
aws,g6.2xlarge
aws,g6.4xlarge
aws,g6.8xlarge
aws,g6.16xlarge
aws,g6.12xlarge
aws,g6.24xlarge
aws,g6.48xlarge
aws,g6e.xlarge
aws,g6e.2xlarge
aws,g6e.4xlarge
aws,g6e.8xlarge
aws,g6e.16xlarge
aws,g6e.12xlarge
aws,g6e.24xlarge
aws,g6e.48xlarge
aws,gr6.4xlarge
aws,gr6.8xlarge
aws,g5g.xlarge
aws,g5g.2xlarge
aws,g5g.4xlarge
aws,g5g.8xlarge
aws,g5g.16xlarge
aws,g5g.metal
aws,h1.2xlarge
aws,h1.4xlarge
aws,h1.8xlarge
aws,h1.16xlarge
aws,hpc7g.4xlarge
aws,hpc7g.8xlarge
aws,hpc7g.16xlarge
aws,hs1.8xlarge
aws,i2.large
aws,i2.xlarge
aws,i2.xlarge.elasticsearch
aws,i2.2xlarge
aws,i2.2xlarge.elasticsearch
aws,i2.4xlarge
aws,i2.8xlarge
aws,i3.large
aws,i3.large.elasticsearch
aws,i3.xlarge
aws,i3.xlarge.elasticsearch
aws,i3.2xlarge
aws,i3.2xlarge.elasticsearch
aws,i3.4xlarge
aws,i3.4xlarge.elasticsearch
aws,i3.8xlarge
aws,i3.8xlarge.elasticsearch
aws,i3.16xlarge
aws,i3.16xlarge.elasticsearch
aws,i3.metal
aws,i3en.large
aws,i3en.xlarge
aws,i3en.2xlarge
aws,i3en.3xlarge
aws,i3en.6xlarge
aws,i3en.12xlarge
aws,i3en.24xlarge
aws,i3en.metal
aws,i4g.large
