provider,instance_type,instance_units,instance_vcpu,instance_memory_gb,instance_memory_unit,instance_avg_power_w,instance_avg_power_unit,instance_duration_hours,instance_other_consumption_ratio,instance_usage_location,instance_use_time_ratio,instance_hours_life_time,instance_gwp_embedded,instance_gwp_use,instance_adp_embedded,instance_adp_use,cpu_component_count,cpu_component_keys,cpu_name,cpu_name_status,cpu_name_source,cpu_manufacturer,cpu_manufacturer_status,cpu_manufacturer_source,cpu_family,cpu_family_status,cpu_family_source,cpu_model_range,cpu_model_range_status,cpu_model_range_source,cpu_tdp,cpu_tdp_unit,cpu_tdp_status,cpu_tdp_source,cpu_units,cpu_units_status,cpu_core_units,cpu_core_units_status,cpu_core_units_source,cpu_threads,cpu_threads_status,cpu_threads_source,cpu_die_size,cpu_die_size_unit,cpu_die_size_status,cpu_die_size_source,cpu_avg_power,cpu_avg_power_unit,cpu_avg_power_status,cpu_time_workload,cpu_time_workload_unit,cpu_time_workload_status,cpu_use_time_ratio,cpu_use_time_ratio_unit,cpu_use_time_ratio_status,cpu_hours_life_time,cpu_hours_life_time_unit,cpu_hours_life_time_status,cpu_hours_life_time_source,cpu_power_watt_at_0pct,cpu_power_watt_at_10pct,cpu_power_watt_at_50pct,cpu_power_watt_at_100pct,cpu_avg_power_sum,cpu_gwp_embedded_sum,cpu_gwp_use_sum,cpu_adp_embedded_sum,cpu_adp_use_sum,ram_component_count,ram_component_keys,ram_units,ram_units_status,ram_capacity,ram_capacity_unit,ram_capacity_status,ram_avg_power,ram_avg_power_unit,ram_avg_power_status,ram_time_workload,ram_time_workload_unit,ram_time_workload_status,ram_use_time_ratio,ram_use_time_ratio_unit,ram_use_time_ratio_status,ram_hours_life_time,ram_hours_life_time_unit,ram_hours_life_time_status,ram_hours_life_time_source,ram_avg_power_sum,ram_gwp_embedded_sum,ram_gwp_use_sum,ram_adp_embedded_sum,ram_adp_use_sum,gpu_component_count,gpu_component_keys,component_avg_power_sum_w
aws,a1.medium,,1.0,2.0,GB,3.2431218750000004,W,8760.0,0.33,EEE,1.0,52560.0,4.7,11.0,0.00103,2e-06,1,CPU-1,Annapurna Labs Graviton,COMPLETED,fuzzy match,Annapurna Labs,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Graviton,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Graviton,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,40.0,W,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,1.0,ARCHETYPE,16.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,16.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,456.0,mm2,COMPLETED,None : Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,1.8704375,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,4.8,12.8,30.0,40.8,1.8704375,0.1888,6.0,0.0002125,1.1e-06,1,RAM-1,2.0,ARCHETYPE,16.0,GB,ARCHETYPE,0.568,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,0.568,0.7,1.9,5.2e-05,3e-07,0,,2.4384375
aws,a1.large,,2.0,4.0,GB,6.486243750000001,W,8760.0,0.33,EEE,1.0,52560.0,9.4,22.0,0.0021,4e-06,1,CPU-1,Annapurna Labs Graviton,COMPLETED,fuzzy match,Annapurna Labs,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Graviton,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Graviton,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,40.0,W,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,1.0,ARCHETYPE,16.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,16.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,456.0,mm2,COMPLETED,None : Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,3.740875,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,4.8,12.8,30.0,40.8,3.740875,0.3776,12.0,0.0004251,2e-06,1,RAM-1,2.0,ARCHETYPE,16.0,GB,ARCHETYPE,1.136,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,1.136,1.4,4.0,0.000104,6e-07,0,,4.876875
aws,a1.xlarge,,4.0,8.0,GB,12.972487500000002,W,8760.0,0.33,EEE,1.0,52560.0,19.0,40.0,0.0041,7e-06,1,CPU-1,Annapurna Labs Graviton,COMPLETED,fuzzy match,Annapurna Labs,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Graviton,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Graviton,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,40.0,W,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,1.0,ARCHETYPE,16.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,16.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,456.0,mm2,COMPLETED,None : Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,7.48175,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,4.8,12.8,30.0,40.8,7.48175,0.7551,20.0,0.0008501,4e-06,1,RAM-1,2.0,ARCHETYPE,16.0,GB,ARCHETYPE,2.272,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,2.272,2.8,8.0,0.000208,1.3e-06,0,,9.75375
aws,a1.2xlarge,,8.0,16.0,GB,25.944975000000003,W,8760.0,0.33,EEE,1.0,52560.0,38.0,90.0,0.0082,1.5e-05,1,CPU-1,Annapurna Labs Graviton,COMPLETED,fuzzy match,Annapurna Labs,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Graviton,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Graviton,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,40.0,W,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,1.0,ARCHETYPE,16.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,16.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,456.0,mm2,COMPLETED,None : Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,14.9635,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,4.8,12.8,30.0,40.8,14.9635,1.51,50.0,0.0017,8e-06,1,RAM-1,2.0,ARCHETYPE,16.0,GB,ARCHETYPE,4.544,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,4.544,5.6,15.0,0.00042,3e-06,0,,19.5075
aws,a1.4xlarge,,16.0,32.0,GB,51.889950000000006,W,8760.0,0.33,EEE,1.0,52560.0,76.0,170.0,0.016,3e-05,1,CPU-1,Annapurna Labs Graviton,COMPLETED,fuzzy match,Annapurna Labs,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Graviton,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Graviton,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,40.0,W,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,1.0,ARCHETYPE,16.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,16.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,456.0,mm2,COMPLETED,None : Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,29.927,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,4.8,12.8,30.0,40.8,29.927,3.021,100.0,0.0034,1.7e-05,1,RAM-1,2.0,ARCHETYPE,16.0,GB,ARCHETYPE,9.088,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,9.088,11.0,30.0,0.00083,5e-06,0,,39.015
aws,a1.metal,,16.0,32.0,GB,51.889950000000006,W,8760.0,0.33,EEE,1.0,52560.0,76.0,170.0,0.016,3e-05,1,CPU-1,Annapurna Labs Graviton,COMPLETED,fuzzy match,Annapurna Labs,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Graviton,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Graviton,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,40.0,W,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,1.0,ARCHETYPE,16.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,16.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,456.0,mm2,COMPLETED,None : Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,29.927,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,4.8,12.8,30.0,40.8,29.927,3.021,100.0,0.0034,1.7e-05,1,RAM-1,2.0,ARCHETYPE,16.0,GB,ARCHETYPE,9.088,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,9.088,11.0,30.0,0.00083,5e-06,0,,39.015
aws,c1.medium,,2.0,2.0,GB,8.633140833333332,W,8760.0,0.33,EEE,1.0,52560.0,7.5,30.0,0.00124,5e-06,1,CPU-1,Intel Xeon E5-2651 V2,COMPLETED,fuzzy match,Intel,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Ivy Bridge,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Xeon E5,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,95.0,W,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,2.0,ARCHETYPE,12.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,24.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,432.0,mm2,COMPLETED,Linear regression of cpu_manufacture : Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,5.923083333333333,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,11.4,30.400000000000002,71.25,96.9,5.923083333333333,0.2451,20.0,0.0002834,3e-06,1,RAM-1,21.0,ARCHETYPE,2.0,GB,ARCHETYPE,0.568,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,0.568,1.46,1.9,0.000299,3e-07,0,,6.491083333333332
aws,c1.xlarge,,8.0,7.0,GB,34.15484333333333,W,8760.0,0.33,EEE,1.0,52560.0,32.0,110.0,0.0049,2e-05,1,CPU-1,Intel Xeon E5-2651 V2,COMPLETED,fuzzy match,Intel,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Ivy Bridge,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Xeon E5,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,95.0,W,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,2.0,ARCHETYPE,12.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,24.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,432.0,mm2,COMPLETED,Linear regression of cpu_manufacture : Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,23.69233333333333,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,11.4,30.400000000000002,71.25,96.9,23.69233333333333,0.9806,80.0,0.001133,1.3e-05,1,RAM-1,21.0,ARCHETYPE,2.0,GB,ARCHETYPE,1.9879999999999998,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,1.9879999999999998,5.1,7.0,0.001045,1.1e-06,0,,25.68033333333333
aws,c3.large,,2.0,3.75,GB,12.859903000000001,W,8760.0,0.33,EEE,1.0,52560.0,6.4,40.0,0.00153,7e-06,1,CPU-1,Intel Xeon E5-2680 V2,COMPLETED,fuzzy match,Intel,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Ivy Bridge,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Xeon E5,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,115.0,W,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,2.0,ARCHETYPE,10.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,20.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,341.0,mm2,COMPLETED,Value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/ivy_bridge_(client)#Deca-core_Ivy_Bridge_Die : Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,8.6041,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,13.799999999999999,36.800000000000004,86.25,117.3,8.6041,0.2643,30.0,0.00034,5e-06,1,RAM-1,30.0,ARCHETYPE,2.0,GB,ARCHETYPE,1.065,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,1.065,2.7,4.0,0.00056,6e-07,0,,9.6691
aws,c3.xlarge,,4.0,7.0,GB,25.530946000000004,W,8760.0,0.33,EEE,1.0,52560.0,12.6,80.0,0.003,1.4e-05,1,CPU-1,Intel Xeon E5-2680 V2,COMPLETED,fuzzy match,Intel,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Ivy Bridge,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,Xeon E5,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,115.0,W,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,2.0,ARCHETYPE,10.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,20.0,COMPLETED,Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,341.0,mm2,COMPLETED,Value of cpu_manufacture https://en.wikichip.org/wiki/intel/microarchitectures/ivy_bridge_(client)#Deca-core_Ivy_Bridge_Die : Completed from name name based on https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652.,17.2082,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,13.799999999999999,36.800000000000004,86.25,117.3,17.2082,0.5286,60.0,0.0006801,1e-05,1,RAM-1,30.0,ARCHETYPE,2.0,GB,ARCHETYPE,1.988,W,COMPLETED,50.0,%,ARCHETYPE,1.0,/1,ARCHETYPE,52560.0,hours,COMPLETED,from device,1.988,5.1,7.0,0.001045,1.1e-06,0,,19.1962
