Name,API Name,Instance Family,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,Uses NUMA Architecture,NUMA Node Count,Max NUMA Distance,Cores per NUMA Node (Avg),Threads per NUMA Node (Avg),Memory per NUMA Node (Avg MB),L3 Cache per NUMA Node (Avg MB),L3 Cache Shared,Compute Units (ECU),vCPUs,GiB of Memory per vCPU,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Baseline Bandwidth,EBS Optimized: Baseline Throughput (128K),EBS Optimized: Baseline IOPS (16K),EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,Bare metal,Trunking compatible,Branch interface,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Availability Zones,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Average cost,RHEL On Demand cost,RHEL Reserved cost,RHEL Spot Minimum cost,RHEL Spot Maximum cost,RHEL with HA On Demand cost,RHEL with HA Reserved cost,RHEL with HA Spot Minimum cost,RHEL with HA Spot Maximum cost,SLES On Demand cost,SLES Reserved cost,SLES Spot Minimum cost,SLES Spot Maximum cost,Windows On Demand cost,Windows Reserved cost,Windows Spot Minimum cost,Windows Spot Average cost,Dedicated Host On Demand,Dedicated Host Reserved,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,Linux Spot Interrupt Frequency,EMR cost,Generation,GPU Architectures,GPU Temp (Avg °C),FFmpeg Used CUDA,FFmpeg Speed,GPU Power Draw (Avg Watts),GPU Power Limit (Watts),GPU Graphics Clock (Avg MHz),GPU SM Clock (Avg MHz),GPU Memory Clock (Avg MHz),GPU Video Clock (Avg MHz)
A1 Double Extra Large,a1.2xlarge,a1,"95,158.796",General purpose,22.0 fps,16 GiB,,No,,,,,,,,0 units,8 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton Processor,2.3 GHz,,,,,EBS only,,,arm64,Up to 10 Gigabit,1750 Mbps,218.75 MB/s,10000 IOPS,3500 Mbps,437.5 MB/s,20000 IOPS,Yes,60,4,No,No,Yes,38,Yes,Yes,Yes,Unknown,No,,$0.204 hourly,$0.1285 hourly,$0.204 hourly,$0.204 hourly,$0.3192 hourly,$0.2437 hourly,$0.3192 hourly,$0.3192 hourly,$0.4592 hourly,$0.3837 hourly,,,$0.329 hourly,$0.1885 hourly,$0.329 hourly,$0.329 hourly,,,,,$0.449 hourly,$0.283 hourly,,,,,,,,,,,,,>20%,,previous,,,No,0.75x,,,,,,
A1 Quadruple Extra Large,a1.4xlarge,a1,"190,136.661",General purpose,42.0 fps,32 GiB,,No,,,,,,,,0 units,16 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton Processor,2.3 GHz,,,,,EBS only,,,arm64,Up to 10 Gigabit,3500 Mbps,437.5 MB/s,20000 IOPS,3500 Mbps,437.5 MB/s,20000 IOPS,Yes,240,8,No,No,Yes,54,Yes,Yes,Yes,Unknown,No,,$0.408 hourly,$0.257 hourly,$0.408 hourly,$0.408 hourly,$0.5808 hourly,$0.4298 hourly,$0.5808 hourly,$0.5808 hourly,$0.8048 hourly,$0.6538 hourly,,,$0.533 hourly,$0.317 hourly,$0.533 hourly,$0.533 hourly,,,,,$0.449 hourly,$0.283 hourly,,,,,,,,,,,,,>20%,,previous,,,No,1.40x,,,,,,
A1 Large,a1.large,a1,"23,457.659",General purpose,,4 GiB,,No,,,,,,,,0 units,2 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton Processor,2.3 GHz,,,,,EBS only,,,arm64,Up to 10 Gigabit,525 Mbps,65.625 MB/s,4000 IOPS,3500 Mbps,437.5 MB/s,20000 IOPS,Yes,30,3,No,No,Yes,9,Yes,Yes,Yes,Unknown,No,,$0.051 hourly,$0.0321 hourly,$0.051 hourly,$0.051 hourly,$0.0798 hourly,$0.0609 hourly,$0.0798 hourly,$0.0798 hourly,$0.1148 hourly,$0.0959 hourly,,,$0.1073 hourly,$0.0571 hourly,$0.1073 hourly,$0.1073 hourly,,,,,$0.449 hourly,$0.283 hourly,,,,,,,,,,,,,>20%,,previous,,,,,,,,,,
A1 Medium,a1.medium,a1,"11,877.895",General purpose,,2 GiB,,No,,,,,,,,0 units,1 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton Processor,2.3 GHz,,,,,EBS only,,,arm64,Up to 10 Gigabit,300 Mbps,37.5 MB/s,2500 IOPS,3500 Mbps,437.5 MB/s,20000 IOPS,Yes,8,2,No,No,Yes,10,Yes,Yes,Yes,Unknown,No,,$0.0255 hourly,$0.0161 hourly,$0.0255 hourly,$0.0255 hourly,$0.0399 hourly,$0.0305 hourly,$0.0399 hourly,$0.0399 hourly,$0.0574 hourly,$0.048 hourly,,,$0.0565 hourly,$0.0291 hourly,$0.0565 hourly,$0.0565 hourly,,,,,$0.449 hourly,$0.283 hourly,,,,,,,,,,,,,>20%,,previous,,,,,,,,,,
A1 Metal,a1.metal,a1,"192,539.11",General purpose,44.0 fps,32 GiB,,No,,,,,,,,0 units,16 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton Processor,2.3 GHz,,,,,EBS only,,,arm64,Up to 10 Gigabit,3500 Mbps,437.5 MB/s,20000 IOPS,3500 Mbps,437.5 MB/s,20000 IOPS,Yes,240,8,No,Yes,Yes,54,Yes,Yes,Yes,Unknown,No,,$0.408 hourly,$0.257 hourly,$0.408 hourly,$0.408 hourly,$0.581 hourly,$0.43 hourly,$0.581 hourly,$0.581 hourly,$0.805 hourly,$0.654 hourly,,,$0.533 hourly,$0.317 hourly,$0.533 hourly,$0.533 hourly,,,,,$0.449 hourly,$0.283 hourly,,,,,,,,,,,,,<5%,,previous,,,No,1.45x,,,,,,
A1 Extra Large,a1.xlarge,a1,"47,619.048",General purpose,12.0 fps,8 GiB,,No,,,,,,,,0 units,4 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton Processor,2.3 GHz,,,,,EBS only,,,arm64,Up to 10 Gigabit,800 Mbps,100 MB/s,6000 IOPS,3500 Mbps,437.5 MB/s,20000 IOPS,Yes,60,4,No,No,Yes,18,Yes,Yes,Yes,Unknown,No,,$0.102 hourly,$0.0643 hourly,$0.102 hourly,$0.102 hourly,$0.1596 hourly,$0.1219 hourly,$0.1596 hourly,$0.1596 hourly,$0.2296 hourly,$0.1919 hourly,,,$0.1583 hourly,$0.1143 hourly,$0.1583 hourly,$0.1583 hourly,,,,,$0.449 hourly,$0.283 hourly,,,,,,,,,,,,,>20%,,previous,,,No,0.39x,,,,,,
C1 High-CPU Medium,c1.medium,c1,"19,882.512",Compute optimized,,1.7 GiB,,No,,,,,,,,5 units,2 vCPUs,0.85 GiB/vCPU,0,,0 GiB,0,0,2.5000 units,Intel Xeon Family,,,,,,350 GB HDD,Yes,,"i386, x86_64",Moderate,,,,,,,No,12,2,No,No,No,0,No,No,No,PV,Yes,,$0.13 hourly,$0.091 hourly,$0.0352 hourly,$0.0359 hourly,$0.16 hourly,$0.12 hourly,$0.0652 hourly,$0.0667 hourly,,,,,$0.23 hourly,$0.127 hourly,$0.1352 hourly,$0.1367 hourly,$0.21 hourly,$0.179 hourly,$0.093 hourly,$0.0943 hourly,,,$0.31 hourly,$0.215 hourly,,,,,,,,,,,>20%,$0.03 hourly,previous,,,,,,,,,,
C1 High-CPU Extra Large,c1.xlarge,c1,"96,298.525",Compute optimized,32.0 fps,7 GiB,,No,,,,,,,,20 units,8 vCPUs,0.88 GiB/vCPU,0,,0 GiB,0,0,2.5000 units,Intel Xeon Family,,,,,,1680 GB (4×420 GB HDD),Yes,,x86_64,High,1000 Mbps,125 MB/s,8000 IOPS,1000 Mbps,125 MB/s,8000 IOPS,No,60,4,No,No,No,0,No,No,No,PV,Yes,,$0.52 hourly,$0.364 hourly,$0.1577 hourly,$0.2651 hourly,$0.64 hourly,$0.479 hourly,$0.2777 hourly,$0.6136 hourly,,,,,$0.62 hourly,$0.40 hourly,$0.2577 hourly,$0.5936 hourly,$0.84 hourly,$0.719 hourly,$0.372 hourly,$0.3806 hourly,,,$1.16 hourly,$0.793 hourly,$2.124 hourly,$1.537 hourly,,,,,,,,,>20%,$0.12 hourly,previous,,,No,1.07x,,,,,,
C3 High-CPU Double Extra Large,c3.2xlarge,c3,"118,729.593",Compute optimized,42.0 fps,15 GiB,,No,,,,,,,,28 units,8 vCPUs,1.88 GiB/vCPU,0,,0 GiB,0,0,3.5000 units,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,Yes,,,Yes,160 GB (2×80 GB SSD),Yes,Yes,x86_64,High,1000 Mbps,125 MB/s,8000 IOPS,1000 Mbps,125 MB/s,8000 IOPS,No,60,4,No,No,No,0,No,Yes,Yes,Unknown,Yes,,$0.42 hourly,$0.292 hourly,$0.1907 hourly,$0.2088 hourly,$0.535 hourly,$0.381 hourly,$0.3057 hourly,$0.346 hourly,$0.675 hourly,$0.521 hourly,,,$0.52 hourly,$0.328 hourly,$0.2907 hourly,$0.331 hourly,$0.752 hourly,$0.657 hourly,$0.3775 hourly,$0.3788 hourly,$1.848 hourly,,$1.083 hourly,$0.771 hourly,$2.131 hourly,$1.542 hourly,$3.788 hourly,$3.664 hourly,$0.555 hourly,$0.401 hourly,$1.38 hourly,$1.225 hourly,$3.42 hourly,$3.265 hourly,<5%,$0.105 hourly,previous,,,No,1.40x,,,,,,
C3 High-CPU Quadruple Extra Large,c3.4xlarge,c3,"237,988.993",Compute optimized,80.0 fps,30 GiB,,No,,,,,,,,55 units,16 vCPUs,1.88 GiB/vCPU,0,,0 GiB,0,0,3.4375 units,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,Yes,,,Yes,320 GB (2×160 GB SSD),Yes,Yes,x86_64,High,2000 Mbps,250 MB/s,16000 IOPS,2000 Mbps,250 MB/s,16000 IOPS,No,240,8,No,No,No,0,No,Yes,Yes,Unknown,Yes,,$0.84 hourly,$0.584 hourly,$0.3222 hourly,$0.4345 hourly,$1.013 hourly,$0.704 hourly,$0.4952 hourly,$0.7665 hourly,$1.237 hourly,$0.928 hourly,,,$0.94 hourly,$0.62 hourly,$0.4222 hourly,$0.6935 hourly,$1.504 hourly,$1.317 hourly,$0.748 hourly,$0.7533 hourly,$1.848 hourly,,$2.166 hourly,$1.54 hourly,$4.262 hourly,$3.084 hourly,$7.576 hourly,$7.329 hourly,$1.11 hourly,$0.801 hourly,$2.76 hourly,$2.451 hourly,$6.84 hourly,$6.531 hourly,5-10%,$0.21 hourly,previous,,,No,2.65x,,,,,,
