CPU,TDP
AMD EPYC 7282 16-Core Processor,120
AMD EPYC 7452 32-Core Processor,155
AMD EPYC 7502,180
AMD EPYC 7542 32-Core Processor,225
AMD EPYC 7713 64-Core Processor,225
AMD EPYC 7742,225
AMD EPYC 7742 64-Core Processor,225
AMD EPYC 7763,280
Ampere Altra Q80-30,210
Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,150
Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,185
Intel(R) Xeon(R) Gold 6448Y,225
INTEL(R) XEON(R) GOLD 6530,270
Intel(R) Xeon(R) Platinum 8352V CPU @ 2.10GHz,195
Intel(R) Xeon(R) Platinum 8368 CPU @ 2.40GHz,270
Intel(R) Xeon(R) Platinum 8380 CPU @ 2.30GHz,270
Intel(R) Xeon(R) Platinum 8452Y,300
Intel(R) Xeon(R) Platinum 8470,350
Intel(R) Xeon(R) Platinum 8480C,350
Intel(R) Xeon(R) Platinum 8568Y+,350
Intel(R) Xeon(R) Platinum 8462Y+,300
Intel(R) Xeon(R) Platinum 8480+,350
Intel(R) Xeon(R) Platinum 8562Y+,300
