Geography,Region Name,Region,Availability Zone,Modified Date Time,Instance Price
US,US West (Oregon),us-west-2,us-west-2c,1/25/2024 0:31,3.2773
US,US West (Oregon),us-west-2,us-west-2a,1/25/2024 17:32,5.1324
US,US West (Oregon),us-west-2,us-west-2c,1/25/2024 23:32,3.2784
US,US West (Oregon),us-west-2,us-west-2b,1/26/2024 0:31,3.2773
US,US West (Oregon),us-west-2,us-west-2a,1/26/2024 1:17,5.1321
US,US West (Oregon),us-west-2,us-west-2c,1/26/2024 3:32,3.2855
US,US West (Oregon),us-west-2,us-west-2a,1/26/2024 6:17,5.1289
US,US West (Oregon),us-west-2,us-west-2c,1/26/2024 12:02,3.2866
US,US West (Oregon),us-west-2,us-west-2a,1/26/2024 13:31,5.1039
US,US West (Oregon),us-west-2,us-west-2c,1/26/2024 18:47,3.2932
US,US West (Oregon),us-west-2,us-west-2a,1/26/2024 23:17,5.0801
US,US West (Oregon),us-west-2,us-west-2b,1/27/2024 0:32,3.2773
US,US West (Oregon),us-west-2,us-west-2c,1/27/2024 3:03,3.2969
US,US West (Oregon),us-west-2,us-west-2a,1/27/2024 4:47,5.0718
US,US West (Oregon),us-west-2,us-west-2c,1/27/2024 8:17,3.3019
US,US West (Oregon),us-west-2,us-west-2a,1/27/2024 12:32,5.071
US,US West (Oregon),us-west-2,us-west-2c,1/27/2024 17:16,3.3048
US,US West (Oregon),us-west-2,us-west-2a,1/27/2024 18:16,5.0663
US,US West (Oregon),us-west-2,us-west-2c,1/27/2024 23:16,3.3094
US,US West (Oregon),us-west-2,us-west-2b,1/28/2024 0:32,3.2773
US,US West (Oregon),us-west-2,us-west-2a,1/28/2024 1:16,5.0604
US,US West (Oregon),us-west-2,us-west-2c,1/28/2024 5:31,3.3136
US,US West (Oregon),us-west-2,us-west-2a,1/28/2024 8:01,5.0599
US,US West (Oregon),us-west-2,us-west-2a,1/28/2024 11:16,5.0366
US,US West (Oregon),us-west-2,us-west-2c,1/28/2024 13:02,3.3219
US,US West (Oregon),us-west-2,us-west-2b,1/30/2024 0:33,3.2773
US,US West (Oregon),us-west-2,us-west-2c,1/30/2024 10:17,3.388
US,US West (Oregon),us-west-2,us-west-2a,1/30/2024 10:47,4.9671
US,US West (Oregon),us-west-2,us-west-2a,1/30/2024 14:32,4.9592
US,US West (Oregon),us-west-2,us-west-2c,1/30/2024 17:17,3.3981
US,US West (Oregon),us-west-2,us-west-2a,1/30/2024 20:17,4.9576
US,US West (Oregon),us-west-2,us-west-2b,1/31/2024 0:34,3.2773
US,US West (Oregon),us-west-2,us-west-2a,1/31/2024 4:02,4.9499
US,US West (Oregon),us-west-2,us-west-2a,1/31/2024 8:32,4.9404
US,US West (Oregon),us-west-2,us-west-2c,1/31/2024 12:47,3.398
US,US West (Oregon),us-west-2,us-west-2a,1/31/2024 17:33,4.937
US,US West (Oregon),us-west-2,us-west-2a,1/31/2024 20:47,4.9309
US,US West (Oregon),us-west-2,us-west-2b,2/1/2024 0:34,3.2773
US,US West (Oregon),us-west-2,us-west-2a,2/1/2024 1:47,4.9302
US,US West (Oregon),us-west-2,us-west-2c,2/1/2024 3:02,3.3979
US,US West (Oregon),us-west-2,us-west-2c,2/1/2024 8:33,3.3992
US,US West (Oregon),us-west-2,us-west-2a,2/1/2024 9:17,4.9218
US,US West (Oregon),us-west-2,us-west-2c,2/1/2024 12:17,3.4015
US,US West (Oregon),us-west-2,us-west-2a,2/1/2024 12:48,4.9145
US,US West (Oregon),us-west-2,us-west-2a,2/1/2024 20:17,4.9115
US,US West (Oregon),us-west-2,us-west-2c,2/1/2024 23:31,3.3862
US,US West (Oregon),us-west-2,us-west-2a,2/2/2024 0:16,4.9108
US,US West (Oregon),us-west-2,us-west-2b,2/2/2024 0:34,3.2773
US,US West (Oregon),us-west-2,us-west-2c,2/2/2024 5:31,3.375
US,US West (Oregon),us-west-2,us-west-2a,2/2/2024 9:16,4.9017
US,US West (Oregon),us-west-2,us-west-2a,2/6/2024 14:02,4.9274
US,US West (Oregon),us-west-2,us-west-2c,2/6/2024 16:02,3.4335
US,US West (Oregon),us-west-2,us-west-2b,2/6/2024 16:32,3.394
US,US West (Oregon),us-west-2,us-west-2a,2/6/2024 21:47,4.933
US,US West (Oregon),us-west-2,us-west-2c,2/6/2024 22:47,3.4237
US,US West (Oregon),us-west-2,us-west-2b,2/7/2024 1:17,3.3942
US,US West (Oregon),us-west-2,us-west-2c,2/7/2024 7:02,3.4358
US,US West (Oregon),us-west-2,us-west-2b,2/7/2024 8:17,3.3972
US,US West (Oregon),us-west-2,us-west-2a,2/7/2024 9:32,4.9396
US,US West (Oregon),us-west-2,us-west-2c,2/7/2024 15:02,3.4189
US,US West (Oregon),us-west-2,us-west-2b,2/7/2024 16:32,3.4045
US,US West (Oregon),us-west-2,us-west-2a,2/7/2024 17:18,4.9296
US,US West (Oregon),us-west-2,us-west-2c,2/7/2024 19:32,3.4279
US,US West (Oregon),us-west-2,us-west-2b,2/7/2024 23:02,3.4122
US,US West (Oregon),us-west-2,us-west-2c,2/7/2024 23:47,3.4206
US,US West (Oregon),us-west-2,us-west-2a,2/8/2024 2:17,4.9265
US,US West (Oregon),us-west-2,us-west-2b,2/8/2024 4:17,3.4194
US,US West (Oregon),us-west-2,us-west-2a,2/8/2024 6:32,4.9314
US,US West (Oregon),us-west-2,us-west-2b,2/8/2024 7:46,3.4249
US,US West (Oregon),us-west-2,us-west-2c,2/8/2024 8:46,3.4038
US,US West (Oregon),us-west-2,us-west-2a,2/8/2024 11:17,4.9216
US,US West (Oregon),us-west-2,us-west-2c,2/8/2024 14:32,3.4008
US,US West (Oregon),us-west-2,us-west-2b,2/8/2024 16:17,3.4307
US,US West (Oregon),us-west-2,us-west-2a,2/8/2024 17:47,4.9213
US,US West (Oregon),us-west-2,us-west-2c,2/8/2024 20:47,3.3842
US,US West (Oregon),us-west-2,us-west-2b,2/8/2024 22:33,3.4334
US,US West (Oregon),us-west-2,us-west-2b,2/9/2024 1:47,3.435
US,US West (Oregon),us-west-2,us-west-2a,2/9/2024 2:02,4.9191
US,US West (Oregon),us-west-2,us-west-2c,2/9/2024 5:17,3.377
US,US West (Oregon),us-west-2,us-west-2b,2/9/2024 5:47,3.437
US,US West (Oregon),us-west-2,us-west-2a,2/9/2024 8:32,4.9081
US,US West (Oregon),us-west-2,us-west-2b,2/9/2024 12:32,3.4398
US,US West (Oregon),us-west-2,us-west-2c,2/9/2024 14:02,3.364
US,US West (Oregon),us-west-2,us-west-2a,2/9/2024 16:17,4.9022
US,US West (Oregon),us-west-2,us-west-2c,2/9/2024 17:32,3.3604
US,US West (Oregon),us-west-2,us-west-2a,2/9/2024 20:17,4.9014
US,US West (Oregon),us-west-2,us-west-2c,2/9/2024 21:17,3.3597
US,US West (Oregon),us-west-2,us-west-2b,2/9/2024 23:47,3.4447
US,US West (Oregon),us-west-2,us-west-2a,2/10/2024 2:02,4.8951
US,US West (Oregon),us-west-2,us-west-2c,2/10/2024 2:47,3.3469
US,US West (Oregon),us-west-2,us-west-2b,2/10/2024 5:47,3.4462
US,US West (Oregon),us-west-2,us-west-2c,2/10/2024 8:17,3.3484
US,US West (Oregon),us-west-2,us-west-2b,2/10/2024 9:17,3.4467
US,US West (Oregon),us-west-2,us-west-2a,2/10/2024 9:32,4.8835
US,US West (Oregon),us-west-2,us-west-2b,2/10/2024 15:32,3.4488
US,US West (Oregon),us-west-2,us-west-2c,2/10/2024 16:32,3.35
US,US West (Oregon),us-west-2,us-west-2a,2/10/2024 16:47,4.8749
US,US West (Oregon),us-west-2,us-west-2a,2/10/2024 20:47,4.874
US,US West (Oregon),us-west-2,us-west-2c,2/10/2024 23:02,3.3516
US,US West (Oregon),us-west-2,us-west-2b,2/11/2024 0:32,3.4531
US,US West (Oregon),us-west-2,us-west-2a,2/11/2024 1:02,4.8708
US,US West (Oregon),us-west-2,us-west-2c,2/11/2024 4:17,3.3532
US,US West (Oregon),us-west-2,us-west-2b,2/11/2024 6:02,3.4538
US,US West (Oregon),us-west-2,us-west-2a,2/11/2024 8:47,4.8652
US,US West (Oregon),us-west-2,us-west-2b,2/11/2024 10:17,3.4573
US,US West (Oregon),us-west-2,us-west-2c,2/11/2024 12:32,3.3568
US,US West (Oregon),us-west-2,us-west-2a,2/11/2024 16:47,4.8638
US,US West (Oregon),us-west-2,us-west-2b,2/11/2024 18:17,3.4599
US,US West (Oregon),us-west-2,us-west-2c,2/11/2024 20:47,3.3586
US,US West (Oregon),us-west-2,us-west-2b,2/11/2024 23:32,3.4614
US,US West (Oregon),us-west-2,us-west-2a,2/12/2024 0:32,4.8603
US,US West (Oregon),us-west-2,us-west-2b,2/12/2024 3:17,3.4659
US,US West (Oregon),us-west-2,us-west-2c,2/12/2024 4:47,3.3607
US,US West (Oregon),us-west-2,us-west-2b,2/12/2024 10:32,3.4728
US,US West (Oregon),us-west-2,us-west-2a,2/12/2024 10:47,4.8442
US,US West (Oregon),us-west-2,us-west-2c,2/12/2024 12:03,3.3627
US,US West (Oregon),us-west-2,us-west-2c,2/12/2024 15:32,3.3649
US,US West (Oregon),us-west-2,us-west-2a,2/12/2024 17:32,4.8339
US,US West (Oregon),us-west-2,us-west-2b,2/12/2024 19:17,3.4781
US,US West (Oregon),us-west-2,us-west-2a,2/12/2024 22:31,4.8317
US,US West (Oregon),us-west-2,us-west-2c,2/13/2024 0:01,3.3673
US,US West (Oregon),us-west-2,us-west-2b,2/13/2024 2:01,3.4852
US,US West (Oregon),us-west-2,us-west-2a,2/13/2024 7:31,4.8241
US,US West (Oregon),us-west-2,us-west-2b,2/13/2024 8:01,3.4912
US,US West (Oregon),us-west-2,us-west-2c,2/13/2024 8:16,3.3681
US,US West (Oregon),us-west-2,us-west-2b,2/13/2024 14:17,3.4989
US,US West (Oregon),us-west-2,us-west-2a,2/13/2024 15:17,4.8226
US,US West (Oregon),us-west-2,us-west-2c,2/13/2024 17:17,3.3693
US,US West (Oregon),us-west-2,us-west-2b,2/13/2024 19:02,3.5023
US,US West (Oregon),us-west-2,us-west-2a,2/13/2024 20:02,4.8125
US,US West (Oregon),us-west-2,us-west-2c,2/13/2024 21:32,3.3717
US,US West (Oregon),us-west-2,us-west-2a,2/14/2024 0:32,4.8111
US,US West (Oregon),us-west-2,us-west-2b,2/14/2024 3:17,3.5085
US,US West (Oregon),us-west-2,us-west-2a,2/14/2024 4:17,4.8058
US,US West (Oregon),us-west-2,us-west-2c,2/14/2024 4:47,3.3794
US,US West (Oregon),us-west-2,us-west-2b,2/14/2024 9:02,3.5096
US,US West (Oregon),us-west-2,us-west-2c,2/14/2024 10:17,3.3825
US,US West (Oregon),us-west-2,us-west-2a,2/14/2024 13:02,4.7941
