Geography,Region Name,Region,Availability Zone,Modified Date Time,Instance Price
US,US East (Virginia),us-east-1,us-east-1a,1/25/2024 12:02,0.6345
US,US East (Virginia),us-east-1,us-east-1c,1/25/2024 15:47,0.5707
US,US East (Virginia),us-east-1,us-east-1f,1/25/2024 17:47,0.564
US,US East (Virginia),us-east-1,us-east-1d,1/25/2024 19:17,0.5406
US,US East (Virginia),us-east-1,us-east-1a,1/25/2024 20:17,0.6324
US,US East (Virginia),us-east-1,us-east-1b,1/25/2024 23:02,0.5458
US,US East (Virginia),us-east-1,us-east-1f,1/25/2024 23:18,0.5646
US,US East (Virginia),us-east-1,us-east-1c,1/25/2024 23:32,0.5695
US,US East (Virginia),us-east-1,us-east-1a,1/26/2024 1:02,0.6304
US,US East (Virginia),us-east-1,us-east-1d,1/26/2024 3:32,0.5404
US,US East (Virginia),us-east-1,us-east-1c,1/26/2024 4:02,0.569
US,US East (Virginia),us-east-1,us-east-1a,1/26/2024 5:32,0.6329
US,US East (Virginia),us-east-1,us-east-1f,1/26/2024 7:47,0.5644
US,US East (Virginia),us-east-1,us-east-1d,1/26/2024 9:02,0.5408
US,US East (Virginia),us-east-1,us-east-1b,1/26/2024 10:02,0.5443
US,US East (Virginia),us-east-1,us-east-1a,1/26/2024 10:47,0.6298
US,US East (Virginia),us-east-1,us-east-1c,1/26/2024 11:17,0.5694
US,US East (Virginia),us-east-1,us-east-1c,1/26/2024 14:32,0.57
US,US East (Virginia),us-east-1,us-east-1f,1/26/2024 15:02,0.5647
US,US East (Virginia),us-east-1,us-east-1d,1/26/2024 15:17,0.5396
US,US East (Virginia),us-east-1,us-east-1b,1/26/2024 15:32,0.5446
US,US East (Virginia),us-east-1,us-east-1b,1/26/2024 20:02,0.544
US,US East (Virginia),us-east-1,us-east-1a,1/26/2024 21:02,0.6339
US,US East (Virginia),us-east-1,us-east-1f,1/26/2024 21:48,0.5658
US,US East (Virginia),us-east-1,us-east-1c,1/26/2024 22:32,0.5704
US,US East (Virginia),us-east-1,us-east-1d,1/26/2024 22:47,0.5392
US,US East (Virginia),us-east-1,us-east-1c,1/27/2024 2:02,0.5714
US,US East (Virginia),us-east-1,us-east-1f,1/27/2024 2:32,0.5647
US,US East (Virginia),us-east-1,us-east-1a,1/27/2024 2:47,0.6323
US,US East (Virginia),us-east-1,us-east-1b,1/27/2024 3:47,0.5442
US,US East (Virginia),us-east-1,us-east-1d,1/27/2024 7:47,0.5404
US,US East (Virginia),us-east-1,us-east-1c,1/27/2024 8:17,0.5707
US,US East (Virginia),us-east-1,us-east-1b,1/27/2024 9:32,0.5455
US,US East (Virginia),us-east-1,us-east-1f,1/27/2024 11:17,0.5634
US,US East (Virginia),us-east-1,us-east-1a,1/27/2024 14:03,0.6295
US,US East (Virginia),us-east-1,us-east-1d,1/27/2024 14:47,0.5403
US,US East (Virginia),us-east-1,us-east-1c,1/27/2024 15:32,0.5715
US,US East (Virginia),us-east-1,us-east-1b,1/27/2024 16:02,0.5456
US,US East (Virginia),us-east-1,us-east-1f,1/27/2024 16:17,0.563
US,US East (Virginia),us-east-1,us-east-1b,1/27/2024 21:17,0.5443
US,US East (Virginia),us-east-1,us-east-1d,1/27/2024 21:32,0.5405
US,US East (Virginia),us-east-1,us-east-1a,1/27/2024 21:47,0.6268
US,US East (Virginia),us-east-1,us-east-1f,1/27/2024 22:32,0.5643
US,US East (Virginia),us-east-1,us-east-1c,1/28/2024 0:02,0.5727
US,US East (Virginia),us-east-1,us-east-1b,1/28/2024 0:32,0.5435
US,US East (Virginia),us-east-1,us-east-1f,1/28/2024 4:02,0.5636
US,US East (Virginia),us-east-1,us-east-1d,1/28/2024 5:17,0.5412
US,US East (Virginia),us-east-1,us-east-1b,1/28/2024 5:47,0.5429
US,US East (Virginia),us-east-1,us-east-1a,1/28/2024 6:17,0.6286
US,US East (Virginia),us-east-1,us-east-1c,1/28/2024 7:02,0.5723
US,US East (Virginia),us-east-1,us-east-1f,1/28/2024 8:17,0.5638
US,US East (Virginia),us-east-1,us-east-1d,1/28/2024 8:47,0.541
US,US East (Virginia),us-east-1,us-east-1b,1/28/2024 10:32,0.5418
US,US East (Virginia),us-east-1,us-east-1c,1/28/2024 12:02,0.5725
US,US East (Virginia),us-east-1,us-east-1a,1/28/2024 12:48,0.6282
US,US East (Virginia),us-east-1,us-east-1b,1/28/2024 13:47,0.5425
US,US East (Virginia),us-east-1,us-east-1f,1/28/2024 14:32,0.5632
US,US East (Virginia),us-east-1,us-east-1d,1/28/2024 14:47,0.5407
US,US East (Virginia),us-east-1,us-east-1a,1/28/2024 18:17,0.6302
US,US East (Virginia),us-east-1,us-east-1f,1/30/2024 6:32,0.5639
US,US East (Virginia),us-east-1,us-east-1a,1/30/2024 7:47,0.628
US,US East (Virginia),us-east-1,us-east-1d,1/30/2024 8:17,0.5427
US,US East (Virginia),us-east-1,us-east-1c,1/30/2024 9:17,0.5772
US,US East (Virginia),us-east-1,us-east-1a,1/30/2024 13:17,0.6269
US,US East (Virginia),us-east-1,us-east-1c,1/30/2024 13:32,0.5777
US,US East (Virginia),us-east-1,us-east-1d,1/30/2024 15:47,0.5434
US,US East (Virginia),us-east-1,us-east-1f,1/30/2024 18:33,0.5635
US,US East (Virginia),us-east-1,us-east-1a,1/30/2024 19:48,0.627
US,US East (Virginia),us-east-1,us-east-1d,1/30/2024 20:32,0.5421
US,US East (Virginia),us-east-1,us-east-1b,1/30/2024 21:47,0.5432
US,US East (Virginia),us-east-1,us-east-1c,1/30/2024 22:02,0.5785
US,US East (Virginia),us-east-1,us-east-1a,1/31/2024 0:17,0.6255
US,US East (Virginia),us-east-1,us-east-1d,1/31/2024 1:17,0.5413
US,US East (Virginia),us-east-1,us-east-1f,1/31/2024 3:32,0.5644
US,US East (Virginia),us-east-1,us-east-1a,1/31/2024 4:17,0.6262
US,US East (Virginia),us-east-1,us-east-1c,1/31/2024 5:32,0.5775
US,US East (Virginia),us-east-1,us-east-1b,1/31/2024 5:47,0.5442
US,US East (Virginia),us-east-1,us-east-1d,1/31/2024 7:32,0.5421
US,US East (Virginia),us-east-1,us-east-1f,1/31/2024 11:17,0.5636
US,US East (Virginia),us-east-1,us-east-1d,1/31/2024 11:32,0.5426
US,US East (Virginia),us-east-1,us-east-1a,1/31/2024 12:32,0.6274
US,US East (Virginia),us-east-1,us-east-1b,1/31/2024 13:02,0.543
US,US East (Virginia),us-east-1,us-east-1c,1/31/2024 14:02,0.5789
US,US East (Virginia),us-east-1,us-east-1d,1/31/2024 14:47,0.5433
US,US East (Virginia),us-east-1,us-east-1b,1/31/2024 16:17,0.5427
US,US East (Virginia),us-east-1,us-east-1c,1/31/2024 18:17,0.5791
US,US East (Virginia),us-east-1,us-east-1d,1/31/2024 19:02,0.5423
US,US East (Virginia),us-east-1,us-east-1a,1/31/2024 19:32,0.6265
US,US East (Virginia),us-east-1,us-east-1f,1/31/2024 20:02,0.5628
US,US East (Virginia),us-east-1,us-east-1c,1/31/2024 22:32,0.5784
US,US East (Virginia),us-east-1,us-east-1a,2/1/2024 1:47,0.626
US,US East (Virginia),us-east-1,us-east-1d,2/1/2024 2:32,0.541
US,US East (Virginia),us-east-1,us-east-1b,2/1/2024 3:32,0.5415
US,US East (Virginia),us-east-1,us-east-1f,2/1/2024 5:04,0.5621
US,US East (Virginia),us-east-1,us-east-1a,2/1/2024 8:17,0.6264
US,US East (Virginia),us-east-1,us-east-1b,2/1/2024 9:32,0.5418
US,US East (Virginia),us-east-1,us-east-1d,2/1/2024 10:02,0.5418
US,US East (Virginia),us-east-1,us-east-1c,2/1/2024 10:32,0.5775
US,US East (Virginia),us-east-1,us-east-1f,2/1/2024 12:02,0.5633
US,US East (Virginia),us-east-1,us-east-1a,2/1/2024 13:17,0.6272
US,US East (Virginia),us-east-1,us-east-1d,2/1/2024 17:02,0.5405
US,US East (Virginia),us-east-1,us-east-1b,2/1/2024 18:02,0.541
US,US East (Virginia),us-east-1,us-east-1c,2/1/2024 18:32,0.5783
US,US East (Virginia),us-east-1,us-east-1f,2/1/2024 19:32,0.5634
US,US East (Virginia),us-east-1,us-east-1d,2/1/2024 20:17,0.541
US,US East (Virginia),us-east-1,us-east-1a,2/1/2024 20:32,0.6258
US,US East (Virginia),us-east-1,us-east-1b,2/1/2024 22:02,0.5407
US,US East (Virginia),us-east-1,us-east-1c,2/1/2024 23:32,0.579
US,US East (Virginia),us-east-1,us-east-1a,2/2/2024 1:02,0.6265
US,US East (Virginia),us-east-1,us-east-1b,2/2/2024 2:47,0.5402
US,US East (Virginia),us-east-1,us-east-1c,2/2/2024 3:32,0.5797
US,US East (Virginia),us-east-1,us-east-1d,2/2/2024 3:47,0.5418
US,US East (Virginia),us-east-1,us-east-1f,2/2/2024 4:02,0.5621
US,US East (Virginia),us-east-1,us-east-1a,2/2/2024 4:17,0.6251
US,US East (Virginia),us-east-1,us-east-1d,2/2/2024 7:17,0.5406
US,US East (Virginia),us-east-1,us-east-1f,2/2/2024 8:17,0.5615
US,US East (Virginia),us-east-1,us-east-1c,2/2/2024 9:02,0.5793
US,US East (Virginia),us-east-1,us-east-1f,2/6/2024 14:02,0.5655
US,US East (Virginia),us-east-1,us-east-1d,2/6/2024 16:32,0.5421
US,US East (Virginia),us-east-1,us-east-1c,2/6/2024 17:32,0.5751
US,US East (Virginia),us-east-1,us-east-1b,2/6/2024 18:02,0.5419
US,US East (Virginia),us-east-1,us-east-1a,2/6/2024 18:18,0.6325
US,US East (Virginia),us-east-1,us-east-1f,2/6/2024 21:02,0.5636
US,US East (Virginia),us-east-1,us-east-1b,2/6/2024 21:17,0.5396
US,US East (Virginia),us-east-1,us-east-1d,2/6/2024 23:32,0.5431
US,US East (Virginia),us-east-1,us-east-1b,2/7/2024 0:32,0.5403
US,US East (Virginia),us-east-1,us-east-1c,2/7/2024 2:02,0.5768
US,US East (Virginia),us-east-1,us-east-1d,2/7/2024 5:32,0.5433
US,US East (Virginia),us-east-1,us-east-1f,2/7/2024 6:02,0.5654
US,US East (Virginia),us-east-1,us-east-1b,2/7/2024 9:17,0.5408
US,US East (Virginia),us-east-1,us-east-1a,2/7/2024 9:47,0.6333
US,US East (Virginia),us-east-1,us-east-1f,2/7/2024 10:32,0.5643
US,US East (Virginia),us-east-1,us-east-1d,2/7/2024 13:48,0.5426
US,US East (Virginia),us-east-1,us-east-1c,2/7/2024 14:33,0.5732
US,US East (Virginia),us-east-1,us-east-1a,2/7/2024 15:17,0.6337
US,US East (Virginia),us-east-1,us-east-1f,2/7/2024 16:32,0.563
US,US East (Virginia),us-east-1,us-east-1b,2/7/2024 17:17,0.5402
US,US East (Virginia),us-east-1,us-east-1d,2/7/2024 19:02,0.5419
US,US East (Virginia),us-east-1,us-east-1c,2/7/2024 19:17,0.575
US,US East (Virginia),us-east-1,us-east-1a,2/7/2024 22:33,0.6333
US,US East (Virginia),us-east-1,us-east-1f,2/7/2024 23:17,0.5645
US,US East (Virginia),us-east-1,us-east-1b,2/7/2024 23:47,0.5396
US,US East (Virginia),us-east-1,us-east-1d,2/7/2024 23:47,0.5411
US,US East (Virginia),us-east-1,us-east-1c,2/8/2024 1:17,0.5759
US,US East (Virginia),us-east-1,us-east-1c,2/8/2024 4:32,0.5733
US,US East (Virginia),us-east-1,us-east-1f,2/8/2024 5:47,0.5657
US,US East (Virginia),us-east-1,us-east-1b,2/8/2024 6:17,0.5405
US,US East (Virginia),us-east-1,us-east-1d,2/8/2024 8:47,0.54
US,US East (Virginia),us-east-1,us-east-1b,2/8/2024 12:32,0.5391
US,US East (Virginia),us-east-1,us-east-1c,2/8/2024 12:47,0.5738
US,US East (Virginia),us-east-1,us-east-1f,2/8/2024 13:17,0.5678
US,US East (Virginia),us-east-1,us-east-1d,2/8/2024 14:32,0.5404
US,US East (Virginia),us-east-1,us-east-1b,2/8/2024 16:02,0.5402
US,US East (Virginia),us-east-1,us-east-1f,2/8/2024 16:32,0.5686
US,US East (Virginia),us-east-1,us-east-1c,2/8/2024 18:47,0.5734
US,US East (Virginia),us-east-1,us-east-1d,2/8/2024 19:17,0.5415
US,US East (Virginia),us-east-1,us-east-1d,2/8/2024 22:32,0.5428
US,US East (Virginia),us-east-1,us-east-1b,2/8/2024 23:17,0.5378
US,US East (Virginia),us-east-1,us-east-1a,2/9/2024 0:04,0.6325
US,US East (Virginia),us-east-1,us-east-1f,2/9/2024 0:47,0.5685
US,US East (Virginia),us-east-1,us-east-1c,2/9/2024 2:32,0.5714
US,US East (Virginia),us-east-1,us-east-1d,2/9/2024 4:02,0.5437
US,US East (Virginia),us-east-1,us-east-1c,2/9/2024 7:48,0.5717
US,US East (Virginia),us-east-1,us-east-1f,2/9/2024 8:02,0.5708
