Geography,Region Name,Region,Availability Zone,Modified Date Time,Instance Price
US,US East (Ohio),us-east-2,us-east-2a,7/28/2025 17:06,11.3933
US,US East (Ohio),us-east-2,us-east-2a,7/29/2025 1:46,11.555
US,US East (Ohio),us-east-2,us-east-2a,7/29/2025 8:32,11.8259
US,US East (Ohio),us-east-2,us-east-2a,7/29/2025 14:02,11.8539
US,US East (Ohio),us-east-2,us-east-2a,7/29/2025 20:16,12.142
US,US East (Ohio),us-east-2,us-east-2a,7/29/2025 23:46,12.3879
US,US East (Ohio),us-east-2,us-east-2a,7/30/2025 4:46,12.6424
US,US East (Ohio),us-east-2,us-east-2a,7/30/2025 8:16,12.6706
US,US East (Ohio),us-east-2,us-east-2a,7/30/2025 14:01,12.732
US,US East (Ohio),us-east-2,us-east-2a,7/30/2025 22:01,12.8864
US,US East (Ohio),us-east-2,us-east-2a,7/31/2025 1:46,13.153
US,US East (Ohio),us-east-2,us-east-2a,7/31/2025 8:16,13.2594
US,US East (Ohio),us-east-2,us-east-2a,7/31/2025 16:31,13.4597
US,US East (Ohio),us-east-2,us-east-2a,7/31/2025 16:59,13.4597
US,US East (Ohio),us-east-2,us-east-2a,7/31/2025 22:32,13.7608
US,US East (Ohio),us-east-2,us-east-2a,8/1/2025 5:02,14.0991
US,US East (Ohio),us-east-2,us-east-2b,8/1/2025 5:47,11.5506
US,US East (Ohio),us-east-2,us-east-2a,8/1/2025 9:01,14.2194
US,US East (Ohio),us-east-2,us-east-2b,8/1/2025 14:46,11.6529
US,US East (Ohio),us-east-2,us-east-2a,8/1/2025 15:01,14.2143
US,US East (Ohio),us-east-2,us-east-2a,8/1/2025 20:47,14.1892
US,US East (Ohio),us-east-2,us-east-2b,8/1/2025 21:47,11.699
US,US East (Ohio),us-east-2,us-east-2a,8/2/2025 0:31,14.3478
US,US East (Ohio),us-east-2,us-east-2b,8/2/2025 1:01,11.7094
US,US East (Ohio),us-east-2,us-east-2b,8/2/2025 6:02,11.7696
US,US East (Ohio),us-east-2,us-east-2a,8/2/2025 9:32,14.4209
US,US East (Ohio),us-east-2,us-east-2a,8/2/2025 13:02,14.5207
US,US East (Ohio),us-east-2,us-east-2b,8/2/2025 14:32,11.9516
US,US East (Ohio),us-east-2,us-east-2a,8/2/2025 16:16,14.6246
US,US East (Ohio),us-east-2,us-east-2a,8/2/2025 22:17,14.6972
US,US East (Ohio),us-east-2,us-east-2b,8/2/2025 22:32,12.2018
US,US East (Ohio),us-east-2,us-east-2a,8/3/2025 5:16,14.6669
US,US East (Ohio),us-east-2,us-east-2b,8/3/2025 7:32,12.2771
US,US East (Ohio),us-east-2,us-east-2a,8/3/2025 13:47,14.5816
US,US East (Ohio),us-east-2,us-east-2b,8/3/2025 15:46,12.3209
US,US East (Ohio),us-east-2,us-east-2b,8/4/2025 0:01,12.4421
US,US East (Ohio),us-east-2,us-east-2a,8/4/2025 1:46,14.4816
US,US East (Ohio),us-east-2,us-east-2b,8/4/2025 5:31,12.4114
US,US East (Ohio),us-east-2,us-east-2a,8/4/2025 10:46,14.4179
US,US East (Ohio),us-east-2,us-east-2b,8/4/2025 12:31,12.403
