Geography,Region Name,Region,Availability Zone,Modified Date Time,Instance Price
US,US West (Oregon),us-west-2,us-west-2b,7/28/2025 18:21,11.3933
US,US West (Oregon),us-west-2,us-west-2d,7/29/2025 8:47,11.6213
US,US West (Oregon),us-west-2,us-west-2b,7/29/2025 12:17,11.4103
US,US West (Oregon),us-west-2,us-west-2d,7/29/2025 14:32,11.7103
US,US West (Oregon),us-west-2,us-west-2b,7/29/2025 16:32,11.5043
US,US West (Oregon),us-west-2,us-west-2d,7/29/2025 19:32,11.9561
US,US West (Oregon),us-west-2,us-west-2d,7/29/2025 22:47,12.0428
US,US West (Oregon),us-west-2,us-west-2b,7/29/2025 23:32,11.6194
US,US West (Oregon),us-west-2,us-west-2d,7/30/2025 5:18,12.1027
US,US West (Oregon),us-west-2,us-west-2b,7/30/2025 7:17,11.8065
US,US West (Oregon),us-west-2,us-west-2d,7/30/2025 11:04,12.1834
US,US West (Oregon),us-west-2,us-west-2b,7/30/2025 16:17,11.891
US,US West (Oregon),us-west-2,us-west-2d,7/30/2025 19:32,12.3819
US,US West (Oregon),us-west-2,us-west-2b,7/30/2025 21:32,11.9864
US,US West (Oregon),us-west-2,us-west-2d,7/30/2025 23:32,12.4787
US,US West (Oregon),us-west-2,us-west-2b,7/31/2025 3:48,12.2333
US,US West (Oregon),us-west-2,us-west-2d,7/31/2025 5:02,12.5441
US,US West (Oregon),us-west-2,us-west-2b,7/31/2025 7:47,12.2635
US,US West (Oregon),us-west-2,us-west-2d,7/31/2025 9:47,12.8057
US,US West (Oregon),us-west-2,us-west-2b,7/31/2025 12:17,12.5127
US,US West (Oregon),us-west-2,us-west-2b,7/31/2025 16:17,12.6303
US,US West (Oregon),us-west-2,us-west-2d,7/31/2025 18:33,13.0288
US,US West (Oregon),us-west-2,us-west-2b,7/31/2025 20:34,12.6709
US,US West (Oregon),us-west-2,us-west-2b,8/1/2025 1:18,12.8569
US,US West (Oregon),us-west-2,us-west-2d,8/1/2025 2:02,13.1709
US,US West (Oregon),us-west-2,us-west-2b,8/1/2025 6:18,12.9691
US,US West (Oregon),us-west-2,us-west-2d,8/1/2025 7:19,13.4754
US,US West (Oregon),us-west-2,us-west-2d,8/1/2025 10:47,13.7568
US,US West (Oregon),us-west-2,us-west-2b,8/1/2025 11:47,13.1392
US,US West (Oregon),us-west-2,us-west-2b,8/1/2025 18:02,13.1653
US,US West (Oregon),us-west-2,us-west-2d,8/1/2025 18:32,13.9442
US,US West (Oregon),us-west-2,us-west-2b,8/1/2025 21:47,13.4834
US,US West (Oregon),us-west-2,us-west-2d,8/1/2025 22:02,14.2124
US,US West (Oregon),us-west-2,us-west-2b,8/2/2025 1:32,13.7606
US,US West (Oregon),us-west-2,us-west-2d,8/2/2025 2:02,14.3317
US,US West (Oregon),us-west-2,us-west-2d,8/2/2025 7:02,14.3987
US,US West (Oregon),us-west-2,us-west-2b,8/2/2025 8:33,13.7959
US,US West (Oregon),us-west-2,us-west-2d,8/2/2025 11:47,14.4019
US,US West (Oregon),us-west-2,us-west-2b,8/2/2025 13:47,13.9198
US,US West (Oregon),us-west-2,us-west-2d,8/2/2025 17:17,14.5679
US,US West (Oregon),us-west-2,us-west-2b,8/2/2025 17:32,14.1066
US,US West (Oregon),us-west-2,us-west-2d,8/2/2025 23:47,14.7106
US,US West (Oregon),us-west-2,us-west-2b,8/3/2025 1:02,14.2788
US,US West (Oregon),us-west-2,us-west-2b,8/3/2025 4:47,14.289
US,US West (Oregon),us-west-2,us-west-2d,8/3/2025 8:17,14.9152
US,US West (Oregon),us-west-2,us-west-2b,8/3/2025 12:17,14.4322
US,US West (Oregon),us-west-2,us-west-2d,8/3/2025 14:48,15.0679
US,US West (Oregon),us-west-2,us-west-2b,8/3/2025 19:33,14.457
US,US West (Oregon),us-west-2,us-west-2d,8/3/2025 20:48,15.3131
US,US West (Oregon),us-west-2,us-west-2b,8/4/2025 1:34,14.6415
US,US West (Oregon),us-west-2,us-west-2d,8/4/2025 3:33,15.4738
US,US West (Oregon),us-west-2,us-west-2b,8/4/2025 7:47,14.9857
US,US West (Oregon),us-west-2,us-west-2d,8/4/2025 8:17,15.4858
US,US West (Oregon),us-west-2,us-west-2b,8/4/2025 13:19,15.3393
US,US West (Oregon),us-west-2,us-west-2d,8/4/2025 14:47,15.6866
US,US West (Oregon),us-west-2,us-west-2b,8/4/2025 17:32,15.6542
US,US West (Oregon),us-west-2,us-west-2d,8/4/2025 23:03,15.9429
US,US West (Oregon),us-west-2,us-west-2b,8/5/2025 1:32,15.7041
US,US West (Oregon),us-west-2,us-west-2d,8/5/2025 2:17,15.991
US,US West (Oregon),us-west-2,us-west-2b,8/5/2025 8:18,15.8576
US,US West (Oregon),us-west-2,us-west-2d,8/5/2025 9:17,16.0468
US,US West (Oregon),us-west-2,us-west-2b,8/5/2025 13:17,16.2179
US,US West (Oregon),us-west-2,us-west-2d,8/5/2025 14:02,16.1075
US,US West (Oregon),us-west-2,us-west-2d,8/5/2025 17:31,16.3079
US,US West (Oregon),us-west-2,us-west-2b,8/5/2025 19:32,16.6029
US,US West (Oregon),us-west-2,us-west-2d,8/5/2025 21:16,16.5148
US,US West (Oregon),us-west-2,us-west-2b,8/6/2025 0:17,16.9438
US,US West (Oregon),us-west-2,us-west-2b,8/6/2025 6:02,17.0665
US,US West (Oregon),us-west-2,us-west-2d,8/6/2025 13:32,16.8554
US,US West (Oregon),us-west-2,us-west-2b,8/6/2025 13:46,17.0871
US,US West (Oregon),us-west-2,us-west-2b,8/6/2025 18:17,17.3038
US,US West (Oregon),us-west-2,us-west-2d,8/6/2025 20:32,16.8681
US,US West (Oregon),us-west-2,us-west-2b,8/6/2025 23:02,17.3247
US,US West (Oregon),us-west-2,us-west-2b,8/7/2025 2:47,17.531
US,US West (Oregon),us-west-2,us-west-2d,8/7/2025 5:02,17.0208
US,US West (Oregon),us-west-2,us-west-2b,8/7/2025 10:32,17.8629
US,US West (Oregon),us-west-2,us-west-2d,8/7/2025 10:47,17.2662
US,US West (Oregon),us-west-2,us-west-2b,8/7/2025 18:31,18.0408
US,US West (Oregon),us-west-2,us-west-2d,8/7/2025 19:16,17.306
US,US West (Oregon),us-west-2,us-west-2b,8/8/2025 0:31,18.3313
US,US West (Oregon),us-west-2,us-west-2d,8/8/2025 3:46,17.4473
US,US West (Oregon),us-west-2,us-west-2b,8/8/2025 6:31,18.4494
US,US West (Oregon),us-west-2,us-west-2d,8/8/2025 8:02,17.539
US,US West (Oregon),us-west-2,us-west-2d,8/8/2025 14:31,17.7827
US,US West (Oregon),us-west-2,us-west-2b,8/8/2025 15:17,18.6881
US,US West (Oregon),us-west-2,us-west-2d,8/8/2025 22:46,18.0511
US,US West (Oregon),us-west-2,us-west-2b,8/9/2025 0:16,18.9673
US,US West (Oregon),us-west-2,us-west-2d,8/9/2025 4:02,18.2887
US,US West (Oregon),us-west-2,us-west-2b,8/9/2025 4:16,19.3292
US,US West (Oregon),us-west-2,us-west-2b,8/9/2025 7:31,19.3366
US,US West (Oregon),us-west-2,us-west-2d,8/9/2025 8:31,18.5003
US,US West (Oregon),us-west-2,us-west-2b,8/9/2025 15:31,19.598
US,US West (Oregon),us-west-2,us-west-2d,8/9/2025 15:47,18.8018
US,US West (Oregon),us-west-2,us-west-2b,8/9/2025 21:02,19.9302
US,US West (Oregon),us-west-2,us-west-2d,8/9/2025 21:16,18.99
US,US West (Oregon),us-west-2,us-west-2d,8/10/2025 1:02,19.0416
US,US West (Oregon),us-west-2,us-west-2b,8/10/2025 1:32,20.4215
US,US West (Oregon),us-west-2,us-west-2b,8/10/2025 7:31,20.6181
