Instance,Provider,PFLOPs,Max GPU kW,kW/PFLOPs,VOLL [$/MWh],,Bit-Watt spread [$/MWh],,VOLL Δ w/ CPU pwr  [$/MWh],,Instance memor,,,,,,,,,,,,,,,,"On-Demand
[$/h]","Spot
[$/h]",,,,,,,,,,,,11/21 @ 714pm,,,,,,11/24 1.56,,,,,,,,,,Single-time,"[3.10pm-3.20pm PT, 24 Nov 2025]",,,,,,,,,,,,,
Priced location,,,,,On-Demand,Spot,On-Demand,Spot,On-Demand,Spot,,GPUs,GPU thermal rating,,FP64,FP64 Tensor Core,FP32,TF32,FP16 Tensor Core,INT8 Tensor Core,,,,,Extra CPU power draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AWS/Azure [direct], GCP [buildup]",,,,,GCP buildup,,,,Units,Threads,Cores,vCPU,CPU,CPU power
"GPU A100 equivalent instance types - 96 vCPU, 8 NVIDIA A100s*",,,,,,,,,,,,,,,,,,,,,,,,,,,21-Nov,,,,,,,,US West ,California,,Oregon,,Ohio,,Virginia,,,,On-demand,,,,,,,,,,On-demand,Spot ,,,,vCPU Spot price,Memory Spot price,GPU pricing,,,,,,,W
"Use case: High end ML, AI, cloud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregon,,,,,,,,,,,,,,,,,,,,,,,,
p4d.24xlarge,AWS,2.5,3.2,1.28,"6,862","2,684",,,-895,-350,,8,,,,,,,,,,,,,0.48,,21.958,11.211,21.958,9.392,,,,p4d.24xlarge,,,,21.958,11.34,21.958,12.153,21.958,9.392,,,21.957642,,,,,,Source: AWS,,,,21.9576,8.5895,,,,,,,,2,48,24,96,Intel Xeon Platinum 8275L,240
N.Virginia (us-east-1a),,,,,,,,,,,,,,,,,,,,,,,,,,,US West - oregon,US West - oregon,US east - N VA,US east - N VA,,,,,,,,,,,,,,,,,,,vCPU,Memor,,A100 80GB,A100 40GB,,,,,,,,,,,,,,,,,
a2-highgpu-8g,Google,,,,"9,836","3,356",,,-920,-314,,,,,,,,,,,,,,,0.33,,29.3871,11.5436,34.6005,12.4317,,,,a2-highgpu-8g,,,,29.3871,11.5436,,,,,,,$29.39 ,,,$0.01 ,0.001695,$1.21 ,$1.57 ,$1.15 ,,,$31.47 ,10.73908,,,,0.01424,0.001873,1.0123,,2,48,24,96,Intel Xeon Platinum 8273CL @ 2.20GHz,165
Northern Virginia (us-east-4),,,,,,,,,,,,,,,,,,,,,,,,,,,US West 1 - oregon,US West 1 - oregon,US west 3 - salt lake city,US west 3 - salt lake city,,,,,,,,,,,,,,,,,,,96,680,,,8,,,,,,,,96,680,8,,,,,,,
Standard_ND96asr_A100_v4,MS Azure,,,,"10,241","2,663",,,-631,-164,,,,,,,,,,,,,,,0.21,,,,,,,,,Standard_ND96amsr_A100_v4,,,,,,,,,,,,,,,,,,,,,,32.77,8.5202,,,,,,,,0.75,128,64,96,AMD EPYC 7V12 (Rome) [x86-64],280
East US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_ND96asr_A100_v4,MS Azure,,,,"8,499","1,870",,,-523,-115,,,,,,,,,,,,,,,0.21,,42.601,11.076,32.77,8.52,39.324,10.224,,Standard_ND96asr_A100_v4,,,,,,,,,,,,,,,$1.21 ,1.1526,,,$9.18 ,,$11.544 ,$27.20 ,5.9833,,,,,,,,0.75,128,64,96,AMD EPYC 7V12 (Rome) [x86-64],280
