Geography,Region Name,Region,Availability Zone,Modified Date Time,Instance Price
US,US West (Oregon),us-west-2,us-west-2d,4/4/2024 20:39,0.0805
US,US West (Oregon),us-west-2,us-west-2a,4/5/2024 8:18,0.0806
US,US West (Oregon),us-west-2,us-west-2d,4/5/2024 10:18,0.0806
US,US West (Oregon),us-west-2,us-west-2d,4/5/2024 13:32,0.0807
US,US West (Oregon),us-west-2,us-west-2a,4/5/2024 18:02,0.081
US,US West (Oregon),us-west-2,us-west-2c,4/5/2024 19:48,0.0806
US,US West (Oregon),us-west-2,us-west-2a,4/6/2024 0:17,0.0813
US,US West (Oregon),us-west-2,us-west-2a,4/6/2024 5:46,0.0817
US,US West (Oregon),us-west-2,us-west-2d,4/6/2024 6:32,0.0808
US,US West (Oregon),us-west-2,us-west-2a,4/6/2024 9:18,0.082
US,US West (Oregon),us-west-2,us-west-2c,4/6/2024 11:31,0.0807
US,US West (Oregon),us-west-2,us-west-2a,4/6/2024 13:01,0.0822
US,US West (Oregon),us-west-2,us-west-2c,4/6/2024 15:02,0.0808
US,US West (Oregon),us-west-2,us-west-2d,4/6/2024 20:32,0.081
US,US West (Oregon),us-west-2,us-west-2a,4/6/2024 21:17,0.0823
US,US West (Oregon),us-west-2,us-west-2a,4/7/2024 3:32,0.0826
US,US West (Oregon),us-west-2,us-west-2d,4/7/2024 4:32,0.0811
US,US West (Oregon),us-west-2,us-west-2c,4/7/2024 7:02,0.0809
US,US West (Oregon),us-west-2,us-west-2a,4/7/2024 8:02,0.0829
US,US West (Oregon),us-west-2,us-west-2d,4/7/2024 11:47,0.0812
US,US West (Oregon),us-west-2,us-west-2c,4/7/2024 12:17,0.0811
US,US West (Oregon),us-west-2,us-west-2a,4/7/2024 17:17,0.0832
US,US West (Oregon),us-west-2,us-west-2d,4/7/2024 18:17,0.0813
US,US West (Oregon),us-west-2,us-west-2a,4/7/2024 20:47,0.0836
US,US West (Oregon),us-west-2,us-west-2d,4/8/2024 0:47,0.0814
US,US West (Oregon),us-west-2,us-west-2c,4/8/2024 1:02,0.0812
US,US West (Oregon),us-west-2,us-west-2a,4/8/2024 2:02,0.0837
US,US West (Oregon),us-west-2,us-west-2d,4/8/2024 5:17,0.0816
US,US West (Oregon),us-west-2,us-west-2a,4/8/2024 10:48,0.084
US,US West (Oregon),us-west-2,us-west-2c,4/8/2024 14:02,0.0813
US,US West (Oregon),us-west-2,us-west-2a,4/8/2024 15:47,0.0841
US,US West (Oregon),us-west-2,us-west-2d,4/8/2024 16:47,0.0817
US,US West (Oregon),us-west-2,us-west-2a,4/8/2024 20:17,0.0843
US,US West (Oregon),us-west-2,us-west-2c,4/8/2024 20:32,0.0814
US,US West (Oregon),us-west-2,us-west-2d,4/8/2024 22:47,0.0819
US,US West (Oregon),us-west-2,us-west-2a,4/9/2024 5:02,0.0844
US,US West (Oregon),us-west-2,us-west-2d,4/9/2024 6:32,0.082
US,US West (Oregon),us-west-2,us-west-2c,4/9/2024 8:17,0.0816
US,US West (Oregon),us-west-2,us-west-2c,4/9/2024 13:02,0.0817
US,US West (Oregon),us-west-2,us-west-2d,4/9/2024 13:32,0.0822
US,US West (Oregon),us-west-2,us-west-2d,4/9/2024 17:47,0.0823
US,US West (Oregon),us-west-2,us-west-2c,4/9/2024 19:47,0.0818
US,US West (Oregon),us-west-2,us-west-2c,4/9/2024 23:02,0.0819
US,US West (Oregon),us-west-2,us-west-2a,4/10/2024 0:02,0.0845
US,US West (Oregon),us-west-2,us-west-2d,4/10/2024 1:02,0.0824
US,US West (Oregon),us-west-2,us-west-2c,4/10/2024 4:17,0.082
US,US West (Oregon),us-west-2,us-west-2d,4/10/2024 4:47,0.0825
US,US West (Oregon),us-west-2,us-west-2c,4/10/2024 12:16,0.0821
US,US West (Oregon),us-west-2,us-west-2a,4/10/2024 13:02,0.0846
US,US West (Oregon),us-west-2,us-west-2d,4/10/2024 13:17,0.0827
US,US West (Oregon),us-west-2,us-west-2d,4/10/2024 18:31,0.0828
US,US West (Oregon),us-west-2,us-west-2a,4/10/2024 19:02,0.085
US,US West (Oregon),us-west-2,us-west-2c,4/10/2024 21:16,0.0823
US,US West (Oregon),us-west-2,us-west-2a,4/10/2024 23:17,0.0853
US,US West (Oregon),us-west-2,us-west-2d,4/10/2024 23:33,0.083
US,US West (Oregon),us-west-2,us-west-2c,4/11/2024 3:02,0.0824
US,US West (Oregon),us-west-2,us-west-2d,4/11/2024 3:17,0.0832
US,US West (Oregon),us-west-2,us-west-2a,4/11/2024 6:46,0.0856
US,US West (Oregon),us-west-2,us-west-2c,4/11/2024 10:47,0.0825
US,US West (Oregon),us-west-2,us-west-2a,4/11/2024 13:02,0.0859
US,US West (Oregon),us-west-2,us-west-2c,4/11/2024 15:01,0.0826
