API Name,GPU model,Physical Processor,GPUs,vCPUs,On Demand Filled,gpu_model_clean,cpu_model_clean,gpu_count,vcpu_count,price_usd_per_hour,gpu_tdp_w_per_gpu,gpu_power_w_per_gpu_at_util,total_gpu_power_w,cpu_tdp_w_package,threads_per_package,cpu_tdp_w_per_vcpu,cpu_power_w_per_vcpu_at_util,total_cpu_power_w,total_power_w,total_power_mw,voll_usd_per_mwh,gpu_mapping_status,cpu_mapping_status,cpu_source_type,cpu_source_name,cpu_source_note
dl2q.24xlarge,Qualcomm AI 100 Accelerators,Intel Xeon Platinum 8259 (Cascade Lake),8.0,96 vCPUs,11.5952,QA100,Intel Xeon Platinum 8259 (Cascade Lake),8.0,96.0,11.5952,75,67.5,540.0,210.0,48.0,4.375,2.1875,210.0,750.0,0.00075,15460.266666666666,resolved,resolved,benchmark_proxy,Closest Cascade Lake benchmark/reference listings,Custom AWS-adjacent SKU; inferred from common reference sites.
g2.2xlarge,NVIDIA GRID K520,Intel Xeon E5-2670 (Sandy Bridge),1.0,8 vCPUs,0.65,K520,Intel Xeon E5-2670 (Sandy Bridge),1.0,8.0,0.65,225,202.5,202.5,115.0,16.0,7.1875,3.59375,28.75,231.25,0.00023125,2810.810810810811,resolved,resolved,benchmark_proxy,Common Sandy Bridge Xeon benchmark/reference listings,Direct vendor value.
g2.8xlarge,NVIDIA GRID K520,Intel Xeon E5-2670 (Sandy Bridge),4.0,32 vCPUs,2.6,K520,Intel Xeon E5-2670 (Sandy Bridge),4.0,32.0,2.6,225,202.5,810.0,115.0,16.0,7.1875,3.59375,115.0,925.0,0.000925,2810.810810810811,resolved,resolved,benchmark_proxy,Common Sandy Bridge Xeon benchmark/reference listings,Direct vendor value.
g3.16xlarge,NVIDIA Tesla M60,Intel Xeon E5-2686 v4 (Broadwell),4.0,64 vCPUs,4.56,M60,Intel Xeon E5-2686 v4 (Broadwell),4.0,64.0,4.56,300,270.0,1080.0,145.0,36.0,4.027777777777778,2.013888888888889,128.88888888888889,1208.888888888889,0.001208888888888889,3772.0588235294113,resolved,resolved,benchmark_proxy,Closest Broadwell Xeon benchmark/reference listings,AWS-associated custom part; Direct vendor value.
g3.4xlarge,NVIDIA Tesla M60,Intel Xeon E5-2686 v4 (Broadwell),1.0,16 vCPUs,1.14,M60,Intel Xeon E5-2686 v4 (Broadwell),1.0,16.0,1.14,300,270.0,270.0,145.0,36.0,4.027777777777778,2.013888888888889,32.22222222222222,302.22222222222223,0.0003022222222222222,3772.0588235294113,resolved,resolved,benchmark_proxy,Closest Broadwell Xeon benchmark/reference listings,AWS-associated custom part; Direct vendor value.
g3.8xlarge,NVIDIA Tesla M60,Intel Xeon E5-2686 v4 (Broadwell),2.0,32 vCPUs,2.28,M60,Intel Xeon E5-2686 v4 (Broadwell),2.0,32.0,2.28,300,270.0,540.0,145.0,36.0,4.027777777777778,2.013888888888889,64.44444444444444,604.4444444444445,0.0006044444444444445,3772.0588235294113,resolved,resolved,benchmark_proxy,Closest Broadwell Xeon benchmark/reference listings,AWS-associated custom part; Direct vendor value.
g3s.xlarge,NVIDIA Tesla M60,Intel Xeon E5-2686 v4 (Broadwell),1.0,4 vCPUs,0.75,M60,Intel Xeon E5-2686 v4 (Broadwell),1.0,4.0,0.75,300,270.0,270.0,145.0,36.0,4.027777777777778,2.013888888888889,8.055555555555555,278.05555555555554,0.00027805555555555553,2697.3026973026977,resolved,resolved,benchmark_proxy,Closest Broadwell Xeon benchmark/reference listings,AWS-associated custom part; Direct vendor value.
g4ad.16xlarge,AMD Radeon Pro V520,AMD EPYC 7R32,4.0,64 vCPUs,3.468,V520,AMD EPYC 7R32,4.0,64.0,3.468,225,202.5,810.0,280.0,96.0,2.9166666666666665,1.4583333333333333,93.33333333333333,903.3333333333334,0.0009033333333333334,3839.1143911439112,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
g4ad.2xlarge,AMD Radeon Pro V520,AMD EPYC 7R32,1.0,8 vCPUs,0.5412,V520,AMD EPYC 7R32,1.0,8.0,0.5412,225,202.5,202.5,280.0,96.0,2.9166666666666665,1.4583333333333333,11.666666666666666,214.16666666666666,0.00021416666666666665,2527.003891050584,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
g4ad.4xlarge,AMD Radeon Pro V520,AMD EPYC 7R32,1.0,16 vCPUs,0.867,V520,AMD EPYC 7R32,1.0,16.0,0.867,225,202.5,202.5,280.0,96.0,2.9166666666666665,1.4583333333333333,23.333333333333332,225.83333333333334,0.00022583333333333334,3839.1143911439112,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
g4ad.8xlarge,AMD Radeon Pro V520,AMD EPYC 7R32,2.0,32 vCPUs,1.734,V520,AMD EPYC 7R32,2.0,32.0,1.734,225,202.5,405.0,280.0,96.0,2.9166666666666665,1.4583333333333333,46.666666666666664,451.6666666666667,0.0004516666666666667,3839.1143911439112,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
g4ad.xlarge,AMD Radeon Pro V520,AMD EPYC 7R32,1.0,4 vCPUs,0.3785,V520,AMD EPYC 7R32,1.0,4.0,0.3785,225,202.5,202.5,280.0,96.0,2.9166666666666665,1.4583333333333333,5.833333333333333,208.33333333333334,0.00020833333333333335,1816.8,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
g4dn.12xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,4.0,48 vCPUs,3.912,T4,Intel Xeon Family,4.0,48.0,3.912,70,63.0,252.0,250.0,32.0,7.8125,3.90625,187.5,439.5,0.0004395,8901.023890784983,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.
g4dn.16xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,64 vCPUs,4.352,T4,Intel Xeon Family,1.0,64.0,4.352,70,63.0,63.0,250.0,32.0,7.8125,3.90625,250.0,313.0,0.000313,13904.153354632588,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.
g4dn.2xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,8 vCPUs,0.752,T4,Intel Xeon Family,1.0,8.0,0.752,70,63.0,63.0,250.0,32.0,7.8125,3.90625,31.25,94.25,9.425e-05,7978.779840848806,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.
g4dn.4xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,16 vCPUs,1.204,T4,Intel Xeon Family,1.0,16.0,1.204,70,63.0,63.0,250.0,32.0,7.8125,3.90625,62.5,125.5,0.0001255,9593.625498007968,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.
g4dn.8xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,32 vCPUs,2.176,T4,Intel Xeon Family,1.0,32.0,2.176,70,63.0,63.0,250.0,32.0,7.8125,3.90625,125.0,188.0,0.000188,11574.468085106384,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.
g4dn.metal,NVIDIA T4 Tensor Core,Intel Xeon Family,8.0,96 vCPUs,7.824,T4,Intel Xeon Family,8.0,96.0,7.824,70,63.0,504.0,250.0,32.0,7.8125,3.90625,375.0,879.0,0.000879,8901.023890784983,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.
g4dn.xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,4 vCPUs,0.526,T4,Intel Xeon Family,1.0,4.0,0.526,70,63.0,63.0,250.0,32.0,7.8125,3.90625,15.625,78.625,7.8625e-05,6689.984101748808,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.
g5.12xlarge,NVIDIA A10G,AMD EPYC 7R32,4.0,48 vCPUs,5.672,A10G,AMD EPYC 7R32,4.0,48.0,5.672,300,270.0,1080.0,280.0,96.0,2.9166666666666665,1.4583333333333333,70.0,1150.0,0.00115,4932.173913043478,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
