Name,API Name,Instance Memory,vCPUs,Memory per vCPU,GPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
NC12,NC12,112 GiB,12,9.33 GiB/vCPU,2X K80,680 GiB,$1.80 hourly,,,$0.3326 hourly,,,,
NC128dsxlRTX6K v6,NC128dsxlRTX6K v6,512 GiB,128,4 GiB/vCPU,1.00,1024 GiB,,,,,,,,
NC128ldsxlRTX6K v6,NC128ldsxlRTX6K v6,256 GiB,128,2 GiB/vCPU,1.00,1024 GiB,,,,,,,,
NC12s v2,NC12s v2,224 GiB,12,18.67 GiB/vCPU,2X P100,672 GiB,$4.14 hourly,,,$0.7651 hourly,,,,
NC12s v3,NC12s v3,224 GiB,12,18.67 GiB/vCPU,2X V100,672 GiB,$6.12 hourly,,,$1.131 hourly,$6.672 hourly,,,$1.233 hourly
NC16ads A10 v4,NC16ads A10 v4,220 GiB,16,13.75 GiB/vCPU,1X A10,1460 GiB,,,,,,,,
NC16as T4 v3,NC16as T4 v3,110 GiB,16,6.88 GiB/vCPU,1X T4,360 GiB,$1.204 hourly,,,$0.4452 hourly,$1.94 hourly,,,$0.7174 hourly
NC24,NC24,224 GiB,24,9.33 GiB/vCPU,4X K80,1440 GiB,$3.60 hourly,,,$0.6653 hourly,$4.336 hourly,,,$0.8013 hourly
NC24ads A100 v4,NC24ads A100 v4,220 GiB,24,9.17 GiB/vCPU,1X A100,958 GiB,$3.673 hourly,,,$0.7364 hourly,$4.777 hourly,,,$1.3404 hourly
NC24r,NC24r,224 GiB,24,9.33 GiB/vCPU,4X K80,1440 GiB,$3.96 hourly,,,$0.7318 hourly,,,,
NC24rs v2,NC24rs v2,448 GiB,24,18.67 GiB/vCPU,4X P100,1344 GiB,$9.108 hourly,,,$1.6832 hourly,,,,
NC24rs v3,NC24rs v3,448 GiB,24,18.67 GiB/vCPU,4X V100,1344 GiB,$13.46 hourly,,,$2.4874 hourly,$14.56 hourly,,,$2.6907 hourly
NC24s v2,NC24s v2,448 GiB,24,18.67 GiB/vCPU,4X P100,1344 GiB,$8.28 hourly,,,$1.5301 hourly,,,,
