gpu_model_clean,voll_usd_per_mwh_inf_median,voll_spot_usd_per_mwh_inf_median,instance_type,flex_discount_usd_per_mwh,flex_discount_pct_of_ondemand
QA100,12630.936819172111,10978.213507625273,dl2q.24xlarge,1652.7233115468389,13.084724713674609
V520,3546.0122699386507,2285.378323108385,g4ad.16xlarge,1260.6339468302658,35.55074971164936
V520,2421.476510067114,1238.0313199105144,g4ad.2xlarge,1183.4451901565994,48.87287509238728
V520,3546.0122699386507,1487.9345603271986,g4ad.4xlarge,2058.077709611452,58.0392156862745
V520,3546.0122699386507,1387.116564417178,g4ad.8xlarge,2158.8957055214723,60.882352941176464
V520,1776.9953051643192,538.0281690140845,g4ad.xlarge,1238.9671361502346,69.7225891677675
T4,6636.132315521629,2181.849024597117,g4dn.12xlarge,4454.283290924512,67.12167689161554
T4,8483.430799220274,2346.198830409357,g4dn.16xlarge,6137.231968810916,72.34375
T4,6306.07966457023,2404.1928721174004,g4dn.2xlarge,3901.88679245283,61.875
T4,6860.39886039886,2445.5840455840457,g4dn.4xlarge,4414.814814814814,64.35215946843853
T4,7555.555555555556,2261.805555555555,g4dn.8xlarge,5293.75,70.06433823529412
T4,6636.132315521629,2646.055979643766,g4dn.metal,3990.0763358778627,60.12653374233129
T4,5772.290809327847,2409.876543209876,g4dn.xlarge,3362.4142661179703,58.250950570342205
A10G,8516.516516516516,3318.6186186186183,g5.12xlarge,5197.897897897898,61.03314527503526
A10G,13518.151815181518,4736.633663366337,g5.16xlarge,8781.51815181518,64.9609375
A10G,10282.828282828285,5865.151515151516,g5.24xlarge,4417.676767676769,42.96168958742633
A10G,7769.2307692307695,3071.153846153846,g5.2xlarge,4698.076923076924,60.47029702970298
A10G,10282.828282828285,5216.098484848485,g5.48xlarge,5066.7297979797995,49.27369842829077
A10G,9175.141242937854,4134.463276836158,g5.4xlarge,5040.677966101696,54.9384236453202
A10G,11178.08219178082,5507.762557077625,g5.8xlarge,5670.319634703195,50.72712418300653
A10G,6914.089347079037,3330.584192439862,g5.xlarge,3583.505154639175,51.82902584493042
T4G,12195.555555555557,2649.777777777778,g5g.16xlarge,9545.77777777778,78.27259475218659
T4G,7376.451077943616,3125.7048092868986,g5g.2xlarge,4250.746268656718,57.62589928057555
T4G,9435.897435897436,2738.4615384615386,g5g.4xlarge,6697.435897435897,70.97826086956522
T4G,12195.555555555557,4975.111111111111,g5g.8xlarge,7220.444444444445,59.20553935860059
T4G,12195.555555555557,2918.6666666666665,g5g.metal,9276.88888888889,76.06778425655978
T4G,6070.460704607046,1805.239385727191,g5g.xlarge,4265.221318879855,70.26190476190476
L4,11946.0020768432,5805.815160955349,g6.12xlarge,6140.186915887852,51.399513212795554
L4,14591.065292096218,5380.584192439862,g6.16xlarge,9210.481099656357,63.12411681582667
