gpu_model_clean,instance_count,avg_voll_ondemand,avg_voll_spot,avg_flex_discount_usd_per_mwh,avg_flex_discount_pct_of_ondemand
B300,1,16656.842105263157,3557.0760233918127,13099.766081871345,78.64495562296372
B200,1,14550.80459770115,3853.065134099617,10697.739463601532,73.51991700370745
V100,4,10686.0019509476,1819.4215091973244,8866.580441750277,83.2659013360246
H200,1,11315.991776168768,3299.6156252793417,8016.376150889427,70.84112740141558
L4,15,13285.347680785344,6163.017892866366,7122.329787918978,53.334799310833795
T4G,6,9911.579314185796,3035.493548171864,6876.085766013931,68.73533054656541
L40S,8,9417.690099032468,3222.2998916872493,6195.390207345219,63.4918206592896
Inf1,7,7955.865349638107,1822.2335149110015,6133.631834727105,77.5045531240419
A10G,8,9704.608556047886,4397.558269311556,5307.050286736329,54.52429268671406
GB202,6,6823.7522022067,2134.175881994464,4689.576320212236,68.60829735110026
H100,2,10082.972582972583,5533.351370851371,4549.621212121214,45.135265261627914
T4,7,6892.860045730861,2385.080407302445,4507.779638428415,64.87634412971738
Inf2,4,8811.12897340622,4475.220114812562,4335.908858593656,49.56277166835825
A100,2,7775.369845766445,4038.90462700661,3736.465218759836,48.39404972501084
QA100,1,12630.936819172111,10978.213507625273,1652.7233115468389,13.084724713674609
V520,5,2967.301725009477,1387.297787355472,1580.0039376540049,54.61355651985102
