gpu_model_clean,voll_usd_per_mwh_inf_median,instance_type
QA100,12630.936819172111,dl2q.24xlarge
K520,2556.5388397246807,g2.2xlarge
K520,2556.5388397246807,g2.8xlarge
M60,3475.6097560975604,g3.16xlarge
M60,3475.6097560975604,g3.4xlarge
M60,3475.6097560975604,g3.8xlarge
M60,2636.2038664323377,g3s.xlarge
V520,3546.0122699386507,g4ad.16xlarge
V520,2421.476510067114,g4ad.2xlarge
V520,3546.0122699386507,g4ad.4xlarge
V520,3546.0122699386507,g4ad.8xlarge
V520,1776.9953051643192,g4ad.xlarge
T4,6636.132315521629,g4dn.12xlarge
T4,8483.430799220274,g4dn.16xlarge
T4,6306.07966457023,g4dn.2xlarge
T4,6860.39886039886,g4dn.4xlarge
T4,7555.555555555556,g4dn.8xlarge
T4,6636.132315521629,g4dn.metal
T4,5772.290809327847,g4dn.xlarge
A10G,8516.516516516516,g5.12xlarge
A10G,13518.151815181518,g5.16xlarge
A10G,10282.828282828285,g5.24xlarge
A10G,7769.2307692307695,g5.2xlarge
A10G,10282.828282828285,g5.48xlarge
A10G,9175.141242937854,g5.4xlarge
A10G,11178.08219178082,g5.8xlarge
A10G,6914.089347079037,g5.xlarge
T4G,12195.555555555557,g5g.16xlarge
T4G,7376.451077943616,g5g.2xlarge
T4G,9435.897435897436,g5g.4xlarge
T4G,12195.555555555557,g5g.8xlarge
T4G,12195.555555555557,g5g.metal
T4G,6070.460704607046,g5g.xlarge
L4,11946.0020768432,g6.12xlarge
L4,14591.065292096218,g6.16xlarge
L4,13057.902973395932,g6.24xlarge
L4,11393.939393939394,g6.2xlarge
L4,13057.902973395932,g6.48xlarge
L4,12389.513108614232,g6.4xlarge
L4,13537.63440860215,g6.8xlarge
L4,10687.915006640103,g6.xlarge
L40S,7570.41847041847,g6e.12xlarge
L40S,15687.784679089027,g6e.16xlarge
L40S,9964.021164021164,g6e.24xlarge
L40S,6672.916666666668,g6e.2xlarge
L40S,9964.021164021164,g6e.48xlarge
L40S,8415.126050420167,g6e.4xlarge
L40S,11349.874686716792,g6e.8xlarge
L40S,5717.3579109062985,g6e.xlarge
L4,12768.817204301076,g6f.2xlarge
L4,12768.817204301076,g6f.4xlarge
L4,15131.0861423221,g6f.large
L4,12768.817204301076,g6f.xlarge
GB202,6695.838383838383,g7e.12xlarge
GB202,6695.838383838383,g7e.24xlarge
GB202,5939.249448123621,g7e.2xlarge
GB202,6695.818181818181,g7e.48xlarge
GB202,6748.016877637131,g7e.4xlarge
GB202,8167.751937984497,g7e.8xlarge
L4,14411.985018726593,gr6.4xlarge
L4,16440.860215053763,gr6.8xlarge
L4,14327.956989247312,gr6f.4xlarge
Inf1,3122.354497354497,inf1.24xlarge
Inf1,3497.584541062802,inf1.2xlarge
Inf1,3121.693121693121,inf1.6xlarge
Inf1,2666.6666666666665,inf1.xlarge
Inf2,8195.20202020202,inf2.24xlarge
Inf2,8195.265151515152,inf2.48xlarge
Inf2,11309.770114942528,inf2.8xlarge
Inf2,7544.278606965174,inf2.xlarge
K80,6020.066889632107,p2.16xlarge
K80,6020.066889632107,p2.8xlarge
K80,3163.4446397188053,p2.xlarge
V100,10234.11371237458,p3.16xlarge
V100,10234.11371237458,p3.2xlarge
V100,10234.11371237458,p3.8xlarge
V100,12041.666666666666,p3dn.24xlarge
A100,6911.425873465533,p4d.24xlarge
A100,8639.313818067358,p4de.24xlarge
H100,9927.849927849928,p5.48xlarge
H100,10238.09523809524,p5.4xlarge
H200,11315.991776168768,p5en.48xlarge
B200,14550.80459770115,p6-b200.48xlarge
B300,16656.842105263157,p6-b300.48xlarge
Inf1,13729.75734355045,trn1.2xlarge
Inf1,13729.246487867178,trn1.32xlarge
Inf1,15823.754789272032,trn1n.32xlarge
