gpu_model_clean,voll_usd_per_mwh_inf_median,voll_spot_usd_per_mwh_inf_median,instance_type,flex_discount_usd_per_mwh,flex_discount_pct_of_ondemand,gpu_vintage_group
QA100,11482.66983561101,9980.194097841157,dl2q.24xlarge,1502.4757377698534,13.084724713674609,Mainstream Modern AI
T4,8064.316635745205,2651.412079983508,g4dn.12xlarge,5412.904555761696,67.12167689161554,Transitional / Early AI
T4,12559.884559884558,3473.593073593073,g4dn.16xlarge,9086.291486291486,72.34375,Transitional / Early AI
T4,7234.247234247233,2758.0567580567576,g4dn.2xlarge,4476.190476190475,61.875,Transitional / Early AI
T4,8686.868686868684,3096.6810966810963,g4dn.4xlarge,5590.187590187587,64.35215946843853,Transitional / Early AI
T4,10466.570466570463,3133.2371332371326,g4dn.8xlarge,7333.33333333333,70.06433823529412,Transitional / Early AI
T4,8064.316635745205,3215.5225726654294,g4dn.metal,4848.794063079775,60.126533742331276,Transitional / Early AI
T4,6072.150072150072,2535.0649350649346,g4dn.xlarge,3537.085137085138,58.25095057034222,Transitional / Early AI
A10G,7742.287742287741,3016.9260169260165,g5.12xlarge,4725.361725361725,61.03314527503526,Mainstream Modern AI
A10G,12289.228922892287,4306.030603060305,g5.16xlarge,7983.198319831982,64.9609375,Mainstream Modern AI
A10G,9348.025711662074,5331.955922865013,g5.24xlarge,4016.069788797061,42.96168958742633,Mainstream Modern AI
A10G,7062.9370629370615,2791.9580419580416,g5.2xlarge,4270.97902097902,60.47029702970297,Mainstream Modern AI
A10G,9348.025711662074,4741.907713498622,g5.48xlarge,4606.117998163452,49.27369842829077,Mainstream Modern AI
A10G,8341.037493579865,3758.602978941961,g5.4xlarge,4582.434514637904,54.9384236453202,Mainstream Modern AI
A10G,10161.892901618929,5007.056870070568,g5.8xlarge,5154.836031548361,50.727124183006545,Mainstream Modern AI
A10G,6285.535770071851,3027.803811308965,g5.xlarge,3257.7319587628863,51.82902584493042,Mainstream Modern AI
T4G,9557.645419714385,2076.628352490421,g5g.16xlarge,7481.017067223964,78.27259475218659,Mainstream Modern AI
T4G,6328.069426660975,2681.462512448428,g5g.2xlarge,3646.6069142125475,57.62589928057553,Mainstream Modern AI
T4G,7780.126849894291,2257.9281183932344,g5g.4xlarge,5522.1987315010565,70.97826086956522,Mainstream Modern AI
T4G,9557.645419714385,3898.9898989898975,g5g.8xlarge,5658.655520724487,59.2055393586006,Mainstream Modern AI
T4G,9557.645419714385,2287.35632183908,g5g.metal,7270.289097875305,76.06778425655976,Mainstream Modern AI
T4G,5344.786447148651,1589.4376839258723,g5g.xlarge,3755.348763222779,70.26190476190477,Mainstream Modern AI
L4,10860.00188803927,5278.013782686679,g6.12xlarge,5581.988105352591,51.399513212795554,Mainstream Modern AI
L4,13264.60481099656,4891.440174945328,g6.16xlarge,8373.164636051231,63.12411681582666,Mainstream Modern AI
L4,11870.820884905392,6138.497652582159,g6.24xlarge,5732.323232323232,48.28918983700863,Mainstream Modern AI
L4,10358.126721763085,5988.556897647807,g6.2xlarge,4369.569824115278,42.184942716857606,Mainstream Modern AI
L4,11870.820884905392,5992.406458955754,g6.48xlarge,5878.414425949638,49.519864573346126,Mainstream Modern AI
L4,11263.193735103849,5695.437521280218,g6.4xlarge,5567.756213823631,49.43319226118501,Mainstream Modern AI
L4,12306.9403714565,7048.509286412512,g6.8xlarge,5258.431085043988,42.72736298649722,Mainstream Modern AI
L4,9716.286369672824,4636.001448750452,g6.xlarge,5080.284920922371,52.286282306163024,Mainstream Modern AI
L40S,6882.198609471335,3017.971927062836,g6e.12xlarge,3864.2266824084986,56.14814250042887,Mainstream Modern AI
L40S,14261.622435535475,3525.503482025221,g6e.16xlarge,10736.118953510255,75.27978672860687,Mainstream Modern AI
L40S,9058.201058201055,2448.412698412698,g6e.24xlarge,6609.788359788357,72.97021028037382,Mainstream Modern AI
L40S,6066.287878787878,2675.8658008658003,g6e.2xlarge,3390.4220779220777,55.8895678158869,Mainstream Modern AI
L40S,9058.201058201055,2857.503607503607,g6e.48xlarge,6200.697450697448,68.45396134239591,Mainstream Modern AI
L40S,7650.114591291061,3183.855360325948,g6e.4xlarge,4466.259230965113,58.38159909460089,Mainstream Modern AI
L40S,10318.067897015264,3244.01913875598,g6e.8xlarge,7074.048758259284,68.55981981186238,Mainstream Modern AI
L40S,5197.598100823907,2481.7762882279007,g6e.xlarge,2715.821812596006,52.25147770016121,Mainstream Modern AI
L4,11608.015640273705,5029.325513196481,g6f.2xlarge,6578.690127077224,56.67368421052632,Mainstream Modern AI
