gpu_model_clean,voll_usd_per_mwh_trng_median,voll_spot_usd_per_mwh_trng_median,instance_type,flex_discount_usd_per_mwh,flex_discount_pct_of_ondemand,gpu_vintage_group
QA100,11367.843137254902,9880.392156862745,dl2q.24xlarge,1487.4509803921574,13.084724713674628,Mainstream Modern AI
T4,5972.519083969466,1963.6641221374043,g4dn.12xlarge,4008.8549618320617,67.12167689161555,Transitional / Early AI
T4,7635.087719298246,2111.5789473684213,g4dn.16xlarge,5523.508771929824,72.34375,Transitional / Early AI
T4,5675.471698113208,2163.7735849056608,g4dn.2xlarge,3511.698113207547,61.87499999999999,Transitional / Early AI
T4,6174.358974358975,2201.025641025641,g4dn.4xlarge,3973.3333333333335,64.35215946843854,Transitional / Early AI
T4,6800.0,2035.625,g4dn.8xlarge,4764.375,70.06433823529412,Transitional / Early AI
T4,5972.519083969466,2381.450381679389,g4dn.metal,3591.068702290077,60.126533742331304,Transitional / Early AI
T4,5195.061728395062,2168.8888888888887,g4dn.xlarge,3026.1728395061737,58.25095057034222,Transitional / Early AI
A10G,7664.864864864865,2986.7567567567567,g5.12xlarge,4678.108108108108,61.03314527503526,Mainstream Modern AI
A10G,12166.336633663368,4262.970297029703,g5.16xlarge,7903.366336633665,64.9609375,Mainstream Modern AI
A10G,9254.545454545454,5278.636363636363,g5.24xlarge,3975.909090909091,42.96168958742633,Mainstream Modern AI
A10G,6992.307692307692,2764.038461538461,g5.2xlarge,4228.269230769231,60.47029702970298,Mainstream Modern AI
A10G,9254.545454545454,4694.488636363636,g5.48xlarge,4560.056818181818,49.27369842829077,Mainstream Modern AI
A10G,8257.627118644068,3721.016949152543,g5.4xlarge,4536.610169491525,54.93842364532019,Mainstream Modern AI
A10G,10060.27397260274,4956.986301369863,g5.8xlarge,5103.287671232876,50.72712418300653,Mainstream Modern AI
A10G,6222.680412371135,2997.5257731958764,g5.xlarge,3225.154639175259,51.829025844930435,Mainstream Modern AI
T4G,10976.0,2384.8,g5g.16xlarge,8591.2,78.27259475218659,Mainstream Modern AI
T4G,6638.805970149254,2813.134328358209,g5g.2xlarge,3825.6716417910447,57.625899280575545,Mainstream Modern AI
T4G,8492.307692307691,2464.6153846153848,g5g.4xlarge,6027.692307692307,70.97826086956522,Mainstream Modern AI
T4G,10976.0,4477.599999999999,g5g.8xlarge,6498.400000000001,59.20553935860059,Mainstream Modern AI
T4G,10976.0,2626.8,g5g.metal,8349.2,76.06778425655978,Mainstream Modern AI
T4G,5463.414634146341,1624.7154471544716,g5g.xlarge,3838.6991869918693,70.26190476190476,Mainstream Modern AI
L4,10751.40186915888,5225.2336448598135,g6.12xlarge,5526.168224299067,51.399513212795554,Mainstream Modern AI
L4,13131.958762886596,4842.525773195876,g6.16xlarge,8289.432989690718,63.124116815826646,Mainstream Modern AI
L4,11752.112676056338,6077.1126760563375,g6.24xlarge,5675.000000000001,48.289189837008635,Mainstream Modern AI
L4,10254.545454545456,5928.671328671329,g6.2xlarge,4325.874125874127,42.18494271685761,Mainstream Modern AI
L4,11752.112676056338,5932.482394366197,g6.48xlarge,5819.630281690142,49.519864573346126,Mainstream Modern AI
L4,11150.561797752807,5638.483146067416,g6.4xlarge,5512.078651685391,49.433192261185,Mainstream Modern AI
L4,12183.87096774194,6978.024193548388,g6.8xlarge,5205.846774193551,42.72736298649723,Mainstream Modern AI
L4,9619.123505976097,4589.641434262948,g6.xlarge,5029.482071713149,52.28628230616303,Mainstream Modern AI
L40S,6813.376623376624,2987.792207792208,g6e.12xlarge,3825.5844155844156,56.148142500428875,Mainstream Modern AI
L40S,14119.006211180124,3490.248447204969,g6e.16xlarge,10628.757763975154,75.27978672860687,Mainstream Modern AI
L40S,8967.619047619048,2423.928571428571,g6e.24xlarge,6543.690476190477,72.97021028037383,Mainstream Modern AI
L40S,6005.625000000001,2649.107142857143,g6e.2xlarge,3356.517857142858,55.8895678158869,Mainstream Modern AI
L40S,8967.619047619048,2828.928571428572,g6e.48xlarge,6138.690476190475,68.45396134239591,Mainstream Modern AI
L40S,7573.613445378151,3152.0168067226887,g6e.4xlarge,4421.596638655462,58.38159909460089,Mainstream Modern AI
L40S,10214.887218045113,3211.578947368421,g6e.8xlarge,7003.308270676692,68.55981981186238,Mainstream Modern AI
L40S,5145.622119815667,2456.9585253456216,g6e.xlarge,2688.6635944700456,52.25147770016121,Mainstream Modern AI
L4,11491.93548387097,4979.032258064517,g6f.2xlarge,6512.903225806453,56.67368421052632,Mainstream Modern AI
L4,11491.93548387097,5413.306451612904,g6f.4xlarge,6078.629032258065,52.89473684210526,Mainstream Modern AI
L4,13617.977528089888,3808.988764044944,g6f.large,9808.988764044945,72.02970297029704,Mainstream Modern AI
L4,11491.93548387097,4577.41935483871,g6f.xlarge,6914.516129032259,60.16842105263158,Mainstream Modern AI
GB202,6026.254545454545,1994.3272727272729,g7e.12xlarge,4031.9272727272723,66.90602334029278,Mainstream Modern AI
GB202,6026.254545454545,1900.4,g7e.24xlarge,4125.854545454546,68.4646576797287,Mainstream Modern AI
GB202,5345.324503311259,1643.6026490066226,g7e.2xlarge,3701.7218543046365,69.25158336058995,Mainstream Modern AI
GB202,6026.236363636364,2134.4,g7e.48xlarge,3891.8363636363642,64.58154192425243,Mainstream Modern AI
GB202,6073.215189873417,1801.2151898734176,g7e.4xlarge,4272.0,70.34165374418488,Mainstream Modern AI
GB202,7350.976744186047,2050.6046511627906,g7e.8xlarge,5300.372093023256,72.10432405755286,Mainstream Modern AI
