gpu_model_clean,instance_count,avg_voll_ondemand,avg_voll_spot,avg_flex_discount_usd_per_mwh,avg_flex_discount_pct_of_ondemand
B300,1,18322.52631578948,3157.1929824561403,15165.33333333334,82.76879002359286
B200,1,16005.885057471263,4238.371647509579,11767.513409961684,73.51991700370745
V100,4,11754.602146042364,2001.363660117057,9753.238485925307,83.2659013360246
H200,1,12447.590953785646,3629.577187807277,8818.013765978369,70.84112740141558
L4,15,14613.882448863878,6779.319682153003,7834.562766710876,53.334799310833795
T4G,6,10902.737245604374,3339.0429029890506,7563.694342615323,68.73533054656541
L40S,8,10359.459108935718,3544.5298808559746,6814.929228079743,63.49182065928961
Inf1,7,8751.451884601918,2004.4568664021015,6746.9950181998165,77.50455312404189
A10G,8,10675.069411652674,4837.314096242712,5837.755315409962,54.52429268671406
GB202,6,7506.12742242737,2347.59347019391,5158.533952233461,68.60829735110028
H100,2,11091.269841269843,6086.686507936509,5004.583333333334,45.13526526162791
T4,7,7582.146050303948,2623.58844803269,4958.557602271257,64.8763441297174
Inf2,4,9692.241870746839,4922.742126293818,4769.499744453022,49.56277166835825
A100,2,8552.906830343092,4442.7950897072715,4110.111740635821,48.394049725010845
QA100,1,13894.030501089326,12076.0348583878,1817.9956427015259,13.084724713674628
V520,5,3264.0318975104246,1526.0275660910195,1738.0043314194052,54.61355651985102
