gpu_model_clean,voll_usd_per_mwh_inf_median,voll_reserved_usd_per_mwh_inf_median,instance_type,forward_curve_discount_usd_per_mwh,forward_curve_discount_pct_of_ondemand,gpu_vintage_group,panel_scenario,voll_usd_per_mwh_trng_median,voll_reserved_usd_per_mwh_trng_median
QA100,13894.030501089326,8753.26797385621,dl2q.24xlarge,5140.762527233117,36.99979301780048,Mainstream Modern AI,inf_median,,
T4,7299.745547073791,4599.660729431722,g4dn.12xlarge,2700.0848176420695,36.98875255623722,Transitional / Early AI,inf_median,,
T4,9331.773879142302,5879.5321637426905,g4dn.16xlarge,3452.241715399611,36.99448529411765,Transitional / Early AI,inf_median,,
T4,6936.687631027254,4372.327044025157,g4dn.2xlarge,2564.3605870020965,36.96808510638298,Transitional / Early AI,inf_median,,
T4,7546.438746438747,4757.264957264958,g4dn.4xlarge,2789.1737891737894,36.96013289036545,Transitional / Early AI,inf_median,,
T4,8311.111111111113,5236.458333333334,g4dn.8xlarge,3074.652777777779,36.99448529411766,Transitional / Early AI,inf_median,,
T4,7299.745547073791,4598.727735368957,g4dn.metal,2701.0178117048345,37.00153374233129,Transitional / Early AI,inf_median,,
T4,6349.519890260633,3995.610425240056,g4dn.xlarge,2353.9094650205766,37.0722433460076,Transitional / Early AI,inf_median,,
A10G,9368.168168168168,5902.012012012012,g5.12xlarge,3466.1561561561557,36.999294781382225,Mainstream Modern AI,inf_median,,
A10G,14869.966996699672,9368.151815181518,g5.16xlarge,5501.815181518154,36.99951171875001,Mainstream Modern AI,inf_median,,
A10G,11311.111111111111,7125.972222222222,g5.24xlarge,4185.13888888889,37.00024557956779,Mainstream Modern AI,inf_median,,
A10G,8546.153846153846,5384.358974358975,g5.2xlarge,3161.794871794871,36.99669966996699,Mainstream Modern AI,inf_median,,
A10G,11311.111111111111,7125.972222222222,g5.48xlarge,4185.13888888889,37.00024557956779,Mainstream Modern AI,inf_median,,
A10G,10092.65536723164,6358.248587570622,g5.4xlarge,3734.406779661019,37.00123152709361,Mainstream Modern AI,inf_median,,
A10G,12295.890410958906,7746.210045662101,g5.8xlarge,4549.680365296805,37.001633986928105,Mainstream Modern AI,inf_median,,
A10G,7605.498281786943,4791.615120274915,g5.xlarge,2813.883161512028,36.99801192842942,Mainstream Modern AI,inf_median,,
T4G,13415.111111111111,8451.422222222222,g5g.16xlarge,4963.68888888889,37.00072886297377,Mainstream Modern AI,inf_median,,
T4G,8114.096185737979,5112.172470978442,g5g.2xlarge,3001.923714759537,36.99640287769785,Mainstream Modern AI,inf_median,,
T4G,10379.48717948718,6538.575498575498,g5g.4xlarge,3840.9116809116813,37.0048309178744,Mainstream Modern AI,inf_median,,
T4G,13415.111111111111,8451.91111111111,g5g.8xlarge,4963.200000000001,36.997084548104965,Mainstream Modern AI,inf_median,,
T4G,13415.111111111111,8451.422222222222,g5g.metal,4963.68888888889,37.00072886297377,Mainstream Modern AI,inf_median,,
T4G,6677.506775067752,4206.829268292684,g5g.xlarge,2470.6775067750677,36.99999999999999,Mainstream Modern AI,inf_median,,
L4,13140.602284527522,8554.41329179647,g6.12xlarge,4586.188992731051,34.9009040333797,Mainstream Modern AI,inf_median,,
L4,16050.17182130584,10448.582474226803,g6.16xlarge,5601.589347079036,34.90049458313707,Mainstream Modern AI,inf_median,,
L4,14363.693270735526,9350.860719874803,g6.24xlarge,5012.832550860723,34.89932885906042,Mainstream Modern AI,inf_median,,
L4,12533.333333333334,8158.974358974358,g6.2xlarge,4374.3589743589755,34.901800327332246,Mainstream Modern AI,inf_median,,
L4,14363.693270735526,9350.753129890456,g6.48xlarge,5012.94014084507,34.90007790028763,Mainstream Modern AI,inf_median,,
L4,13628.464419475653,8872.097378277153,g6.4xlarge,4756.3670411985,34.90024183796855,Mainstream Modern AI,inf_median,,
L4,14891.397849462368,9694.489247311829,g6.8xlarge,5196.908602150539,34.898729150119145,Mainstream Modern AI,inf_median,,
L4,11756.706507304116,7653.2536520584335,g6.xlarge,4103.452855245682,34.90308151093438,Mainstream Modern AI,inf_median,,
L40S,8327.460317460318,5246.349206349208,g6e.12xlarge,3081.1111111111104,36.999409107370894,Mainstream Modern AI,inf_median,,
L40S,17256.563146997934,10871.55279503106,g6e.16xlarge,6385.010351966874,37.00047510953913,Mainstream Modern AI,inf_median,,
L40S,10960.423280423283,6905.046296296298,g6e.24xlarge,4055.376984126985,37.00018585386576,Mainstream Modern AI,inf_median,,
L40S,7340.208333333336,4624.255952380954,g6e.2xlarge,2715.9523809523816,37.00102582400428,Mainstream Modern AI,inf_median,,
L40S,10960.423280423283,6905.046296296298,g6e.48xlarge,4055.376984126985,37.00018585386576,Mainstream Modern AI,inf_median,,
L40S,9256.638655462186,5831.848739495798,g6e.4xlarge,3424.7899159663875,36.998202516476944,Mainstream Modern AI,inf_median,,
L40S,12484.862155388471,7865.413533834588,g6e.8xlarge,4619.448621553884,37.00039747383296,Mainstream Modern AI,inf_median,,
L40S,6289.093701996929,3962.0276497695854,g6e.xlarge,2327.0660522273433,37.0016120365395,Mainstream Modern AI,inf_median,,
L4,15853.183520599248,10320.224719101125,gr6.4xlarge,5532.958801498124,34.90124740124738,Mainstream Modern AI,inf_median,,
L4,18084.946236559143,11773.252688172044,gr6.8xlarge,6311.693548387098,34.90026160889471,Mainstream Modern AI,inf_median,,
Inf1,3434.589947089947,2163.624338624339,inf1.24xlarge,1270.965608465608,37.00487184918448,Transitional / Early AI,inf_median,,
