Linux Spot Interrupt Frequency,voll_spot_usd_per_mwh_trng_median,instance_type,gpu_model_clean,gpu_vintage_group,interrupt_category_order
<5%,1699.8681742128476,g4ad.16xlarge,V520,Legacy / Older Vintage,0
<5%,920.8497420822008,g4ad.2xlarge,V520,Legacy / Older Vintage,0
<5%,1106.7281853673371,g4ad.4xlarge,V520,Legacy / Older Vintage,0
<5%,1031.7395933681487,g4ad.8xlarge,V520,Legacy / Older Vintage,0
<5%,400.18624141543467,g4ad.xlarge,V520,Legacy / Older Vintage,0
>20%,2169.3371563501432,g4dn.12xlarge,T4,Transitional / Early AI,4
>20%,2842.0306965761506,g4dn.16xlarge,T4,Transitional / Early AI,4
>20%,2256.591892955529,g4dn.2xlarge,T4,Transitional / Early AI,4
>20%,2533.648170011806,g4dn.4xlarge,T4,Transitional / Early AI,4
>20%,2563.5576544667447,g4dn.8xlarge,T4,Transitional / Early AI,4
>20%,2630.882104908079,g4dn.metal,T4,Transitional / Early AI,4
10-15%,2074.1440377804006,g4dn.xlarge,T4,Transitional / Early AI,2
>20%,2468.394013848559,g5.12xlarge,A10G,Mainstream Modern AI,4
>20%,3523.115947958432,g5.16xlarge,A10G,Mainstream Modern AI,4
>20%,4362.509391435011,g5.24xlarge,A10G,Mainstream Modern AI,4
15-20%,2284.329307056579,g5.2xlarge,A10G,Mainstream Modern AI,3
>20%,3879.742674680691,g5.48xlarge,A10G,Mainstream Modern AI,4
>20%,3075.220619134332,g5.4xlarge,A10G,Mainstream Modern AI,4
>20%,4096.6828936941,g5.8xlarge,A10G,Mainstream Modern AI,4
>20%,2477.294027434608,g5.xlarge,A10G,Mainstream Modern AI,4
10-15%,1699.0595611285262,g5g.16xlarge,T4G,Mainstream Modern AI,2
5-10%,2193.923873821441,g5g.2xlarge,T4G,Mainstream Modern AI,1
5-10%,1847.3957332308285,g5g.4xlarge,T4G,Mainstream Modern AI,1
5-10%,3190.0826446280985,g5g.8xlarge,T4G,Mainstream Modern AI,1
>20%,1871.4733542319743,g5g.metal,T4G,Mainstream Modern AI,4
5-10%,1300.4490141211686,g5g.xlarge,T4G,Mainstream Modern AI,1
5-10%,4318.374913107284,g6.12xlarge,L4,Mainstream Modern AI,1
10-15%,4002.08741586436,g6.16xlarge,L4,Mainstream Modern AI,2
>20%,5022.407170294493,g6.24xlarge,L4,Mainstream Modern AI,4
10-15%,4899.728370802751,g6.2xlarge,L4,Mainstream Modern AI,2
15-20%,4902.878011872889,g6.48xlarge,L4,Mainstream Modern AI,3
>20%,4659.903426501995,g6.4xlarge,L4,Mainstream Modern AI,4
>20%,5766.962143428417,g6.8xlarge,L4,Mainstream Modern AI,4
>20%,3793.0920944321874,g6.xlarge,L4,Mainstream Modern AI,4
>20%,2469.249758505957,g6e.12xlarge,L40S,Mainstream Modern AI,4
>20%,2884.5028489297256,g6e.16xlarge,L40S,Mainstream Modern AI,4
>20%,2003.246753246753,g6e.24xlarge,L40S,Mainstream Modern AI,4
5-10%,2189.3447461629275,g6e.2xlarge,L40S,Mainstream Modern AI,1
10-15%,2337.9574970484064,g6e.48xlarge,L40S,Mainstream Modern AI,2
>20%,2604.972567539412,g6e.4xlarge,L40S,Mainstream Modern AI,4
15-20%,2654.197477163984,g6e.8xlarge,L40S,Mainstream Modern AI,3
>20%,2030.544235822828,g6e.xlarge,L40S,Mainstream Modern AI,4
>20%,4114.902692615302,g6f.2xlarge,L4,Mainstream Modern AI,4
15-20%,4473.806984804051,g6f.4xlarge,L4,Mainstream Modern AI,3
<5%,3147.92459838425,g6f.large,L4,Mainstream Modern AI,0
5-10%,3782.99120234604,g6f.xlarge,L4,Mainstream Modern AI,1
>20%,1648.204357625845,g7e.12xlarge,GB202,Mainstream Modern AI,4
>20%,1570.578512396694,g7e.24xlarge,GB202,Mainstream Modern AI,4
15-20%,1358.349296699688,g7e.2xlarge,GB202,Mainstream Modern AI,3
>20%,1763.9669421487602,g7e.48xlarge,GB202,Mainstream Modern AI,4
10-15%,1488.6075949367084,g7e.4xlarge,GB202,Mainstream Modern AI,2
15-20%,1694.7145877378434,g7e.8xlarge,GB202,Mainstream Modern AI,3
>20%,4872.31869254341,gr6.4xlarge,L4,Mainstream Modern AI,4
10-15%,6628.732338043187,gr6.8xlarge,L4,Mainstream Modern AI,2
>20%,4374.833377765928,gr6f.4xlarge,L4,Mainstream Modern AI,4
>20%,1358.0910196522843,p3.16xlarge,V100,Transitional / Early AI,4
>20%,847.2871002515271,p3.2xlarge,V100,Transitional / Early AI,4
>20%,1090.2664529146743,p3.8xlarge,V100,Transitional / Early AI,4
>20%,2117.510330578512,p3dn.24xlarge,V100,Transitional / Early AI,4
15-20%,2394.3810636004314,p4d.24xlarge,A100,Mainstream Modern AI,3
15-20%,3369.003772906935,p4de.24xlarge,A100,Mainstream Modern AI,3
<5%,3986.8922399914127,p5.48xlarge,H100,Mainstream Modern AI,0
<5%,4244.539551357732,p5.4xlarge,H100,Mainstream Modern AI,0
<5%,2454.259555992898,p5en.48xlarge,H200,Emerging / Frontier AI,0
10-15%,2865.9162154459955,p6-b200.48xlarge,B200,Emerging / Frontier AI,2
