gpu_model_clean,gpu_vintage_group,instance_type,ondemand_trng_median,ondemand_inf_median,ondemand_sla_h3p0_trng_median,ondemand_sla_h3p0_inf_median,spot_trng_median,spot_inf_median
QA100,Mainstream Modern AI,dl2q.24xlarge,9394.911683681736,11482.66983561101,77977.76697455841,95306.15963557138,8165.613352779126,9980.194097841157
K520,Legacy / Older Vintage,g2.2xlarge,1901.5578146712496,2324.126217931528,15782.929861771374,19290.247608831683,,
K520,Legacy / Older Vintage,g2.8xlarge,1901.5578146712496,2324.126217931528,15782.929861771374,19290.247608831683,,
M60,Legacy / Older Vintage,g3.16xlarge,2585.16428139488,3159.645232815964,21456.863535577508,26225.055432372505,,
M60,Legacy / Older Vintage,g3.4xlarge,2585.16428139488,3159.645232815964,21456.863535577508,26225.055432372505,,
M60,Legacy / Older Vintage,g3.8xlarge,2585.16428139488,3159.645232815964,21456.863535577508,26225.055432372505,,
M60,Legacy / Older Vintage,g3s.xlarge,1960.812793214135,2396.548969483943,16274.746183677322,19891.356446716727,,
V520,Legacy / Older Vintage,g4ad.16xlarge,2637.529787557673,3223.647518126045,21891.497236728686,26756.274400446175,1699.8681742128476,2077.616657371258
V520,Legacy / Older Vintage,g4ad.2xlarge,1801.0982306284316,2201.342281879194,14949.115314215984,18271.140939597313,920.8497420822008,1125.4830181004677
V520,Legacy / Older Vintage,g4ad.4xlarge,2637.529787557673,3223.647518126045,21891.497236728686,26756.274400446175,1106.7281853673371,1352.6677821156347
V520,Legacy / Older Vintage,g4ad.8xlarge,2637.529787557673,3223.647518126045,21891.497236728686,26756.274400446175,1031.7395933681487,1261.0150585610706
V520,Legacy / Older Vintage,g4ad.xlarge,1321.732045163543,1615.4502774221082,10970.375974857408,13408.2373026035,400.18624141543467,489.1165172855313
T4,Transitional / Early AI,g4dn.12xlarge,6598.0772474278965,8064.316635745205,54764.041153651546,66933.82807668521,2169.3371563501432,2651.412079983508
T4,Transitional / Early AI,g4dn.16xlarge,10276.269185360092,12559.884559884558,85293.03423848876,104247.04184704184,2842.0306965761506,3473.593073593073
T4,Transitional / Early AI,g4dn.2xlarge,5918.929555293191,7234.247234247233,49127.11530893349,60044.25204425204,2256.591892955529,2758.0567580567576
T4,Transitional / Early AI,g4dn.4xlarge,7107.438016528924,8686.868686868684,58991.73553719008,72101.01010101008,2533.648170011806,3096.6810966810963
T4,Transitional / Early AI,g4dn.8xlarge,8563.557654466744,10466.570466570463,71077.52853207398,86872.53487253486,2563.5576544667447,3133.2371332371326
T4,Transitional / Early AI,g4dn.metal,6598.0772474278965,8064.316635745205,54764.041153651546,66933.82807668521,2630.882104908079,3215.5225726654294
T4,Transitional / Early AI,g4dn.xlarge,4968.122786304603,6072.150072150072,41235.41912632821,50398.845598845604,2074.1440377804006,2535.0649350649346
A10G,Mainstream Modern AI,g5.12xlarge,6334.599061871788,7742.287742287741,52577.17221353584,64260.988260988255,2468.394013848559,3016.9260169260165
A10G,Mainstream Modern AI,g5.16xlarge,10054.823664184598,12289.228922892287,83455.03641273217,102000.60006000599,3523.115947958432,4306.030603060305
A10G,Mainstream Modern AI,g5.24xlarge,7648.384673178061,9348.025711662074,63481.592787377915,77588.61340679522,4362.509391435011,5331.955922865013
A10G,Mainstream Modern AI,g5.2xlarge,5778.766687857596,7062.9370629370615,47963.76350921805,58622.377622377615,2284.329307056579,2791.9580419580416
A10G,Mainstream Modern AI,g5.48xlarge,7648.384673178061,9348.025711662074,63481.592787377915,77588.61340679522,3879.742674680691,4741.907713498622
A10G,Mainstream Modern AI,g5.4xlarge,6824.485222019891,8341.037493579865,56643.2273427651,69230.61119671288,3075.220619134332,3758.602978941961
