gpu_model_clean,gpu_vintage_group,instance_type,ondemand_trng_median,ondemand_inf_median,ondemand_sla_h4p0_trng_median,ondemand_sla_h4p0_inf_median,spot_trng_median,spot_inf_median
QA100,Mainstream Modern AI,dl2q.24xlarge,11884.563279857395,14525.577342047927,11884.563279857395,14525.577342047927,10329.500891265594,12624.94553376906
K520,Legacy / Older Vintage,g2.2xlarge,2405.47063555913,2940.0196656833828,2405.47063555913,2940.0196656833828,,
K520,Legacy / Older Vintage,g2.8xlarge,2405.47063555913,2940.0196656833828,2405.47063555913,2940.0196656833828,,
M60,Legacy / Older Vintage,g3.16xlarge,3270.2328159645226,3996.951219512194,3270.2328159645226,3996.951219512194,,
M60,Legacy / Older Vintage,g3.4xlarge,3270.2328159645226,3996.951219512194,3270.2328159645226,3996.951219512194,,
M60,Legacy / Older Vintage,g3.8xlarge,3270.2328159645226,3996.951219512194,3270.2328159645226,3996.951219512194,,
M60,Legacy / Older Vintage,g3s.xlarge,2480.4281834158805,3031.634446397188,2480.4281834158805,3031.634446397188,,
V520,Legacy / Older Vintage,g4ad.16xlarge,3336.4751812604563,4077.914110429448,3336.4751812604563,4077.914110429448,2150.333240379252,2628.1850715746423
V520,Legacy / Older Vintage,g4ad.2xlarge,2278.389261744966,2784.6979865771814,2278.389261744966,2784.6979865771814,1164.874923733984,1423.736017897092
V520,Legacy / Older Vintage,g4ad.4xlarge,3336.4751812604563,4077.914110429448,3336.4751812604563,4077.914110429448,1400.0111544896818,1711.1247443762784
V520,Legacy / Older Vintage,g4ad.8xlarge,3336.4751812604563,4077.914110429448,3336.4751812604563,4077.914110429448,1305.150585610708,1595.1840490797547
V520,Legacy / Older Vintage,g4ad.xlarge,1671.991037131882,2043.5446009389675,1671.991037131882,2043.5446009389675,506.2355953905249,618.7323943661972
T4,Transitional / Early AI,g4dn.12xlarge,8346.567717996288,10201.360544217689,8346.567717996288,10201.360544217689,2744.211502782931,3354.0362811791383
T4,Transitional / Early AI,g4dn.16xlarge,12999.480519480518,15888.253968253968,12999.480519480518,15888.253968253968,3595.1688311688304,4394.095238095238
T4,Transitional / Early AI,g4dn.2xlarge,7487.445887445885,9151.32275132275,7487.445887445885,9151.32275132275,2854.588744588744,3488.941798941799
T4,Transitional / Early AI,g4dn.4xlarge,8990.909090909088,10988.888888888889,8990.909090909088,10988.888888888889,3205.064935064934,3917.301587301588
T4,Transitional / Early AI,g4dn.8xlarge,10832.900432900433,13240.21164021164,10832.900432900433,13240.21164021164,3242.900432900432,3963.544973544973
T4,Transitional / Early AI,g4dn.metal,8346.567717996288,10201.360544217689,8346.567717996288,10201.360544217689,3328.065862708719,4067.636054421768
T4,Transitional / Early AI,g4dn.xlarge,6284.675324675323,7681.269841269841,6284.675324675323,7681.269841269841,2623.792207792207,3206.857142857142
A10G,Mainstream Modern AI,g5.12xlarge,8013.267813267811,9793.993993993992,8013.267813267811,9793.993993993992,3122.518427518427,3816.411411411411
A10G,Mainstream Modern AI,g5.16xlarge,12719.351935193516,15545.874587458744,12719.351935193516,15545.874587458744,4456.741674167416,5447.128712871287
A10G,Mainstream Modern AI,g5.24xlarge,9675.206611570247,11825.252525252525,9675.206611570247,11825.252525252525,5518.574380165288,6744.924242424242
A10G,Mainstream Modern AI,g5.2xlarge,7310.139860139858,8934.615384615383,7310.139860139858,8934.615384615383,2889.6765734265728,3531.826923076923
A10G,Mainstream Modern AI,g5.48xlarge,9675.206611570247,11825.252525252525,9675.206611570247,11825.252525252525,4907.874483471073,5998.513257575757
A10G,Mainstream Modern AI,g5.4xlarge,8632.97380585516,10551.412429378532,8632.97380585516,10551.412429378532,3890.1540832049295,4754.632768361582
A10G,Mainstream Modern AI,g5.8xlarge,10517.559153175587,12854.794520547945,10517.559153175587,12854.794520547945,5182.303860523038,6333.926940639269
A10G,Mainstream Modern AI,g5.xlarge,6505.529522024366,7951.202749140894,6505.529522024366,7951.202749140894,3133.776944704779,3830.171821305842
T4G,Mainstream Modern AI,g5g.16xlarge,11474.909090909088,14024.888888888889,11474.909090909088,14024.888888888889,2493.2,3047.244444444444
T4G,Mainstream Modern AI,g5g.2xlarge,6940.569877883309,8482.918739635157,6940.569877883309,8482.918739635157,2941.0040705563083,3594.560530679933
T4G,Mainstream Modern AI,g5g.4xlarge,8878.321678321676,10851.282051282047,8878.321678321676,10851.282051282047,2576.643356643356,3149.230769230769
T4G,Mainstream Modern AI,g5g.8xlarge,11474.909090909088,14024.888888888889,11474.909090909088,14024.888888888889,4681.127272727272,5721.377777777777
T4G,Mainstream Modern AI,g5g.metal,11474.909090909088,14024.888888888889,11474.909090909088,14024.888888888889,2746.199999999999,3356.4666666666662
