gpu_model_clean,gpu_vintage_group,instance_type,ondemand_sla_h4p0_trng_median,ondemand_sla_h4p0_inf_median
QA100,Mainstream Modern AI,dl2q.24xlarge,11367.843137254902,13894.030501089326
K520,Legacy / Older Vintage,g2.2xlarge,2300.8849557522126,2812.192723697149
K520,Legacy / Older Vintage,g2.8xlarge,2300.8849557522126,2812.192723697149
M60,Legacy / Older Vintage,g3.16xlarge,3128.0487804878044,3823.170731707317
M60,Legacy / Older Vintage,g3.4xlarge,3128.0487804878044,3823.170731707317
M60,Legacy / Older Vintage,g3.8xlarge,3128.0487804878044,3823.170731707317
M60,Legacy / Older Vintage,g3s.xlarge,2372.583479789104,2899.8242530755715
V520,Legacy / Older Vintage,g4ad.16xlarge,3191.411042944785,3900.6134969325153
V520,Legacy / Older Vintage,g4ad.2xlarge,2179.328859060403,2663.624161073826
V520,Legacy / Older Vintage,g4ad.4xlarge,3191.411042944785,3900.6134969325153
V520,Legacy / Older Vintage,g4ad.8xlarge,3191.411042944785,3900.6134969325153
V520,Legacy / Older Vintage,g4ad.xlarge,1599.2957746478874,1954.694835680752
T4,Transitional / Early AI,g4dn.12xlarge,5972.519083969466,7299.745547073791
T4,Transitional / Early AI,g4dn.16xlarge,7635.087719298246,9331.773879142302
T4,Transitional / Early AI,g4dn.2xlarge,5675.471698113208,6936.687631027254
T4,Transitional / Early AI,g4dn.4xlarge,6174.358974358975,7546.438746438747
T4,Transitional / Early AI,g4dn.8xlarge,6800.0,8311.111111111113
T4,Transitional / Early AI,g4dn.metal,5972.519083969466,7299.745547073791
T4,Transitional / Early AI,g4dn.xlarge,5195.061728395062,6349.519890260633
A10G,Mainstream Modern AI,g5.12xlarge,7664.864864864865,9368.168168168168
A10G,Mainstream Modern AI,g5.16xlarge,12166.336633663368,14869.966996699672
A10G,Mainstream Modern AI,g5.24xlarge,9254.545454545454,11311.111111111111
A10G,Mainstream Modern AI,g5.2xlarge,6992.307692307692,8546.153846153846
A10G,Mainstream Modern AI,g5.48xlarge,9254.545454545454,11311.111111111111
A10G,Mainstream Modern AI,g5.4xlarge,8257.627118644068,10092.65536723164
A10G,Mainstream Modern AI,g5.8xlarge,10060.27397260274,12295.890410958906
A10G,Mainstream Modern AI,g5.xlarge,6222.680412371135,7605.498281786943
T4G,Mainstream Modern AI,g5g.16xlarge,10976.0,13415.111111111111
T4G,Mainstream Modern AI,g5g.2xlarge,6638.805970149254,8114.096185737979
T4G,Mainstream Modern AI,g5g.4xlarge,8492.307692307691,10379.48717948718
T4G,Mainstream Modern AI,g5g.8xlarge,10976.0,13415.111111111111
T4G,Mainstream Modern AI,g5g.metal,10976.0,13415.111111111111
T4G,Mainstream Modern AI,g5g.xlarge,5463.414634146341,6677.506775067752
L4,Mainstream Modern AI,g6.12xlarge,10751.40186915888,13140.602284527522
L4,Mainstream Modern AI,g6.16xlarge,13131.958762886596,16050.17182130584
L4,Mainstream Modern AI,g6.24xlarge,11752.112676056338,14363.693270735526
L4,Mainstream Modern AI,g6.2xlarge,10254.545454545456,12533.333333333334
L4,Mainstream Modern AI,g6.48xlarge,11752.112676056338,14363.693270735526
L4,Mainstream Modern AI,g6.4xlarge,11150.561797752807,13628.464419475653
L4,Mainstream Modern AI,g6.8xlarge,12183.87096774194,14891.397849462368
L4,Mainstream Modern AI,g6.xlarge,9619.123505976097,11756.706507304116
L40S,Mainstream Modern AI,g6e.12xlarge,6813.376623376624,8327.460317460318
L40S,Mainstream Modern AI,g6e.16xlarge,14119.006211180124,17256.563146997934
L40S,Mainstream Modern AI,g6e.24xlarge,8967.619047619048,10960.423280423283
L40S,Mainstream Modern AI,g6e.2xlarge,6005.625000000001,7340.208333333336
L40S,Mainstream Modern AI,g6e.48xlarge,8967.619047619048,10960.423280423283
L40S,Mainstream Modern AI,g6e.4xlarge,7573.613445378151,9256.638655462186
L40S,Mainstream Modern AI,g6e.8xlarge,10214.887218045113,12484.862155388471
L40S,Mainstream Modern AI,g6e.xlarge,5145.622119815667,6289.093701996929
L4,Mainstream Modern AI,g6f.2xlarge,11491.93548387097,14045.698924731185
L4,Mainstream Modern AI,g6f.4xlarge,11491.93548387097,14045.698924731185
L4,Mainstream Modern AI,g6f.large,13617.977528089888,16644.194756554305
L4,Mainstream Modern AI,g6f.xlarge,11491.93548387097,14045.698924731185
GB202,Mainstream Modern AI,g7e.12xlarge,6026.254545454545,7365.422222222222
GB202,Mainstream Modern AI,g7e.24xlarge,6026.254545454545,7365.422222222222
GB202,Mainstream Modern AI,g7e.2xlarge,5345.324503311259,6533.174392935984
GB202,Mainstream Modern AI,g7e.48xlarge,6026.236363636364,7365.400000000001
GB202,Mainstream Modern AI,g7e.4xlarge,6073.215189873417,7422.818565400844
