gpu_model_clean,voll_usd_per_mwh_trng_median,voll_usd_per_mwh_inf_median,voll_spot_usd_per_mwh_trng_median,voll_spot_usd_per_mwh_inf_median,instance_type,gpu_vintage_group
QA100,11367.843137254902,13894.030501089326,9880.392156862745,12076.0348583878,dl2q.24xlarge,Mainstream Modern AI
K520,2300.8849557522126,2812.192723697149,,,g2.2xlarge,Legacy / Older Vintage
K520,2300.8849557522126,2812.192723697149,,,g2.8xlarge,Legacy / Older Vintage
M60,3128.0487804878044,3823.170731707317,,,g3.16xlarge,Legacy / Older Vintage
M60,3128.0487804878044,3823.170731707317,,,g3.4xlarge,Legacy / Older Vintage
M60,3128.0487804878044,3823.170731707317,,,g3.8xlarge,Legacy / Older Vintage
M60,2372.583479789104,2899.8242530755715,,,g3s.xlarge,Legacy / Older Vintage
V520,3191.411042944785,3900.6134969325153,2056.840490797546,2513.916155419224,g4ad.16xlarge,Legacy / Older Vintage
V520,2179.328859060403,2663.624161073826,1114.2281879194632,1361.8344519015664,g4ad.2xlarge,Legacy / Older Vintage
V520,3191.411042944785,3900.6134969325153,1339.1411042944785,1636.7280163599185,g4ad.4xlarge,Legacy / Older Vintage
V520,3191.411042944785,3900.6134969325153,1248.40490797546,1525.8282208588955,g4ad.8xlarge,Legacy / Older Vintage
V520,1599.2957746478874,1954.694835680752,484.225352112676,591.830985915493,g4ad.xlarge,Legacy / Older Vintage
T4,5972.519083969466,7299.745547073791,1963.6641221374043,2400.033927056828,g4dn.12xlarge,Transitional / Early AI
T4,7635.087719298246,9331.773879142302,2111.5789473684213,2580.8187134502928,g4dn.16xlarge,Transitional / Early AI
T4,5675.471698113208,6936.687631027254,2163.7735849056608,2644.6121593291405,g4dn.2xlarge,Transitional / Early AI
T4,6174.358974358975,7546.438746438747,2201.025641025641,2690.1424501424503,g4dn.4xlarge,Transitional / Early AI
T4,6800.0,8311.111111111113,2035.625,2487.986111111112,g4dn.8xlarge,Transitional / Early AI
T4,5972.519083969466,7299.745547073791,2381.450381679389,2910.6615776081426,g4dn.metal,Transitional / Early AI
T4,5195.061728395062,6349.519890260633,2168.8888888888887,2650.8641975308647,g4dn.xlarge,Transitional / Early AI
A10G,7664.864864864865,9368.168168168168,2986.7567567567567,3650.4804804804808,g5.12xlarge,Mainstream Modern AI
A10G,12166.336633663368,14869.966996699672,4262.970297029703,5210.297029702972,g5.16xlarge,Mainstream Modern AI
A10G,9254.545454545454,11311.111111111111,5278.636363636363,6451.666666666666,g5.24xlarge,Mainstream Modern AI
A10G,6992.307692307692,8546.153846153846,2764.038461538461,3378.269230769231,g5.2xlarge,Mainstream Modern AI
A10G,9254.545454545454,11311.111111111111,4694.488636363636,5737.708333333333,g5.48xlarge,Mainstream Modern AI
A10G,8257.627118644068,10092.65536723164,3721.016949152543,4547.909604519775,g5.4xlarge,Mainstream Modern AI
A10G,10060.27397260274,12295.890410958906,4956.986301369863,6058.5388127853885,g5.8xlarge,Mainstream Modern AI
