gpu_model_clean,gpu_vintage_group,instance_type,ondemand_trng_median,ondemand_inf_median,spot_trng_median,spot_inf_median
QA100,Mainstream Modern AI,dl2q.24xlarge,9394.911684,11482.66984,8165.613353,9980.194098
K520,Legacy / Older Vintage,g2.2xlarge,1901.557815,2324.126218,,
K520,Legacy / Older Vintage,g2.8xlarge,1901.557815,2324.126218,,
M60,Legacy / Older Vintage,g3.16xlarge,2585.164281,3159.645233,,
M60,Legacy / Older Vintage,g3.4xlarge,2585.164281,3159.645233,,
M60,Legacy / Older Vintage,g3.8xlarge,2585.164281,3159.645233,,
M60,Legacy / Older Vintage,g3s.xlarge,1960.812793,2396.548969,,
V520,Legacy / Older Vintage,g4ad.16xlarge,2637.529788,3223.647518,1699.868174,2077.616657
V520,Legacy / Older Vintage,g4ad.2xlarge,1801.098231,2201.342282,920.8497421,1125.483018
V520,Legacy / Older Vintage,g4ad.4xlarge,2637.529788,3223.647518,1106.728185,1352.667782
V520,Legacy / Older Vintage,g4ad.8xlarge,2637.529788,3223.647518,1031.739593,1261.015059
V520,Legacy / Older Vintage,g4ad.xlarge,1321.732045,1615.450277,400.1862414,489.1165173
T4,Transitional / Early AI,g4dn.12xlarge,6598.077247,8064.316636,2169.337156,2651.41208
T4,Transitional / Early AI,g4dn.16xlarge,10276.26919,12559.88456,2842.030697,3473.593074
T4,Transitional / Early AI,g4dn.2xlarge,5918.929555,7234.247234,2256.591893,2758.056758
T4,Transitional / Early AI,g4dn.4xlarge,7107.438017,8686.868687,2533.64817,3096.681097
T4,Transitional / Early AI,g4dn.8xlarge,8563.557654,10466.57047,2563.557654,3133.237133
T4,Transitional / Early AI,g4dn.metal,6598.077247,8064.316636,2630.882105,3215.522573
T4,Transitional / Early AI,g4dn.xlarge,4968.122786,6072.150072,2074.144038,2535.064935
A10G,Mainstream Modern AI,g5.12xlarge,6334.599062,7742.287742,2468.394014,3016.926017
