date,voll_mean,voll_min,voll_max,obs_count
2025-11-20,7406.02105263158,7406.02105263158,7406.02105263158,1
2025-11-21,7726.063157894737,7726.063157894737,7726.063157894737,1
2025-11-22,8071.213157894737,7914.21052631579,8137.23157894737,4
2025-11-23,8259.07894736842,8179.821052631579,8320.157894736842,4
2025-11-24,8631.394736842105,8411.98947368421,8911.273684210526,4
2025-11-25,9025.968421052632,8939.421052631578,9188.157894736842,5
2025-11-26,9277.452631578946,9208.01052631579,9316.042105263157,3
2025-11-27,9841.10105263158,9451.115789473684,10236.168421052633,5
2025-11-28,10359.81052631579,10275.947368421053,10501.621052631579,3
2025-11-29,10805.85,10759.168421052633,10842.694736842106,4
2025-11-30,11118.563157894738,10920.126315789475,11223.336842105264,4
2025-12-01,11515.105263157895,11410.43157894737,11673.557894736841,3
2025-12-02,11947.284210526315,11731.884210526316,12160.147368421052,4
2025-12-03,12511.281578947368,12419.684210526315,12611.094736842106,4
2025-12-04,12956.452631578948,12821.547368421052,13102.042105263157,4
2025-12-05,12875.871052631579,12793.0,12957.052631578948,4
2025-12-06,12464.378947368421,12310.073684210527,12639.357894736842,5
2025-12-07,12152.863157894737,12114.136842105263,12198.557894736843,3
2025-12-08,11812.896842105263,11614.6,11986.557894736841,5
2025-12-09,11366.973684210527,11254.57894736842,11478.77894736842,4
2025-12-11,10529.757894736844,10529.757894736844,10529.757894736844,1
2025-12-12,10385.936842105264,10342.094736842106,10456.789473684212,3
2025-12-13,10157.255263157895,10024.684210526315,10266.031578947368,4
2025-12-14,9875.38947368421,9780.442105263157,9935.347368421053,5
2025-12-15,9545.254736842104,9447.905263157894,9679.821052631578,5
2025-12-16,9224.012631578948,9057.115789473684,9356.663157894736,5
2025-12-17,8866.381578947368,8721.515789473684,8990.368421052632,4
2025-12-18,8559.25,8515.042105263157,8641.252631578947,4
2025-12-19,8310.797368421052,8174.621052631579,8416.347368421053,4
2025-12-20,8033.75,7955.147368421052,8129.526315789474,4
2025-12-21,7751.74947368421,7638.642105263158,7874.8105263157895,5
2025-12-22,7535.473684210527,7455.557894736842,7594.652631578947,4
2025-12-23,7363.5368421052635,7270.863157894737,7447.9157894736845,4
2025-12-24,7112.385263157895,7061.978947368422,7191.715789473684,5
2025-12-25,7004.666666666667,6949.494736842105,7053.747368421053,3
2025-12-26,6828.568421052632,6791.652631578948,6869.484210526315,4
2025-12-27,6683.6336842105275,6629.978947368421,6744.431578947369,5
2025-12-28,6579.284210526315,6545.526315789473,6627.642105263159,4
2025-12-29,6380.082456140351,6262.442105263158,6504.126315789474,6
2025-12-30,6222.126315789475,6194.968421052632,6248.284210526316,3
2025-12-31,6148.529824561403,6137.7052631578945,6161.0842105263155,3
2026-01-01,6078.7947368421055,6039.442105263158,6136.442105263158,4
2026-01-02,6012.305263157895,5994.2210526315785,6029.515789473684,3
2026-01-03,5870.6122807017555,5794.789473684211,5929.2,6
2026-01-04,5716.621052631579,5678.5684210526315,5754.305263157895,4
2026-01-05,5537.082105263158,5453.01052631579,5623.315789473684,5
2026-01-06,5388.4157894736845,5335.242105263158,5451.852631578948,4
2026-01-07,5252.918421052632,5180.347368421052,5318.168421052632,4
2026-01-08,5105.943859649123,5075.61052631579,5130.2947368421055,3
2026-01-09,4942.21052631579,4942.21052631579,4942.21052631579,1
2026-01-10,4907.042105263157,4886.547368421052,4939.884210526316,3
2026-01-11,4800.526315789473,4731.368421052632,4865.97894736842,4
2026-01-12,4688.126315789474,4657.410526315789,4730.505263157895,3
2026-01-13,4555.202105263158,4524.694736842105,4609.842105263158,5
2026-01-14,4462.4394736842105,4413.905263157894,4524.1578947368425,4
2026-01-15,4334.4710526315785,4300.526315789473,4360.4631578947365,4
2026-01-16,4245.828947368421,4216.0842105263155,4269.5368421052635,4
2026-01-17,4158.55,4117.242105263158,4213.305263157895,4
2026-01-18,4078.5184210526318,4055.0,4114.9473684210525,4
2026-01-19,3979.15,3934.263157894737,4027.305263157895,4
2026-01-20,3855.20701754386,3835.705263157895,3886.5789473684213,3
2026-01-21,3813.9078947368425,3777.3157894736846,3831.2736842105264,4
2026-01-22,3729.7105263157896,3712.2210526315794,3759.421052631579,4
2026-01-23,3641.0052631578947,3599.2631578947367,3667.778947368421,4
