Geography,Region Name,Region,Instance Price,base_region,base_price_usd_per_hour,base_voll_usd_per_mwh,ondemand_voll_usd_per_mwh,price_premium_pct_vs_base
US,US West (Oregon),us-west-2,21.9576,us-east-1,21.9576,6220.28328611898,6220.28328611898,0.0
US,US East (Virginia),us-east-1,21.9576,us-east-1,21.9576,6220.28328611898,6220.28328611898,0.0
Europe,Europe (Stockholm),eu-north-1,23.7157,us-east-1,21.9576,6220.28328611898,6718.328611898017,8.006794913833936
Europe,Europe (Ireland),eu-west-1,23.7157,us-east-1,21.9576,6220.28328611898,6718.328611898017,8.006794913833936
Canada,Canada (Central),ca-central-1,25.2517,us-east-1,21.9576,6220.28328611898,7153.456090651558,15.00209494662441
Asia Pacific,Asia Pacific (Mumbai),ap-south-1,26.3444,us-east-1,21.9576,6220.28328611898,7463.00283286119,19.9785040259409
Asia Pacific,Asia Pacific (Singapore),ap-southeast-1,26.3492,us-east-1,21.9576,6220.28328611898,7464.362606232295,20.000364338543374
US,GovCloud (US-West),us-gov-west-1,26.3511,us-east-1,21.9576,6220.28328611898,7464.900849858356,20.009017378948514
Europe,Europe (Frankfurt),eu-central-1,27.433,us-east-1,21.9576,6220.28328611898,7771.388101983002,24.936240754909456
Asia Pacific,Asia Pacific (Sydney),ap-southeast-2,28.5449,us-east-1,21.9576,6220.28328611898,8086.373937677054,30.000091084635837
Europe,Europe (London),eu-west-2,28.5449,us-east-1,21.9576,6220.28328611898,8086.373937677054,30.000091084635837
Asia Pacific,Asia Pacific (Tokyo),ap-northeast-1,30.0978,us-east-1,21.9576,6220.28328611898,8526.28895184136,37.07235763471417
Asia Pacific,Asia Pacific (Seoul),ap-northeast-2,30.4103,us-east-1,21.9576,6220.28328611898,8614.815864022663,38.49555506977082
South America,South America (São Paulo),sa-east-1,35.5569,us-east-1,21.9576,6220.28328611898,10072.776203966007,61.93436441141109
