panel,instance_type,gpu_model_clean,gpu_vintage_group,canonical_basis_scenario,base_ondemand_voll_usd_per_mwh,gpu_class_median_voll_usd_per_mwh,distance_to_gpu_class_median,H_CUMULATIVE,U_mth,service_credit_share,voll_ondemand_incl_sla_usd_per_mwh
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,0.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,1.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,2.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,3.0,0.1,0.1,51628.351274787536
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,5.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,6.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,7.0,0.1,0.3,142444.48725212464
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,8.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,9.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,10.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,11.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,12.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,13.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,14.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,15.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,16.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,17.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,18.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,19.0,0.1,0.0,6220.28328611898
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,20.0,0.1,0.0,6220.28328611898
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.0,0.1,6220.28328611898
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.01,0.1,10761.090084985835
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.02,0.1,15301.89688385269
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.03,0.1,19842.703682719544
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.04,0.1,24383.5104815864
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.05,0.1,28924.31728045326
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.06,0.1,33465.124079320114
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.07,0.1,38005.93087818697
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.08,0.1,42546.737677053825
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.09,0.1,47087.54447592067
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.1,0.1,51628.351274787536
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.11,0.1,56169.158073654384
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.12,0.1,60709.96487252125
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.13,0.1,65250.7716713881
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.14,0.1,69791.57847025496
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.15,0.1,74332.3852691218
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.16,0.1,78873.19206798867
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.17,0.1,83413.99886685552
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.18,0.1,87954.80566572236
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.19,0.1,92495.61246458924
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.2,0.1,97036.41926345609
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.21,0.1,101577.22606232294
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.22,0.1,106118.03286118979
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.23,0.1,110658.83966005665
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.24,0.1,115199.64645892351
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.25,0.1,119740.45325779036
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.26,0.1,124281.26005665722
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.27,0.1,128822.06685552408
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.28,0.1,133362.87365439095
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.29,0.1,137903.68045325778
U_mth,p4d.24xlarge,A100,Mainstream Modern AI,trng_median,6220.28328611898,6997.832861189801,777.5495750708214,4.0,0.3,0.1,142444.48725212464
