date,voll_mean,voll_min,voll_max,obs_count,series,aws_ondemand_price_usd_per_hour,aws_ondemand_voll,azure_ondemand_price_usd_per_hour,azure_ondemand_voll,comparison_power_mw
2024-01-25,2678.00035932447,2364.310097017607,2786.2468559108875,5,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-01-26,2581.229787998563,2360.5596478620196,2790.132051742724,11,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-01-26,1177.5062881782248,1177.5062881782248,1177.5062881782248,1,Azure Standard_ND96amsr_A100_v4 eastus,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-01-27,2582.871077374536,2349.914660438376,2793.725296442688,12,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-01-28,2652.3460893520187,2349.128638160259,2772.188286022278,9,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-01-29,1177.5062881782248,1177.5062881782248,1177.5062881782248,1,Azure Standard_ND96amsr_A100_v4 eastus,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-01-30,2605.380322493712,2344.9514911965503,2790.513833992095,8,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-01-31,2629.628344167511,2341.5603665109597,2776.724757455983,11,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-01-31,1177.5062881782248,1177.5062881782248,1177.5062881782248,1,Azure Standard_ND96amsr_A100_v4 eastus,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-01,2577.624293600758,2339.49425080848,2770.6836148041684,11,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-02,2579.4331656485806,2347.219726913403,2766.5962989579593,5,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-02,1026.6349263384836,1026.6349263384836,1026.6349263384836,1,Azure Standard_ND96amsr_A100_v4 eastus,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-05,1026.6349263384836,1026.6349263384836,1026.6349263384836,1,Azure Standard_ND96amsr_A100_v4 eastus,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-06,2582.1168702838663,2370.104204096299,2728.193496227093,6,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-07,2581.175247677224,2363.8384836507366,2725.341358246497,14,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-07,1026.6349263384836,1026.6349263384836,1026.6349263384836,1,Azure Standard_ND96amsr_A100_v4 eastus,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-08,2565.327808719607,2361.8846568451313,2717.1891843334533,12,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-09,1026.6349263384836,1026.6349263384836,1026.6349263384836,1,Azure Standard_ND96amsr_A100_v4 eastus,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-09,2567.6938718844935,2356.315127560187,2683.5474308300395,11,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-10,2536.606180380884,2357.325727632052,2675.0583902263747,11,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-11,2533.7928331101166,2345.2659001077973,2655.99173553719,11,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-12,1026.6349263384836,1026.6349263384836,1026.6349263384836,1,Azure Standard_ND96amsr_A100_v4 eastus,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-12,2534.9461761887655,2342.2790154509526,2655.4976643909454,12,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-13,2533.798957959037,2345.6252245777937,2654.3523176428316,12,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-14,2545.903701042041,2355.933345310816,2657.047251167805,13,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-14,1026.6349263384836,1026.6349263384836,1026.6349263384836,1,Azure Standard_ND96amsr_A100_v4 eastus,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-15,2536.9187178105162,2364.6245059288535,2657.8557312252965,12,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-16,1026.6349263384836,1026.6349263384836,1026.6349263384836,1,Azure Standard_ND96amsr_A100_v4 eastus,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
2024-02-16,2532.620945350015,2369.138519583184,2653.49892202659,11,EC2 p4d.24xlarge us-east-1,32.773,7359.9539587499185,32.77,7359.414301113907,0.0044528
