gpu_model_clean,voll_usd_per_mwh_inf_median,instance_type,gpu_vintage_group
QA100,11482.66983561101,dl2q.24xlarge,Mainstream Modern AI
K520,2324.126217931528,g2.2xlarge,Legacy / Older Vintage
K520,2324.126217931528,g2.8xlarge,Legacy / Older Vintage
M60,3159.645232815964,g3.16xlarge,Legacy / Older Vintage
M60,3159.645232815964,g3.4xlarge,Legacy / Older Vintage
M60,3159.645232815964,g3.8xlarge,Legacy / Older Vintage
M60,2396.548969483943,g3s.xlarge,Legacy / Older Vintage
V520,3223.647518126045,g4ad.16xlarge,Legacy / Older Vintage
V520,2201.342281879194,g4ad.2xlarge,Legacy / Older Vintage
V520,3223.647518126045,g4ad.4xlarge,Legacy / Older Vintage
V520,3223.647518126045,g4ad.8xlarge,Legacy / Older Vintage
V520,1615.4502774221082,g4ad.xlarge,Legacy / Older Vintage
T4,8064.316635745205,g4dn.12xlarge,Transitional / Early AI
T4,12559.884559884558,g4dn.16xlarge,Transitional / Early AI
T4,7234.247234247233,g4dn.2xlarge,Transitional / Early AI
T4,8686.868686868684,g4dn.4xlarge,Transitional / Early AI
T4,10466.570466570463,g4dn.8xlarge,Transitional / Early AI
T4,8064.316635745205,g4dn.metal,Transitional / Early AI
T4,6072.150072150072,g4dn.xlarge,Transitional / Early AI
A10G,7742.287742287741,g5.12xlarge,Mainstream Modern AI
A10G,12289.228922892287,g5.16xlarge,Mainstream Modern AI
A10G,9348.025711662074,g5.24xlarge,Mainstream Modern AI
A10G,7062.9370629370615,g5.2xlarge,Mainstream Modern AI
A10G,9348.025711662074,g5.48xlarge,Mainstream Modern AI
A10G,8341.037493579865,g5.4xlarge,Mainstream Modern AI
A10G,10161.892901618929,g5.8xlarge,Mainstream Modern AI
A10G,6285.535770071851,g5.xlarge,Mainstream Modern AI
T4G,9557.645419714385,g5g.16xlarge,Mainstream Modern AI
T4G,6328.069426660975,g5g.2xlarge,Mainstream Modern AI
T4G,7780.126849894291,g5g.4xlarge,Mainstream Modern AI
T4G,9557.645419714385,g5g.8xlarge,Mainstream Modern AI
T4G,9557.645419714385,g5g.metal,Mainstream Modern AI
T4G,5344.786447148651,g5g.xlarge,Mainstream Modern AI
L4,10860.00188803927,g6.12xlarge,Mainstream Modern AI
L4,13264.60481099656,g6.16xlarge,Mainstream Modern AI
L4,11870.820884905392,g6.24xlarge,Mainstream Modern AI
L4,10358.126721763085,g6.2xlarge,Mainstream Modern AI
L4,11870.820884905392,g6.48xlarge,Mainstream Modern AI
L4,11263.193735103849,g6.4xlarge,Mainstream Modern AI
L4,12306.9403714565,g6.8xlarge,Mainstream Modern AI
L4,9716.286369672824,g6.xlarge,Mainstream Modern AI
L40S,6882.198609471335,g6e.12xlarge,Mainstream Modern AI
L40S,14261.622435535475,g6e.16xlarge,Mainstream Modern AI
L40S,9058.201058201055,g6e.24xlarge,Mainstream Modern AI
L40S,6066.287878787878,g6e.2xlarge,Mainstream Modern AI
L40S,9058.201058201055,g6e.48xlarge,Mainstream Modern AI
L40S,7650.114591291061,g6e.4xlarge,Mainstream Modern AI
L40S,10318.067897015264,g6e.8xlarge,Mainstream Modern AI
L40S,5197.598100823907,g6e.xlarge,Mainstream Modern AI
L4,11608.015640273705,g6f.2xlarge,Mainstream Modern AI
L4,11608.015640273705,g6f.4xlarge,Mainstream Modern AI
L4,13755.532856656451,g6f.large,Mainstream Modern AI
L4,11608.015640273705,g6f.xlarge,Mainstream Modern AI
GB202,6087.125803489438,g7e.12xlarge,Mainstream Modern AI
GB202,6087.125803489438,g7e.24xlarge,Mainstream Modern AI
GB202,5399.317680112381,g7e.2xlarge,Mainstream Modern AI
GB202,6087.107438016528,g7e.48xlarge,Mainstream Modern AI
GB202,6134.5607978519365,g7e.4xlarge,Mainstream Modern AI
GB202,7425.229034531359,g7e.8xlarge,Mainstream Modern AI
L4,13101.804562478716,gr6.4xlarge,Mainstream Modern AI
L4,14946.236559139785,gr6.8xlarge,Mainstream Modern AI
L4,13025.415444770284,gr6f.4xlarge,Mainstream Modern AI
K80,5472.788081483734,p2.16xlarge,Legacy / Older Vintage
K80,5472.788081483734,p2.8xlarge,Legacy / Older Vintage
K80,2875.8587633807315,p2.xlarge,Legacy / Older Vintage
V100,9303.739738522348,p3.16xlarge,Transitional / Early AI
V100,9303.739738522348,p3.2xlarge,Transitional / Early AI
V100,9303.739738522348,p3.8xlarge,Transitional / Early AI
V100,10946.969696969694,p3dn.24xlarge,Transitional / Early AI
A100,6027.009222661395,p4d.24xlarge,Mainstream Modern AI
A100,7533.788976723758,p4de.24xlarge,Mainstream Modern AI
H100,9025.318116227205,p5.48xlarge,Mainstream Modern AI
H100,9307.359307359306,p5.4xlarge,Mainstream Modern AI
H200,10287.265251062514,p5en.48xlarge,Emerging / Frontier AI
B200,13228.004179728314,p6-b200.48xlarge,Emerging / Frontier AI
B300,15142.583732057416,p6-b300.48xlarge,Emerging / Frontier AI
