gpu_model_clean,voll_usd_per_mwh_trng_median,voll_usd_per_mwh_inf_median,voll_spot_usd_per_mwh_trng_median,voll_spot_usd_per_mwh_inf_median,instance_type,gpu_vintage_group
QA100,9394.911683681736,11482.66983561101,8165.613352779126,9980.194097841157,dl2q.24xlarge,Mainstream Modern AI
K520,1901.5578146712496,2324.126217931528,,,g2.2xlarge,Legacy / Older Vintage
K520,1901.5578146712496,2324.126217931528,,,g2.8xlarge,Legacy / Older Vintage
M60,2585.16428139488,3159.645232815964,,,g3.16xlarge,Legacy / Older Vintage
M60,2585.16428139488,3159.645232815964,,,g3.4xlarge,Legacy / Older Vintage
M60,2585.16428139488,3159.645232815964,,,g3.8xlarge,Legacy / Older Vintage
M60,1960.812793214135,2396.548969483943,,,g3s.xlarge,Legacy / Older Vintage
V520,2637.529787557673,3223.647518126045,1699.8681742128476,2077.616657371258,g4ad.16xlarge,Legacy / Older Vintage
V520,1801.0982306284316,2201.342281879194,920.8497420822008,1125.4830181004677,g4ad.2xlarge,Legacy / Older Vintage
V520,2637.529787557673,3223.647518126045,1106.7281853673371,1352.6677821156347,g4ad.4xlarge,Legacy / Older Vintage
V520,2637.529787557673,3223.647518126045,1031.7395933681487,1261.0150585610706,g4ad.8xlarge,Legacy / Older Vintage
V520,1321.732045163543,1615.4502774221082,400.18624141543467,489.1165172855313,g4ad.xlarge,Legacy / Older Vintage
T4,6598.0772474278965,8064.316635745205,2169.3371563501432,2651.412079983508,g4dn.12xlarge,Transitional / Early AI
T4,10276.269185360092,12559.884559884558,2842.0306965761506,3473.593073593073,g4dn.16xlarge,Transitional / Early AI
T4,5918.929555293191,7234.247234247233,2256.591892955529,2758.0567580567576,g4dn.2xlarge,Transitional / Early AI
T4,7107.438016528924,8686.868686868684,2533.648170011806,3096.6810966810963,g4dn.4xlarge,Transitional / Early AI
T4,8563.557654466744,10466.570466570463,2563.5576544667447,3133.2371332371326,g4dn.8xlarge,Transitional / Early AI
T4,6598.0772474278965,8064.316635745205,2630.882104908079,3215.5225726654294,g4dn.metal,Transitional / Early AI
T4,4968.122786304603,6072.150072150072,2074.1440377804006,2535.0649350649346,g4dn.xlarge,Transitional / Early AI
A10G,6334.599061871788,7742.287742287741,2468.394013848559,3016.9260169260165,g5.12xlarge,Mainstream Modern AI
A10G,10054.823664184598,12289.228922892287,3523.115947958432,4306.030603060305,g5.16xlarge,Mainstream Modern AI
A10G,7648.384673178061,9348.025711662074,4362.509391435011,5331.955922865013,g5.24xlarge,Mainstream Modern AI
A10G,5778.766687857596,7062.9370629370615,2284.329307056579,2791.9580419580416,g5.2xlarge,Mainstream Modern AI
A10G,7648.384673178061,9348.025711662074,3879.742674680691,4741.907713498622,g5.48xlarge,Mainstream Modern AI
A10G,6824.485222019891,8341.037493579865,3075.220619134332,3758.602978941961,g5.4xlarge,Mainstream Modern AI
A10G,8314.276010415486,10161.892901618929,4096.6828936941,5007.056870070568,g5.8xlarge,Mainstream Modern AI
A10G,5142.7110846042415,6285.535770071851,2477.294027434608,3027.803811308965,g5.xlarge,Mainstream Modern AI
