Total Accelerators,Watts / CPU+GPU TDP,Dataset
3,0.992144144144144,Inference
3,0.9886306306306308,Inference
4,1.4312586206896551,Inference
4,1.4412241379310344,Inference
4,1.4294655172413793,Inference
4,1.440551724137931,Inference
4,1.4772413793103447,Inference
4,1.487,Inference
4,1.3697586206896553,Inference
4,1.3667068965517242,Inference
4,1.3669827586206895,Inference
4,1.3635000000000002,Inference
8,0.922808163265306,Inference
8,0.922808163265306,Inference
8,0.9346857142857145,Inference
8,0.942391836734694,Inference
8,0.938808163265306,Inference
8,0.923861224489796,Inference
8,0.9299673469387756,Inference
8,0.9489142857142858,Inference
8,0.8959428571428572,Inference
8,0.9164612244897958,Inference
8,0.9159428571428572,Inference
8,0.9223020408163264,Inference
8,0.957309589041096,Inference
8,0.957309589041096,Inference
8,0.947309589041096,Inference
8,0.9763068493150684,Inference
8,0.9500931506849316,Inference
8,0.960654794520548,Inference
8,0.9357123287671232,Inference
8,0.9526849315068494,Inference
8,0.9357123287671232,Inference
8,0.9526849315068494,Inference
8,0.973972602739726,Inference
8,0.9728657534246576,Inference
8,0.947586301369863,Inference
8,0.9456712328767124,Inference
8,0.9597561643835616,Inference
8,0.9478246575342466,Inference
4,0.7043178082191781,Inference
4,0.7043178082191781,Inference
4,0.6970246575342466,Inference
4,0.7134191780821918,Inference
4,0.6953315068493151,Inference
4,0.7096,Inference
4,0.700213698630137,Inference
4,0.7351397260273973,Inference
4,0.700213698630137,Inference
4,0.7351397260273973,Inference
4,0.7160602739726027,Inference
4,0.7197479452054795,Inference
4,0.6953150684931507,Inference
4,0.6937150684931507,Inference
4,0.698690410958904,Inference
4,0.6941698630136985,Inference
5,0.9137235772357724,Inference
5,0.8679837398373983,Inference
5,0.9725040650406503,Inference
5,0.8907804878048781,Inference
4,0.9598311688311688,Inference
4,0.9598311688311688,Inference
4,0.9573701298701298,Inference
4,0.9612662337662335,Inference
4,0.95837012987013,Inference
4,0.9535974025974026,Inference
4,0.9292467532467532,Inference
4,0.9390649350649352,Inference
4,0.940344155844156,Inference
4,0.9327727272727272,Inference
2,0.9547833333333332,Inference
2,0.9547833333333332,Inference
2,0.9801666666666669,Inference
2,0.9598333333333332,Inference
2,0.9623,Inference
2,0.9720166666666668,Inference
2,0.9680333333333334,Inference
2,0.9564833333333334,Inference
2,0.9680333333333334,Inference
2,0.9564833333333334,Inference
2,0.98215,Inference
2,0.9005166666666665,Inference
2,0.9435333333333332,Inference
2,0.8699166666666668,Inference
2,0.9443833333333334,Inference
2,0.8601333333333334,Inference
4,1.4506990740740742,Inference
4,1.5026666666666668,Inference
4,1.4424722222222222,Inference
4,1.4533842592592592,Inference
4,1.4514398148148149,Inference
4,1.2946064814814815,Inference
4,1.4514398148148149,Inference
4,1.2946064814814815,Inference
4,1.2268750000000002,Inference
4,1.2175555555555555,Inference
4,1.1169027777777778,Inference
4,0.9689722222222222,Inference
4,1.4034907407407406,Inference
4,1.3102175925925927,Inference
8,0.7903673469387755,Inference
8,0.7903673469387755,Inference
8,1.0162122448979591,Inference
8,0.8934530612244899,Inference
8,1.0177183673469388,Inference
