Source File,Public ID,Availability,Organization,System Name,Accelerator Model Name,Accelerators Per Node,Host Processor Model Name,Host Processors Per Node,Software,Notes,Availability Detail,Units,Total Accelerator Model Name,Total Accelerators,Total Host Processor Model Name,Total Host Processors,Other,Benchmark,Benchmark Model,kJ,Latency_minutes,Number Of Nodes,Watt_hours,Latency_hours,Watts,kW,CPU,GPU,GPU Form Factor,GPU Memory GB,CPU_TDP_W,GPU_TDP_W,Total CPUs,Total GPUs,Total CPU TDP,Total GPU TDP,Total TDP,Watts / CPU+GPU TDP
Table - Training (1).csv,4.1-0083,Available on-premise,Dell,8xXE9680x8H100-SXM-80GB,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8480+,2,NGC Pytorch 24.09 NGC HugeCTR 24.09 NVIDIA Nemo 24.09,,Available on-premise,kJ,NVIDIA H100-SXM5-80GB,56,Intel(R) Xeon(R) Platinum 8480+,64,,Llama2_70b_lora,Llama2_70b_lora,16384.268,5.052,8,4551.185555555556,0.0842,54052.08498284508,54.05208498284508,Intel(R) Xeon(R) Platinum 8480+,NVIDIA H100,SXM,80.0,350,700,16,56,5600,39200,44800,1.2065197540813635
Table - Training (2).csv,4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,kJ,NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Valid,3D U-Net,3D U-Net,4856.975,12.262,1,1349.1597222222224,0.20436666666666667,6601.662317185886,6.601662317185887,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,32,600,22400,23000,0.2870287963993864
Table - Training (2).csv,4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,kJ,NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Valid,BERT,BERT,1843.073,5.387,1,511.96472222222224,0.08978333333333333,5702.224491058722,5.702224491058723,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,32,600,22400,23000,0.24792280395907487
Table - Training (2).csv,4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,kJ,NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Valid,DLRM_DCNv2,DLRM_DCNv2,1309.822,3.836,1,363.8394444444444,0.06393333333333333,5690.919360444907,5.690919360444908,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,32,600,22400,23000,0.24743127654108293
Table - Training (2).csv,4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,kJ,NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Valid,Llama2_70b_lora,Llama2_70b_lora,12127.904,29.101,1,3368.862222222222,0.48501666666666665,6945.868985029151,6.9458689850291515,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,32,600,22400,23000,0.3019943036969196
Table - Training (2).csv,4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Valid,Llama2_70b_lora,Llama2_70b_lora,46574.813,2.015,1,12937.448055555556,0.03358333333333333,385234.18527708855,385.23418527708856,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,32,600,22400,23000,16.749312403351677
Table - Training (2).csv,4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,kJ,NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Valid,ResNet-50,ResNet-50,5671.887,13.425,1,1575.5241666666666,0.22375,7041.448789571694,7.041448789571694,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,32,600,22400,23000,0.30614994737268236
Table - Training (2).csv,4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,kJ,NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Valid,RetinaNet,RetinaNet,15304.266,37.183,1,4251.1849999999995,0.6197166666666667,6859.8848936341865,6.859884893634186,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,32,600,22400,23000,0.2982558649406168
Table - Training (2).csv,4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Valid,gpt3,gpt3,1699340.341,56.869,64,472038.9836111111,0.9478166666666666,498027.7306910033,498.02773069100334,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,128,32,38400,22400,60800,8.191245570575713
Table - Training (2).csv,4.0-0091,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,512,Valid,Llama2_70b_lora,Llama2_70b_lora,20644.275,5.488,64,5734.520833333334,0.09146666666666667,62695.198615160356,62.69519861516036,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,128,32,38400,22400,60800,1.031171029854611
