Source File,Public ID,Organization,Availability,System Name,CPU,Processors per node,Total Processors,GPU,GPU Raw,GPU Form Factor,GPU Memory,Accelerator Model Name,Total Accelerators,Division/Power,# of Nodes,Accelerators per node,Benchmark,Benchmark Model,Scenario,Metric,Value,GPU Memory GB,CPU_TDP_W,GPU_TDP_W,Total CPUs,Total GPUs,Total CPU TDP,Total GPU TDP,Total TDP,Watts / CPU+GPU TDP
Table - Inference (0).csv,1.0-70,Dell EMC,Available Cloud,Dell EMC PowerEdge R7525 (3x A100-PCIe),AMD EPYC 7502,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,3,Closed - Power,1,3,Inference,ResNet,Offline,System Watts,1101.28,40,180,250.0,2,3,360,750.0,1110.0,0.9921441441441441
Table - Inference (0).csv,1.0-70,Dell EMC,Available Cloud,Dell EMC PowerEdge R7525 (3x A100-PCIe),AMD EPYC 7502,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,3,Closed - Power,1,3,Inference,ResNet,Server,System Watts,1097.38,40,180,250.0,2,3,360,750.0,1110.0,0.9886306306306307
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.0,Offline,System Watts,830.13,,150,70.0,2,4,300,280.0,580.0,1.4312586206896551
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.0,Server,System Watts,835.91,,150,70.0,2,4,300,280.0,580.0,1.4412241379310344
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.9,Offline,System Watts,829.09,,150,70.0,2,4,300,280.0,580.0,1.4294655172413793
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.9,Server,System Watts,835.52,,150,70.0,2,4,300,280.0,580.0,1.440551724137931
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,RNN-T,Offline,System Watts,856.8,,150,70.0,2,4,300,280.0,580.0,1.4772413793103447
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,RNN-T,Server,System Watts,862.46,,150,70.0,2,4,300,280.0,580.0,1.487
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,ResNet,Offline,System Watts,794.46,,150,70.0,2,4,300,280.0,580.0,1.3697586206896553
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,ResNet,Server,System Watts,792.69,,150,70.0,2,4,300,280.0,580.0,1.3667068965517242
