Geography,Region Name,Region,Availability Zone,Modified Date Time,Instance Price
US,US East (Virginia),us-east-1,us-east-1a,3/29/2025 2:02,9.2392
US,US East (Virginia),us-east-1,us-east-1d,3/29/2025 2:17,9.9812
US,US East (Virginia),us-east-1,us-east-1b,3/29/2025 4:19,9.763
US,US East (Virginia),us-east-1,us-east-1a,3/29/2025 5:17,9.2423
US,US East (Virginia),us-east-1,us-east-1d,3/29/2025 6:33,9.9274
US,US East (Virginia),us-east-1,us-east-1b,3/29/2025 11:17,9.7099
US,US East (Virginia),us-east-1,us-east-1d,3/29/2025 12:18,9.9121
US,US East (Virginia),us-east-1,us-east-1a,3/29/2025 14:02,9.2414
US,US East (Virginia),us-east-1,us-east-1d,3/29/2025 17:47,9.8772
US,US East (Virginia),us-east-1,us-east-1b,3/29/2025 18:02,9.6996
US,US East (Virginia),us-east-1,us-east-1a,3/29/2025 20:04,9.1297
US,US East (Virginia),us-east-1,us-east-1b,3/29/2025 23:02,9.6932
US,US East (Virginia),us-east-1,us-east-1a,3/29/2025 23:47,9.0434
US,US East (Virginia),us-east-1,us-east-1d,3/30/2025 2:47,10.0254
US,US East (Virginia),us-east-1,us-east-1b,3/30/2025 6:17,9.8865
US,US East (Virginia),us-east-1,us-east-1a,3/30/2025 8:02,9.0311
US,US East (Virginia),us-east-1,us-east-1d,3/30/2025 9:18,10.0777
US,US East (Virginia),us-east-1,us-east-1a,3/30/2025 11:18,9.0618
US,US East (Virginia),us-east-1,us-east-1b,3/30/2025 12:03,9.9577
US,US East (Virginia),us-east-1,us-east-1a,3/30/2025 14:48,9.0468
US,US East (Virginia),us-east-1,us-east-1d,3/30/2025 15:48,10.0717
US,US East (Virginia),us-east-1,us-east-1b,3/30/2025 16:48,9.9633
US,US East (Virginia),us-east-1,us-east-1a,3/30/2025 18:18,9.0068
US,US East (Virginia),us-east-1,us-east-1b,3/30/2025 22:17,9.9263
US,US East (Virginia),us-east-1,us-east-1d,3/30/2025 23:18,10.0281
US,US East (Virginia),us-east-1,us-east-1a,3/31/2025 2:02,8.9975
US,US East (Virginia),us-east-1,us-east-1d,3/31/2025 3:32,10.1029
US,US East (Virginia),us-east-1,us-east-1b,3/31/2025 5:47,9.9191
US,US East (Virginia),us-east-1,us-east-1a,3/31/2025 10:04,8.9531
US,US East (Virginia),us-east-1,us-east-1d,3/31/2025 12:17,10.2563
US,US East (Virginia),us-east-1,us-east-1b,3/31/2025 12:47,9.9991
US,US East (Virginia),us-east-1,us-east-1a,3/31/2025 18:03,8.9157
US,US East (Virginia),us-east-1,us-east-1b,3/31/2025 19:18,9.9313
US,US East (Virginia),us-east-1,us-east-1a,3/31/2025 23:02,8.9142
US,US East (Virginia),us-east-1,us-east-1b,4/1/2025 1:06,9.8747
US,US East (Virginia),us-east-1,us-east-1a,4/1/2025 6:33,8.9303
US,US East (Virginia),us-east-1,us-east-1d,4/1/2025 7:02,10.3978
US,US East (Virginia),us-east-1,us-east-1b,4/1/2025 10:05,9.9785
US,US East (Virginia),us-east-1,us-east-1a,4/1/2025 11:33,8.8709
US,US East (Virginia),us-east-1,us-east-1d,4/1/2025 11:48,10.3615
US,US East (Virginia),us-east-1,us-east-1d,4/1/2025 18:47,10.3337
US,US East (Virginia),us-east-1,us-east-1b,4/1/2025 19:18,10.022
US,US East (Virginia),us-east-1,us-east-1a,4/1/2025 19:36,8.8419
US,US East (Virginia),us-east-1,us-east-1d,4/1/2025 23:32,10.4171
US,US East (Virginia),us-east-1,us-east-1b,4/2/2025 2:48,10.1309
US,US East (Virginia),us-east-1,us-east-1a,4/2/2025 3:18,8.8049
US,US East (Virginia),us-east-1,us-east-1d,4/2/2025 8:33,10.411
US,US East (Virginia),us-east-1,us-east-1a,4/2/2025 10:18,8.8248
US,US East (Virginia),us-east-1,us-east-1b,4/2/2025 11:33,10.1749
US,US East (Virginia),us-east-1,us-east-1d,4/2/2025 11:47,10.3715
US,US East (Virginia),us-east-1,us-east-1b,4/2/2025 17:03,10.1716
US,US East (Virginia),us-east-1,us-east-1a,4/2/2025 18:34,8.8082
US,US East (Virginia),us-east-1,us-east-1d,4/2/2025 19:33,10.4404
US,US East (Virginia),us-east-1,us-east-1b,4/2/2025 23:33,10.1053
US,US East (Virginia),us-east-1,us-east-1a,4/2/2025 23:47,8.8448
US,US East (Virginia),us-east-1,us-east-1d,4/3/2025 3:03,10.4545
US,US East (Virginia),us-east-1,us-east-1b,4/3/2025 3:48,10.2088
US,US East (Virginia),us-east-1,us-east-1a,4/3/2025 4:18,8.8328
US,US East (Virginia),us-east-1,us-east-1b,4/3/2025 8:50,10.2056
US,US East (Virginia),us-east-1,us-east-1d,4/3/2025 9:34,10.5682
US,US East (Virginia),us-east-1,us-east-1a,4/3/2025 13:17,8.9597
US,US East (Virginia),us-east-1,us-east-1d,4/3/2025 14:33,10.5059
US,US East (Virginia),us-east-1,us-east-1b,4/3/2025 16:48,10.1816
US,US East (Virginia),us-east-1,us-east-1a,4/3/2025 21:18,8.9804
US,US East (Virginia),us-east-1,us-east-1d,4/3/2025 22:03,10.4456
US,US East (Virginia),us-east-1,us-east-1b,4/4/2025 0:48,10.1917
US,US East (Virginia),us-east-1,us-east-1d,4/4/2025 2:33,10.4067
US,US East (Virginia),us-east-1,us-east-1a,4/4/2025 5:47,8.9712
US,US East (Virginia),us-east-1,us-east-1b,4/4/2025 7:48,10.3269
US,US East (Virginia),us-east-1,us-east-1d,4/4/2025 11:02,10.6616
US,US East (Virginia),us-east-1,us-east-1b,4/4/2025 12:48,10.538
US,US East (Virginia),us-east-1,us-east-1a,4/4/2025 14:33,8.9112
US,US East (Virginia),us-east-1,us-east-1d,4/4/2025 15:17,10.7783
US,US East (Virginia),us-east-1,us-east-1b,4/4/2025 16:02,10.4528
US,US East (Virginia),us-east-1,us-east-1b,4/4/2025 20:03,10.4127
US,US East (Virginia),us-east-1,us-east-1a,4/4/2025 23:05,8.9519
US,US East (Virginia),us-east-1,us-east-1d,4/5/2025 0:03,10.7641
US,US East (Virginia),us-east-1,us-east-1a,4/5/2025 2:47,8.9378
US,US East (Virginia),us-east-1,us-east-1d,4/5/2025 5:17,10.7263
US,US East (Virginia),us-east-1,us-east-1b,4/5/2025 6:32,10.3001
US,US East (Virginia),us-east-1,us-east-1a,4/5/2025 11:02,8.8901
US,US East (Virginia),us-east-1,us-east-1d,4/5/2025 11:32,10.6909
US,US East (Virginia),us-east-1,us-east-1b,4/5/2025 12:19,10.392
US,US East (Virginia),us-east-1,us-east-1a,4/5/2025 16:48,8.8449
US,US East (Virginia),us-east-1,us-east-1d,4/5/2025 19:05,10.9377
US,US East (Virginia),us-east-1,us-east-1b,4/5/2025 20:48,10.3858
US,US East (Virginia),us-east-1,us-east-1a,4/5/2025 21:03,8.8065
US,US East (Virginia),us-east-1,us-east-1d,4/6/2025 2:33,10.9205
US,US East (Virginia),us-east-1,us-east-1a,4/6/2025 4:03,8.8339
US,US East (Virginia),us-east-1,us-east-1b,4/6/2025 5:18,10.4006
US,US East (Virginia),us-east-1,us-east-1d,4/6/2025 10:03,10.8583
US,US East (Virginia),us-east-1,us-east-1a,4/6/2025 11:02,8.8418
US,US East (Virginia),us-east-1,us-east-1b,4/6/2025 11:32,10.4666
US,US East (Virginia),us-east-1,us-east-1a,4/6/2025 14:33,8.9144
US,US East (Virginia),us-east-1,us-east-1d,4/6/2025 16:18,10.792
US,US East (Virginia),us-east-1,us-east-1b,4/6/2025 19:48,10.5438
US,US East (Virginia),us-east-1,us-east-1a,4/6/2025 22:03,8.9777
US,US East (Virginia),us-east-1,us-east-1b,4/6/2025 23:33,10.5584
US,US East (Virginia),us-east-1,us-east-1d,4/7/2025 0:33,10.9069
US,US East (Virginia),us-east-1,us-east-1a,4/7/2025 3:18,8.9858
US,US East (Virginia),us-east-1,us-east-1b,4/7/2025 7:17,10.5576
US,US East (Virginia),us-east-1,us-east-1a,4/7/2025 8:18,8.9775
US,US East (Virginia),us-east-1,us-east-1d,4/7/2025 9:33,11.0412
US,US East (Virginia),us-east-1,us-east-1b,4/7/2025 10:48,10.6194
US,US East (Virginia),us-east-1,us-east-1a,4/7/2025 15:17,9.0035
US,US East (Virginia),us-east-1,us-east-1d,4/7/2025 16:47,11.02
US,US East (Virginia),us-east-1,us-east-1b,4/7/2025 17:02,10.7779
US,US East (Virginia),us-east-1,us-east-1b,4/7/2025 21:18,10.6875
US,US East (Virginia),us-east-1,us-east-1a,4/8/2025 0:18,9.0335
US,US East (Virginia),us-east-1,us-east-1d,4/8/2025 1:03,11.0626
US,US East (Virginia),us-east-1,us-east-1b,4/8/2025 2:32,10.6765
US,US East (Virginia),us-east-1,us-east-1a,4/8/2025 5:17,8.9721
US,US East (Virginia),us-east-1,us-east-1b,4/8/2025 8:17,10.6356
US,US East (Virginia),us-east-1,us-east-1a,4/8/2025 9:03,8.935
US,US East (Virginia),us-east-1,us-east-1d,4/8/2025 9:18,11.0041
US,US East (Virginia),us-east-1,us-east-1b,4/8/2025 11:48,10.6479
US,US East (Virginia),us-east-1,us-east-1b,4/8/2025 16:02,10.6177
US,US East (Virginia),us-east-1,us-east-1a,4/8/2025 16:17,9.0167
US,US East (Virginia),us-east-1,us-east-1d,4/8/2025 18:17,11.0917
US,US East (Virginia),us-east-1,us-east-1b,4/8/2025 19:17,10.6853
US,US East (Virginia),us-east-1,us-east-1a,4/8/2025 22:32,8.9838
US,US East (Virginia),us-east-1,us-east-1d,4/9/2025 0:33,11.1538
US,US East (Virginia),us-east-1,us-east-1b,4/9/2025 2:32,10.5493
US,US East (Virginia),us-east-1,us-east-1a,4/9/2025 2:47,8.9714
US,US East (Virginia),us-east-1,us-east-1d,4/9/2025 9:02,11.0993
US,US East (Virginia),us-east-1,us-east-1a,4/9/2025 9:17,9.0281
US,US East (Virginia),us-east-1,us-east-1b,4/9/2025 11:18,10.5026
US,US East (Virginia),us-east-1,us-east-1d,4/9/2025 12:18,11.0903
US,US East (Virginia),us-east-1,us-east-1b,4/9/2025 15:05,10.4088
