Geography,Region Name,Region,Availability Zone,Modified Date Time,Instance Price
US,US East (Virginia),us-east-1,us-east-1f,3/29/2025 0:18,0.1847
US,US East (Virginia),us-east-1,us-east-1b,3/29/2025 0:47,0.1781
US,US East (Virginia),us-east-1,us-east-1c,3/29/2025 1:18,0.1813
US,US East (Virginia),us-east-1,us-east-1d,3/29/2025 3:05,0.1798
US,US East (Virginia),us-east-1,us-east-1f,3/29/2025 4:03,0.1839
US,US East (Virginia),us-east-1,us-east-1b,3/29/2025 6:48,0.1802
US,US East (Virginia),us-east-1,us-east-1d,3/29/2025 8:20,0.1786
US,US East (Virginia),us-east-1,us-east-1b,3/29/2025 12:03,0.1789
US,US East (Virginia),us-east-1,us-east-1f,3/29/2025 13:03,0.1819
US,US East (Virginia),us-east-1,us-east-1d,3/29/2025 14:17,0.1798
US,US East (Virginia),us-east-1,us-east-1c,3/29/2025 16:47,0.1792
US,US East (Virginia),us-east-1,us-east-1b,3/29/2025 17:35,0.1792
US,US East (Virginia),us-east-1,us-east-1f,3/29/2025 17:48,0.1808
US,US East (Virginia),us-east-1,us-east-1d,3/29/2025 18:19,0.1819
US,US East (Virginia),us-east-1,us-east-1b,3/29/2025 21:02,0.1787
US,US East (Virginia),us-east-1,us-east-1f,3/29/2025 23:02,0.178
US,US East (Virginia),us-east-1,us-east-1d,3/29/2025 23:32,0.1818
US,US East (Virginia),us-east-1,us-east-1c,3/30/2025 0:17,0.1807
US,US East (Virginia),us-east-1,us-east-1f,3/30/2025 3:17,0.1767
US,US East (Virginia),us-east-1,us-east-1b,3/30/2025 3:33,0.1774
US,US East (Virginia),us-east-1,us-east-1d,3/30/2025 4:02,0.1803
US,US East (Virginia),us-east-1,us-east-1c,3/30/2025 5:47,0.1794
US,US East (Virginia),us-east-1,us-east-1b,3/30/2025 7:17,0.1786
US,US East (Virginia),us-east-1,us-east-1c,3/30/2025 9:03,0.1803
US,US East (Virginia),us-east-1,us-east-1f,3/30/2025 12:18,0.1731
US,US East (Virginia),us-east-1,us-east-1c,3/30/2025 12:48,0.1796
US,US East (Virginia),us-east-1,us-east-1b,3/30/2025 15:20,0.1784
US,US East (Virginia),us-east-1,us-east-1d,3/30/2025 16:02,0.1809
US,US East (Virginia),us-east-1,us-east-1c,3/30/2025 17:33,0.1803
US,US East (Virginia),us-east-1,us-east-1b,3/30/2025 19:02,0.1783
US,US East (Virginia),us-east-1,us-east-1f,3/30/2025 19:32,0.17
US,US East (Virginia),us-east-1,us-east-1b,3/31/2025 0:48,0.1797
US,US East (Virginia),us-east-1,us-east-1d,3/31/2025 1:05,0.1838
US,US East (Virginia),us-east-1,us-east-1c,3/31/2025 2:17,0.1811
US,US East (Virginia),us-east-1,us-east-1b,3/31/2025 5:32,0.1814
US,US East (Virginia),us-east-1,us-east-1d,3/31/2025 7:33,0.1833
US,US East (Virginia),us-east-1,us-east-1c,3/31/2025 9:48,0.1823
US,US East (Virginia),us-east-1,us-east-1f,3/31/2025 10:33,0.1663
US,US East (Virginia),us-east-1,us-east-1f,3/31/2025 13:48,0.1641
US,US East (Virginia),us-east-1,us-east-1b,3/31/2025 14:06,0.1819
US,US East (Virginia),us-east-1,us-east-1d,3/31/2025 15:32,0.1865
US,US East (Virginia),us-east-1,us-east-1c,3/31/2025 17:18,0.1825
US,US East (Virginia),us-east-1,us-east-1b,3/31/2025 21:47,0.1828
US,US East (Virginia),us-east-1,us-east-1d,3/31/2025 22:05,0.1862
US,US East (Virginia),us-east-1,us-east-1f,3/31/2025 22:18,0.1625
US,US East (Virginia),us-east-1,us-east-1c,4/1/2025 2:02,0.1822
US,US East (Virginia),us-east-1,us-east-1d,4/1/2025 2:47,0.1859
US,US East (Virginia),us-east-1,us-east-1f,4/1/2025 4:02,0.162
US,US East (Virginia),us-east-1,us-east-1b,4/1/2025 5:32,0.1829
US,US East (Virginia),us-east-1,us-east-1d,4/1/2025 6:18,0.1844
US,US East (Virginia),us-east-1,us-east-1f,4/1/2025 7:18,0.1593
US,US East (Virginia),us-east-1,us-east-1c,4/1/2025 9:05,0.1831
US,US East (Virginia),us-east-1,us-east-1d,4/1/2025 11:17,0.1847
US,US East (Virginia),us-east-1,us-east-1f,4/1/2025 11:48,0.1585
US,US East (Virginia),us-east-1,us-east-1b,4/1/2025 13:03,0.1828
US,US East (Virginia),us-east-1,us-east-1c,4/1/2025 15:17,0.1842
US,US East (Virginia),us-east-1,us-east-1d,4/1/2025 18:17,0.1844
US,US East (Virginia),us-east-1,us-east-1f,4/1/2025 19:35,0.1576
US,US East (Virginia),us-east-1,us-east-1b,4/1/2025 21:03,0.1836
US,US East (Virginia),us-east-1,us-east-1c,4/1/2025 22:47,0.1837
US,US East (Virginia),us-east-1,us-east-1d,4/2/2025 0:47,0.1831
US,US East (Virginia),us-east-1,us-east-1f,4/2/2025 1:32,0.1561
US,US East (Virginia),us-east-1,us-east-1c,4/2/2025 6:33,0.1847
US,US East (Virginia),us-east-1,us-east-1f,4/2/2025 7:02,0.1559
US,US East (Virginia),us-east-1,us-east-1f,4/2/2025 10:17,0.1556
US,US East (Virginia),us-east-1,us-east-1d,4/2/2025 14:47,0.1822
US,US East (Virginia),us-east-1,us-east-1b,4/2/2025 14:47,0.1822
US,US East (Virginia),us-east-1,us-east-1f,4/2/2025 17:18,0.1553
US,US East (Virginia),us-east-1,us-east-1d,4/2/2025 18:02,0.1824
US,US East (Virginia),us-east-1,us-east-1b,4/2/2025 18:35,0.181
US,US East (Virginia),us-east-1,us-east-1c,4/2/2025 19:03,0.1882
US,US East (Virginia),us-east-1,us-east-1b,4/2/2025 22:47,0.1798
US,US East (Virginia),us-east-1,us-east-1d,4/3/2025 0:17,0.1827
US,US East (Virginia),us-east-1,us-east-1f,4/3/2025 1:02,0.1545
US,US East (Virginia),us-east-1,us-east-1b,4/3/2025 2:35,0.1786
US,US East (Virginia),us-east-1,us-east-1c,4/3/2025 3:02,0.187
US,US East (Virginia),us-east-1,us-east-1d,4/3/2025 4:48,0.1836
US,US East (Virginia),us-east-1,us-east-1b,4/3/2025 8:18,0.1779
US,US East (Virginia),us-east-1,us-east-1f,4/3/2025 8:33,0.1539
US,US East (Virginia),us-east-1,us-east-1c,4/3/2025 10:32,0.1867
US,US East (Virginia),us-east-1,us-east-1f,4/3/2025 12:33,0.1575
US,US East (Virginia),us-east-1,us-east-1d,4/3/2025 12:48,0.1824
US,US East (Virginia),us-east-1,us-east-1b,4/3/2025 14:02,0.1791
US,US East (Virginia),us-east-1,us-east-1b,4/3/2025 18:17,0.1796
US,US East (Virginia),us-east-1,us-east-1c,4/3/2025 18:33,0.1901
US,US East (Virginia),us-east-1,us-east-1f,4/3/2025 19:03,0.1588
US,US East (Virginia),us-east-1,us-east-1c,4/3/2025 22:03,0.1893
US,US East (Virginia),us-east-1,us-east-1f,4/3/2025 22:33,0.1593
US,US East (Virginia),us-east-1,us-east-1b,4/3/2025 23:32,0.1802
US,US East (Virginia),us-east-1,us-east-1d,4/4/2025 1:48,0.1834
US,US East (Virginia),us-east-1,us-east-1c,4/4/2025 3:03,0.1878
US,US East (Virginia),us-east-1,us-east-1f,4/4/2025 4:02,0.1582
US,US East (Virginia),us-east-1,us-east-1d,4/4/2025 8:17,0.1833
US,US East (Virginia),us-east-1,us-east-1b,4/4/2025 8:33,0.1804
US,US East (Virginia),us-east-1,us-east-1c,4/4/2025 9:34,0.1874
US,US East (Virginia),us-east-1,us-east-1b,4/4/2025 12:03,0.1847
US,US East (Virginia),us-east-1,us-east-1c,4/4/2025 14:03,0.1864
US,US East (Virginia),us-east-1,us-east-1f,4/4/2025 16:47,0.1579
US,US East (Virginia),us-east-1,us-east-1c,4/4/2025 17:18,0.187
US,US East (Virginia),us-east-1,us-east-1b,4/4/2025 19:18,0.1848
US,US East (Virginia),us-east-1,us-east-1d,4/4/2025 21:03,0.1827
US,US East (Virginia),us-east-1,us-east-1f,4/4/2025 23:05,0.1577
US,US East (Virginia),us-east-1,us-east-1c,4/4/2025 23:48,0.1866
US,US East (Virginia),us-east-1,us-east-1d,4/5/2025 2:02,0.1813
US,US East (Virginia),us-east-1,us-east-1b,4/5/2025 2:03,0.1851
US,US East (Virginia),us-east-1,us-east-1c,4/5/2025 6:33,0.187
US,US East (Virginia),us-east-1,us-east-1d,4/5/2025 7:02,0.1824
US,US East (Virginia),us-east-1,us-east-1b,4/5/2025 7:32,0.1842
US,US East (Virginia),us-east-1,us-east-1f,4/5/2025 7:48,0.1566
US,US East (Virginia),us-east-1,us-east-1c,4/5/2025 9:49,0.1862
US,US East (Virginia),us-east-1,us-east-1b,4/5/2025 11:03,0.1834
US,US East (Virginia),us-east-1,us-east-1f,4/5/2025 11:17,0.1573
US,US East (Virginia),us-east-1,us-east-1c,4/5/2025 13:49,0.1848
US,US East (Virginia),us-east-1,us-east-1b,4/5/2025 14:33,0.1844
US,US East (Virginia),us-east-1,us-east-1d,4/5/2025 16:03,0.1814
US,US East (Virginia),us-east-1,us-east-1f,4/5/2025 16:47,0.1574
US,US East (Virginia),us-east-1,us-east-1c,4/5/2025 19:04,0.1868
US,US East (Virginia),us-east-1,us-east-1b,4/5/2025 21:18,0.1833
US,US East (Virginia),us-east-1,us-east-1d,4/6/2025 0:32,0.1807
US,US East (Virginia),us-east-1,us-east-1c,4/6/2025 1:18,0.1888
US,US East (Virginia),us-east-1,us-east-1f,4/6/2025 1:48,0.1562
US,US East (Virginia),us-east-1,us-east-1d,4/6/2025 6:47,0.1805
US,US East (Virginia),us-east-1,us-east-1c,4/6/2025 8:18,0.189
US,US East (Virginia),us-east-1,us-east-1f,4/6/2025 9:47,0.1551
US,US East (Virginia),us-east-1,us-east-1b,4/6/2025 13:02,0.1846
US,US East (Virginia),us-east-1,us-east-1d,4/6/2025 15:17,0.1812
US,US East (Virginia),us-east-1,us-east-1c,4/6/2025 16:17,0.1878
US,US East (Virginia),us-east-1,us-east-1f,4/6/2025 18:48,0.1546
US,US East (Virginia),us-east-1,us-east-1b,4/6/2025 19:32,0.1842
US,US East (Virginia),us-east-1,us-east-1d,4/6/2025 23:47,0.1824
US,US East (Virginia),us-east-1,us-east-1c,4/7/2025 0:32,0.1869
US,US East (Virginia),us-east-1,us-east-1b,4/7/2025 1:33,0.183
US,US East (Virginia),us-east-1,us-east-1f,4/7/2025 3:18,0.1538
US,US East (Virginia),us-east-1,us-east-1c,4/7/2025 5:03,0.1854
US,US East (Virginia),us-east-1,us-east-1d,4/7/2025 5:33,0.1823
US,US East (Virginia),us-east-1,us-east-1b,4/7/2025 6:47,0.1818
US,US East (Virginia),us-east-1,us-east-1f,4/7/2025 8:32,0.1529
US,US East (Virginia),us-east-1,us-east-1d,4/7/2025 12:48,0.1848
US,US East (Virginia),us-east-1,us-east-1c,4/7/2025 13:02,0.1842
US,US East (Virginia),us-east-1,us-east-1b,4/7/2025 14:32,0.1808
US,US East (Virginia),us-east-1,us-east-1f,4/7/2025 14:48,0.152
US,US East (Virginia),us-east-1,us-east-1d,4/7/2025 16:03,0.1853
US,US East (Virginia),us-east-1,us-east-1c,4/7/2025 17:17,0.1828
US,US East (Virginia),us-east-1,us-east-1b,4/7/2025 19:17,0.1798
US,US East (Virginia),us-east-1,us-east-1f,4/7/2025 20:03,0.1511
US,US East (Virginia),us-east-1,us-east-1c,4/7/2025 21:18,0.1824
US,US East (Virginia),us-east-1,us-east-1d,4/7/2025 21:33,0.1846
US,US East (Virginia),us-east-1,us-east-1f,4/8/2025 1:18,0.1499
US,US East (Virginia),us-east-1,us-east-1d,4/8/2025 2:32,0.1857
US,US East (Virginia),us-east-1,us-east-1c,4/8/2025 3:33,0.181
US,US East (Virginia),us-east-1,us-east-1b,4/8/2025 4:02,0.181
US,US East (Virginia),us-east-1,us-east-1c,4/8/2025 8:48,0.1819
US,US East (Virginia),us-east-1,us-east-1b,4/8/2025 9:03,0.1806
US,US East (Virginia),us-east-1,us-east-1f,4/8/2025 10:03,0.1498
US,US East (Virginia),us-east-1,us-east-1c,4/8/2025 13:06,0.1804
US,US East (Virginia),us-east-1,us-east-1b,4/8/2025 14:17,0.1804
US,US East (Virginia),us-east-1,us-east-1d,4/8/2025 17:47,0.1865
US,US East (Virginia),us-east-1,us-east-1f,4/8/2025 18:32,0.1486
US,US East (Virginia),us-east-1,us-east-1c,4/8/2025 20:18,0.1815
US,US East (Virginia),us-east-1,us-east-1d,4/8/2025 21:33,0.186
US,US East (Virginia),us-east-1,us-east-1f,4/8/2025 23:02,0.148
US,US East (Virginia),us-east-1,us-east-1b,4/8/2025 23:20,0.1792
US,US East (Virginia),us-east-1,us-east-1c,4/9/2025 2:33,0.1805
US,US East (Virginia),us-east-1,us-east-1b,4/9/2025 3:32,0.1788
US,US East (Virginia),us-east-1,us-east-1d,4/9/2025 4:03,0.1858
US,US East (Virginia),us-east-1,us-east-1f,4/9/2025 4:33,0.1467
US,US East (Virginia),us-east-1,us-east-1d,4/9/2025 8:48,0.1846
US,US East (Virginia),us-east-1,us-east-1c,4/9/2025 9:18,0.179
US,US East (Virginia),us-east-1,us-east-1b,4/9/2025 10:33,0.1775
US,US East (Virginia),us-east-1,us-east-1b,4/9/2025 14:18,0.176
US,US East (Virginia),us-east-1,us-east-1c,4/9/2025 15:33,0.1775
US,US East (Virginia),us-east-1,us-east-1f,4/9/2025 17:17,0.1453
US,US East (Virginia),us-east-1,us-east-1d,4/9/2025 18:33,0.1853
US,US East (Virginia),us-east-1,us-east-1b,4/9/2025 22:02,0.1761
US,US East (Virginia),us-east-1,us-east-1c,4/9/2025 22:18,0.1758
US,US East (Virginia),us-east-1,us-east-1f,4/10/2025 2:18,0.1441
US,US East (Virginia),us-east-1,us-east-1c,4/10/2025 3:33,0.1754
US,US East (Virginia),us-east-1,us-east-1b,4/10/2025 5:02,0.1756
US,US East (Virginia),us-east-1,us-east-1d,4/10/2025 8:18,0.1831
US,US East (Virginia),us-east-1,us-east-1c,4/10/2025 9:03,0.1757
US,US East (Virginia),us-east-1,us-east-1f,4/10/2025 10:06,0.1434
US,US East (Virginia),us-east-1,us-east-1b,4/10/2025 11:33,0.1746
US,US East (Virginia),us-east-1,us-east-1b,4/10/2025 15:32,0.173
US,US East (Virginia),us-east-1,us-east-1c,4/10/2025 16:03,0.1753
US,US East (Virginia),us-east-1,us-east-1f,4/10/2025 18:03,0.1431
US,US East (Virginia),us-east-1,us-east-1d,4/10/2025 19:18,0.1824
US,US East (Virginia),us-east-1,us-east-1b,4/11/2025 0:33,0.1721
US,US East (Virginia),us-east-1,us-east-1d,4/11/2025 3:02,0.1826
US,US East (Virginia),us-east-1,us-east-1f,4/11/2025 6:03,0.1418
US,US East (Virginia),us-east-1,us-east-1b,4/11/2025 7:17,0.1709
US,US East (Virginia),us-east-1,us-east-1c,4/11/2025 7:33,0.1741
US,US East (Virginia),us-east-1,us-east-1f,4/11/2025 9:34,0.1404
US,US East (Virginia),us-east-1,us-east-1d,4/11/2025 10:50,0.1813
US,US East (Virginia),us-east-1,us-east-1d,4/11/2025 14:32,0.1801
US,US East (Virginia),us-east-1,us-east-1b,4/11/2025 15:32,0.1692
US,US East (Virginia),us-east-1,us-east-1c,4/11/2025 16:33,0.1729
US,US East (Virginia),us-east-1,us-east-1f,4/11/2025 17:02,0.1389
US,US East (Virginia),us-east-1,us-east-1d,4/11/2025 21:02,0.1806
US,US East (Virginia),us-east-1,us-east-1c,4/11/2025 23:20,0.1732
US,US East (Virginia),us-east-1,us-east-1b,4/11/2025 23:32,0.1675
US,US East (Virginia),us-east-1,us-east-1d,4/12/2025 0:33,0.1809
US,US East (Virginia),us-east-1,us-east-1f,4/12/2025 0:47,0.1375
US,US East (Virginia),us-east-1,us-east-1c,4/12/2025 5:05,0.1725
US,US East (Virginia),us-east-1,us-east-1d,4/12/2025 5:33,0.1798
US,US East (Virginia),us-east-1,us-east-1b,4/12/2025 8:32,0.1669
US,US East (Virginia),us-east-1,us-east-1f,4/12/2025 9:05,0.1364
US,US East (Virginia),us-east-1,us-east-1c,4/12/2025 11:33,0.171
US,US East (Virginia),us-east-1,us-east-1d,4/12/2025 13:47,0.1803
US,US East (Virginia),us-east-1,us-east-1b,4/12/2025 14:47,0.1673
US,US East (Virginia),us-east-1,us-east-1f,4/12/2025 16:02,0.1352
US,US East (Virginia),us-east-1,us-east-1b,4/12/2025 18:33,0.1658
US,US East (Virginia),us-east-1,us-east-1c,4/12/2025 19:48,0.1696
US,US East (Virginia),us-east-1,us-east-1f,4/12/2025 22:03,0.1351
US,US East (Virginia),us-east-1,us-east-1b,4/12/2025 23:32,0.1662
US,US East (Virginia),us-east-1,us-east-1d,4/13/2025 1:18,0.1771
US,US East (Virginia),us-east-1,us-east-1c,4/13/2025 1:48,0.169
US,US East (Virginia),us-east-1,us-east-1b,4/13/2025 4:05,0.1656
US,US East (Virginia),us-east-1,us-east-1f,4/13/2025 4:48,0.1342
US,US East (Virginia),us-east-1,us-east-1d,4/13/2025 6:48,0.1769
US,US East (Virginia),us-east-1,us-east-1c,4/13/2025 7:51,0.1681
US,US East (Virginia),us-east-1,us-east-1b,4/13/2025 11:20,0.1649
US,US East (Virginia),us-east-1,us-east-1c,4/13/2025 13:03,0.168
US,US East (Virginia),us-east-1,us-east-1f,4/13/2025 13:33,0.1331
US,US East (Virginia),us-east-1,us-east-1b,4/13/2025 14:50,0.1638
US,US East (Virginia),us-east-1,us-east-1d,4/13/2025 19:35,0.1761
US,US East (Virginia),us-east-1,us-east-1f,4/13/2025 20:02,0.1317
US,US East (Virginia),us-east-1,us-east-1c,4/13/2025 20:20,0.1689
US,US East (Virginia),us-east-1,us-east-1b,4/13/2025 22:48,0.1627
