cpu_model_raw,cpu_group,instance_rows,tdp_w_per_package,threads_per_package,tdp_w_per_vcpu,status,source_url,notes
NVIDIA Grace,NVIDIA Grace CPU Superchip,1,500.0,144.0,3.4722222222222223,official,https://developer.nvidia.com/blog/nvidia-grace-cpu-superchip-architecture-in-depth/,Official NVIDIA Grace CPU Superchip TDP with memory.
AMD EPYC 7R13 Processor,AMD EPYC 7R13,30,,,,review_required,https://aws.amazon.com/ec2/instance-types/general-purpose/,"AWS custom part is publicly named, but an exact AMD official datasheet/TDP for 7R13 was not located."
AMD EPYC 7R32,AMD EPYC 7R32,13,,,,review_required,https://aws.amazon.com/ec2/instance-types/compute-optimized/,"AWS custom part is publicly named, but an exact AMD official datasheet/TDP for 7R32 was not located."
AWS Graviton2 Processor,AWS Graviton2,6,,64.0,,review_required,https://aws.amazon.com/ec2/instance-types/m6g/,"AWS confirms Graviton2 features, but no public official TDP was located."
Intel Xeon E5-2670 (Sandy Bridge),Intel Xeon E5-2670,2,,,,review_required,https://www.intel.com/content/www/us/en/products/overview.html,A public official Intel TDP page was not located during this pass.
Intel Xeon E5-2686 v4 (Broadwell),Intel Xeon E5-2686 v4,10,,,,review_required,https://www.intel.com/content/www/us/en/products/overview.html,"AWS uses this exact processor name, but a public official Intel TDP page was not located."
Intel Xeon Family,Intel Xeon Family,7,,,,review_required,https://www.intel.com/content/www/us/en/products/overview.html,Family label is too generic to map an exact official TDP.
Intel Xeon Platinum 8175 (Skylake),Intel Xeon Platinum 8175,1,,,,review_required,https://www.intel.com/content/www/us/en/products/overview.html,No clear public official Intel specifications page with TDP was located.
Intel Xeon Platinum 8259 (Cascade Lake),Intel Xeon Platinum 8259,1,,,,review_required,https://www.intel.com/content/www/us/en/products/overview.html,No clear public official Intel specifications page with TDP was located.
Intel Xeon Platinum 8275CL (Cascade Lake),Intel Xeon Platinum 8275CL,4,,48.0,,review_required,https://aws.amazon.com/ec2/instance-types/compute-optimized/,"AWS confirms custom Cascade Lake 8275CL, but a public official Intel TDP page was not located."
Intel Xeon Platinum 8275L,Intel Xeon Platinum 8275L,2,,,,review_required,https://www.intel.com/content/www/us/en/products/sku/192475/intel-xeon-platinum-8276l-processor-38-5m-cache-2-20-ghz/specifications.html,"No public official 8275L page located. Close 8276L official page exists, but exact package mapping is not confirmed."
Intel Xeon Scalable (Emerald Rapids),Intel Xeon Scalable (Emerald Rapids),8,,,,review_required,https://www.intel.com/content/www/us/en/products/details/processors/xeon/5th-gen-xeon-scalable.html,"Generation is known, but the exact SKU and official TDP are not clear from the CSV."
Intel Xeon Scalable (Icelake),Intel Xeon Scalable (Icelake),3,,,,review_required,https://www.intel.com/content/www/us/en/products/details/processors/xeon/3rd-gen-xeon-scalable.html,"Generation is known, but the exact SKU and official TDP are not clear from the CSV."
Intel Xeon Scalable (Sapphire Rapids),Intel Xeon Scalable (Sapphire Rapids),2,,,,review_required,https://www.intel.com/content/www/us/en/products/details/processors/xeon/4th-gen-xeon-scalable.html,"Generation is known, but the exact SKU and official TDP are not clear from the CSV."
