Name,API Name,gpu_model_raw,gpu_status,gpu_tdp_w_per_gpu,cpu_model_raw,cpu_status,cpu_tdp_w_per_package
DL2Q 24xlarge,dl2q.24xlarge,Qualcomm AI 100 Accelerators,review_required,,Intel Xeon Platinum 8259 (Cascade Lake),review_required,
G2 Double Extra Large,g2.2xlarge,NVIDIA GRID K520,review_required,,Intel Xeon E5-2670 (Sandy Bridge),review_required,
G2 Eight Extra Large,g2.8xlarge,NVIDIA GRID K520,review_required,,Intel Xeon E5-2670 (Sandy Bridge),review_required,
G3 Graphics GPU 16xlarge Extra Large,g3.16xlarge,NVIDIA Tesla M60,official,300.0,Intel Xeon E5-2686 v4 (Broadwell),review_required,
G3 Graphics GPU Eight Extra Large,g3.8xlarge,NVIDIA Tesla M60,official,300.0,Intel Xeon E5-2686 v4 (Broadwell),review_required,
G3 Graphics GPU Quadruple Extra Large,g3.4xlarge,NVIDIA Tesla M60,official,300.0,Intel Xeon E5-2686 v4 (Broadwell),review_required,
G3S Extra Large,g3s.xlarge,NVIDIA Tesla M60,official,300.0,Intel Xeon E5-2686 v4 (Broadwell),review_required,
G4AD 16xlarge Extra Large,g4ad.16xlarge,AMD Radeon Pro V520,review_required,,AMD EPYC 7R32,review_required,
G4AD Double Extra Large,g4ad.2xlarge,AMD Radeon Pro V520,review_required,,AMD EPYC 7R32,review_required,
G4AD Eight Extra Large,g4ad.8xlarge,AMD Radeon Pro V520,review_required,,AMD EPYC 7R32,review_required,
G4AD Extra Large,g4ad.xlarge,AMD Radeon Pro V520,review_required,,AMD EPYC 7R32,review_required,
G4AD Quadruple Extra Large,g4ad.4xlarge,AMD Radeon Pro V520,review_required,,AMD EPYC 7R32,review_required,
G4DN 12xlarge Extra Large,g4dn.12xlarge,NVIDIA T4 Tensor Core,official,70.0,Intel Xeon Family,review_required,
G4DN 16xlarge Extra Large,g4dn.16xlarge,NVIDIA T4 Tensor Core,official,70.0,Intel Xeon Family,review_required,
G4DN Double Extra Large,g4dn.2xlarge,NVIDIA T4 Tensor Core,official,70.0,Intel Xeon Family,review_required,
G4DN Eight Extra Large,g4dn.8xlarge,NVIDIA T4 Tensor Core,official,70.0,Intel Xeon Family,review_required,
G4DN Extra Large,g4dn.xlarge,NVIDIA T4 Tensor Core,official,70.0,Intel Xeon Family,review_required,
G4DN Metal,g4dn.metal,NVIDIA T4 Tensor Core,official,70.0,Intel Xeon Family,review_required,
G4DN Quadruple Extra Large,g4dn.4xlarge,NVIDIA T4 Tensor Core,official,70.0,Intel Xeon Family,review_required,
G5 Graphics and Machine Learning GPU 12xlarge Extra Large,g5.12xlarge,NVIDIA A10G,official,300.0,AMD EPYC 7R32,review_required,
G5 Graphics and Machine Learning GPU 16xlarge Extra Large,g5.16xlarge,NVIDIA A10G,official,300.0,AMD EPYC 7R32,review_required,
G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,NVIDIA A10G,official,300.0,AMD EPYC 7R32,review_required,
G5 Graphics and Machine Learning GPU 48xlarge,g5.48xlarge,NVIDIA A10G,official,300.0,AMD EPYC 7R32,review_required,
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,NVIDIA A10G,official,300.0,AMD EPYC 7R32,review_required,
G5 Graphics and Machine Learning GPU Eight Extra Large,g5.8xlarge,NVIDIA A10G,official,300.0,AMD EPYC 7R32,review_required,
G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,NVIDIA A10G,official,300.0,AMD EPYC 7R32,review_required,
G5 Graphics and Machine Learning GPU Quadruple Extra Large,g5.4xlarge,NVIDIA A10G,official,300.0,AMD EPYC 7R32,review_required,
G5G 16xlarge Extra Large,g5g.16xlarge,NVIDIA T4G Tensor Core,official,70.0,AWS Graviton2 Processor,review_required,
G5G Double Extra Large,g5g.2xlarge,NVIDIA T4G Tensor Core,official,70.0,AWS Graviton2 Processor,review_required,
G5G Eight Extra Large,g5g.8xlarge,NVIDIA T4G Tensor Core,official,70.0,AWS Graviton2 Processor,review_required,
G5G Extra Large,g5g.xlarge,NVIDIA T4G Tensor Core,official,70.0,AWS Graviton2 Processor,review_required,
G5G Metal,g5g.metal,NVIDIA T4G Tensor Core,official,70.0,AWS Graviton2 Processor,review_required,
G5G Quadruple Extra Large,g5g.4xlarge,NVIDIA T4G Tensor Core,official,70.0,AWS Graviton2 Processor,review_required,
G6 Graphics and Machine Learning GPU 12xlarge Extra Large,g6.12xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
G6 Graphics and Machine Learning GPU 16xlarge Extra Large,g6.16xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
G6 Graphics and Machine Learning GPU 24xlarge,g6.24xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
G6 Graphics and Machine Learning GPU 48xlarge,g6.48xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
G6 Graphics and Machine Learning GPU Double Extra Large,g6.2xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
G6 Graphics and Machine Learning GPU Eight Extra Large,g6.8xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
G6 Graphics and Machine Learning GPU Extra Large,g6.xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
G6 Graphics and Machine Learning GPU Quadruple Extra Large,g6.4xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
G6F Double Extra Large,g6f.2xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
G6F Extra Large,g6f.xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
G6F Large,g6f.large,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
G6F Quadruple Extra Large,g6f.4xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
G6e Graphics and Machine Learning GPU 12xlarge Extra Large,g6e.12xlarge,NVIDIA L40S,official,350.0,AMD EPYC 7R13 Processor,review_required,
G6e Graphics and Machine Learning GPU 16xlarge Extra Large,g6e.16xlarge,NVIDIA L40S,official,350.0,AMD EPYC 7R13 Processor,review_required,
G6e Graphics and Machine Learning GPU 24xlarge,g6e.24xlarge,NVIDIA L40S,official,350.0,AMD EPYC 7R13 Processor,review_required,
G6e Graphics and Machine Learning GPU 48xlarge,g6e.48xlarge,NVIDIA L40S,official,350.0,AMD EPYC 7R13 Processor,review_required,
G6e Graphics and Machine Learning GPU Double Extra Large,g6e.2xlarge,NVIDIA L40S,official,350.0,AMD EPYC 7R13 Processor,review_required,
G6e Graphics and Machine Learning GPU Eight Extra Large,g6e.8xlarge,NVIDIA L40S,official,350.0,AMD EPYC 7R13 Processor,review_required,
G6e Graphics and Machine Learning GPU Extra Large,g6e.xlarge,NVIDIA L40S,official,350.0,AMD EPYC 7R13 Processor,review_required,
G6e Graphics and Machine Learning GPU Quadruple Extra Large,g6e.4xlarge,NVIDIA L40S,official,350.0,AMD EPYC 7R13 Processor,review_required,
G7E 12xlarge Extra Large,g7e.12xlarge,NVIDIA GB202,review_required,,Intel Xeon Scalable (Emerald Rapids),review_required,
G7E 24xlarge,g7e.24xlarge,NVIDIA GB202,review_required,,Intel Xeon Scalable (Emerald Rapids),review_required,
G7E 48xlarge,g7e.48xlarge,NVIDIA GB202,review_required,,Intel Xeon Scalable (Emerald Rapids),review_required,
G7E Double Extra Large,g7e.2xlarge,NVIDIA GB202,review_required,,Intel Xeon Scalable (Emerald Rapids),review_required,
G7E Eight Extra Large,g7e.8xlarge,NVIDIA GB202,review_required,,Intel Xeon Scalable (Emerald Rapids),review_required,
G7E Quadruple Extra Large,g7e.4xlarge,NVIDIA GB202,review_required,,Intel Xeon Scalable (Emerald Rapids),review_required,
GR6F Quadruple Extra Large,gr6f.4xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
Gr6 Graphics and Machine Learning GPU High RAM ratio Eight Extra Large,gr6.8xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large,gr6.4xlarge,NVIDIA L4,official,72.0,AMD EPYC 7R13 Processor,review_required,
INF1 24xlarge,inf1.24xlarge,AWS Inferentia,review_required,,Intel Xeon Platinum 8275CL (Cascade Lake),review_required,
INF1 6xlarge,inf1.6xlarge,AWS Inferentia,review_required,,Intel Xeon Platinum 8275CL (Cascade Lake),review_required,
INF1 Double Extra Large,inf1.2xlarge,AWS Inferentia,review_required,,Intel Xeon Platinum 8275CL (Cascade Lake),review_required,
INF1 Extra Large,inf1.xlarge,AWS Inferentia,review_required,,Intel Xeon Platinum 8275CL (Cascade Lake),review_required,
INF2 24xlarge,inf2.24xlarge,AWS Inferentia2,review_required,,AMD EPYC 7R13 Processor,review_required,
INF2 48xlarge,inf2.48xlarge,AWS Inferentia2,review_required,,AMD EPYC 7R13 Processor,review_required,
INF2 Eight Extra Large,inf2.8xlarge,AWS Inferentia2,review_required,,AMD EPYC 7R13 Processor,review_required,
INF2 Extra Large,inf2.xlarge,AWS Inferentia2,review_required,,AMD EPYC 7R13 Processor,review_required,
P2 General Purpose GPU 16xlarge Extra Large,p2.16xlarge,NVIDIA Tesla K80,official,300.0,Intel Xeon E5-2686 v4 (Broadwell),review_required,
P2 General Purpose GPU Eight Extra Large,p2.8xlarge,NVIDIA Tesla K80,official,300.0,Intel Xeon E5-2686 v4 (Broadwell),review_required,
P2 General Purpose GPU Extra Large,p2.xlarge,NVIDIA Tesla K80,official,300.0,Intel Xeon E5-2686 v4 (Broadwell),review_required,
P3 High Performance GPU 16xlarge Extra Large,p3.16xlarge,NVIDIA Tesla V100,official,300.0,Intel Xeon E5-2686 v4 (Broadwell),review_required,
P3 High Performance GPU Double Extra Large,p3.2xlarge,NVIDIA Tesla V100,official,300.0,Intel Xeon E5-2686 v4 (Broadwell),review_required,
P3 High Performance GPU Eight Extra Large,p3.8xlarge,NVIDIA Tesla V100,official,300.0,Intel Xeon E5-2686 v4 (Broadwell),review_required,
P3DN 24xlarge,p3dn.24xlarge,NVIDIA Tesla V100,official,300.0,Intel Xeon Platinum 8175 (Skylake),review_required,
P4D Highest Performance GPU 24xlarge,p4d.24xlarge,NVIDIA A100,official,400.0,Intel Xeon Platinum 8275L,review_required,
P4DE 24xlarge,p4de.24xlarge,NVIDIA A100,official,400.0,Intel Xeon Platinum 8275L,review_required,
P5 48xlarge,p5.48xlarge,NVIDIA H100,official,700.0,AMD EPYC 7R13 Processor,review_required,
P5 Quadruple Extra Large,p5.4xlarge,NVIDIA H100,official,700.0,AMD EPYC 7R13 Processor,review_required,
P5e High Performance Computing GPU 48xlarge,p5e.48xlarge,NVIDIA H200,official,700.0,AMD EPYC 7R13 Processor,review_required,
P5en High Performance Computing GPU 48xlarge,p5en.48xlarge,NVIDIA H200,official,700.0,Intel Xeon Scalable (Sapphire Rapids),review_required,
P6-B200 High Performance and Machine Learning GPU 48xlarge,p6-b200.48xlarge,NVIDIA B200,official,1000.0,Intel Xeon Scalable (Emerald Rapids),review_required,
P6-B300 48xlarge,p6-b300.48xlarge,NVIDIA B300,official,1400.0,Intel Xeon Scalable (Emerald Rapids),review_required,
TRN1 32xlarge,trn1.32xlarge,AWS Inferentia,review_required,,Intel Xeon Scalable (Icelake),review_required,
TRN1 Double Extra Large,trn1.2xlarge,AWS Inferentia,review_required,,Intel Xeon Scalable (Icelake),review_required,
TRN1N 32xlarge,trn1n.32xlarge,AWS Inferentia,review_required,,Intel Xeon Scalable (Icelake),review_required,
TRN2 48xlarge,trn2.48xlarge,AWS Trainium2,review_required,,Intel Xeon Scalable (Sapphire Rapids),review_required,
