url,page_title,vendor,capacity_text,interface,form_factor,controller,nand,idle_power_text,active_power_text,avg_power_text,model_guess,capacity_tb,idle_w,active_w,avg_w,enterprise_flag_heuristic
https://www.techpowerup.com/ssd-specs/adata-legend-860-1-tb.d2455,ADATA Legend 860 1 TB Specs | TechPowerUp SSD Database,Realtek,1 TB (1000 GB),PCIe 4.0 x4,M.2 2280,HMB,"8 @ 1,600 MT/s",,,,ADATA Legend 860 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/adata-legend-900-1-tb.d2385,ADATA Legend 900 1 TB Specs | TechPowerUp SSD Database,MaxioTech,1 TB (1000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 2,400 MT/s",,,,ADATA Legend 900 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/corsair-mp600-pro-lpx-2-tb.d2266,Corsair MP600 Pro LPX 2 TB Specs | TechPowerUp SSD Database,Phison,2 TB (2000 GB),PCIe 4.0 x4,M.2 2280 (Double-Sided),DRAM (enabled),"8 @ 1,600 MT/s",,,,Corsair MP600 Pro LPX 2 TB Specs | TechPowerUp SSD Database,2.0,,,,False
https://www.techpowerup.com/ssd-specs/crucial-bx500-2-tb.d95,Crucial BX500 2 TB Specs | TechPowerUp SSD Database,Silicon Motion,2 TB (2000 GB),SATA 6 Gbps,"2.5""",,4 @ 525 MT/s,,,,Crucial BX500 2 TB Specs | TechPowerUp SSD Database,2.0,,,,False
https://www.techpowerup.com/ssd-specs/crucial-bx500-500-gb.d1179,Crucial BX500 500 GB Specs | TechPowerUp SSD Database,Silicon Motion,500 GB,SATA 6 Gbps,"2.5""",,2 @ 800 MT/s,,,,Crucial BX500 500 GB Specs | TechPowerUp SSD Database,0.5,,,,False
https://www.techpowerup.com/ssd-specs/crucial-e100-1-tb.d2307,Crucial E100 1 TB Specs | TechPowerUp SSD Database,Silicon Motion,1 TB (1000 GB),PCIe 4.0 x4,M.2 2280,HMB (enabled),"4 @ 2,400 MT/s",,,,Crucial E100 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/crucial-mx500-500-gb.d948,Crucial MX500 500 GB Specs | TechPowerUp SSD Database,Silicon Motion,500 GB,SATA 6 Gbps,"2.5""",DRAM (enabled),4 @ 800 MT/s,,,,Crucial MX500 500 GB Specs | TechPowerUp SSD Database,0.5,,,,False
https://www.techpowerup.com/ssd-specs/crucial-p3-1-tb.d828,Crucial P3 1 TB Specs | TechPowerUp SSD Database,Phison,1 TB (1000 GB),PCIe 3.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 1,600 MT/s",,,,Crucial P3 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/crucial-p3-plus-1-tb.d825,Crucial P3 Plus 1 TB Specs | TechPowerUp SSD Database,Phison,1 TB (1000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 1,600 MT/s",,,,Crucial P3 Plus 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/crucial-p3-plus-2-tb.d867,Crucial P3 Plus 2 TB Specs | TechPowerUp SSD Database,Phison,2 TB (2000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 1,600 MT/s",,,,Crucial P3 Plus 2 TB Specs | TechPowerUp SSD Database,2.0,,,,False
https://www.techpowerup.com/ssd-specs/crucial-p310-1-tb.d2073,Crucial P310 1 TB Specs | TechPowerUp SSD Database,Phison,1 TB (1000 GB),PCIe 4.0 x4,M.2 2230 (Single-Sided),HMB (enabled),"4 @ 3,600 MT/s",,,,Crucial P310 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
